Protein_Group	Genes	mCDK6_vs_hCDK6_HA-_logFC	mCDK6_vs_hCDK6_HA-_pval	Removed?	Contaminant?
O14639	ABLIM1	3.22360955051293	5.11029739247392e-05	No	No
O15160	POLR1C	5.4185394681063	1.46395302433227e-06	No	No
O75381	PEX14	3.25937570135805	1.70324388233945e-16	No	No
O75717	WDHD1	2.83733507230525	0.0002636864393617	No	No
O94964	SOGA1	4.02224330143335	3.62871136145154e-07	No	No
O95714	HERC2	2.94324055556742	0.000521848210077	No	No
O95816	BAG2	4.38370457206908	3.5053504876812297e-16	No	No
P01036	CST4	5.16822214871785	2.02649599625649e-17	No	No
P08185	SERPINA6	4.59093437451422	1.44295593858013e-07	No	No
P08238	HSP90AB1	2.66548888086357	2.50566001573362e-16	No	No
P12270	TPR	5.59868187364049	0.0003640805501988	No	No
P17302	GJA1	6.60493652912394	1.44002171782628e-26	No	No
P20248	CCNA2	4.96930669337949	1.47631153632627e-15	No	No
P24385	CCND1	13.1176599155231	8.329464096686069e-41	No	No
P24941	CDK2	3.56360735324307	1.19109602531531e-05	No	No
P27708	CAD	2.58804542532285	6.15536542271149e-13	No	No
P28749	RBL1	2.68480502904121	1.95925639856671e-10	No	No
P30281	CCND3	15.4743139805019	3.2555944258178403e-35	No	No
P38936	CDKN1A	8.67083155578565	2.1583319926527702e-23	No	No
P42772	CDKN2B	15.6264897695212	4.98454240374837e-34	No	No
P42773	CDKN2C	14.3240524891669	2.52388557563201e-35	No	No
P46087	NOP2	3.40699485308006	5.06699661325498e-07	No	No
P46527	CDKN1B	14.3869187798465	3.40832991834872e-38	No	No
P49918	CDKN1C	10.7205719697873	5.47368288744684e-29	No	No
P52732	KIF11	4.28698506703065	2.17066869168127e-05	No	No
P54868	HMGCS2	4.21565073170076	1.96107314739933e-16	No	No
P55273	CDKN2D	14.6531309416599	3.03207594479845e-36	No	No
P61326;Q96A72	MAGOH;MAGOHB	4.57258331060371	0.0007638494508921	No	No
Q00534	CDK6	10.9830730085375	1.0693079151763999e-29	No	No
Q03167	TGFBR3	4.0903613070463	6.28728645118985e-12	No	No
Q08999	RBL2	9.72283202991681	2.31910033282954e-34	No	No
Q10589	BST2	4.23261922688562	1.51018474902763e-11	No	No
Q12788	TBL3	2.59918589797945	0.0027628480018815	No	No
Q13257	MAD2L1	2.90118210091978	0.0060086123326955	No	No
Q13283	G3BP1	3.22208427188757	0.0017917071875763	No	No
Q13868	EXOSC2	2.6162866260783	8.00021646647956e-05	No	No
Q14687	GSE1	4.06386358686175	0.000269739889848	No	No
Q15329	E2F5	6.01295311503455	6.448550239353771e-19	No	No
Q16543	CDC37	5.31856354759252	9.42178588416496e-27	No	No
Q16643	DBN1	8.08717029832666	0.0008714529455923	No	No
Q32P44	EML3	3.66992332789552	3.23216229982941e-06	No	No
Q5SQI0	ATAT1	3.38837277811616	1.7424928491484e-06	No	No
Q5T160	RARS2	4.7691494309541	0.0058172111481389	No	No
Q5T5P2	KIAA1217	3.01481100645714	1.93216900856068e-06	No	No
Q5VYY1	ANKRD22	2.90003152503536	1.95998496116652e-05	No	No
Q643R3	LPCAT4	4.90639223592721	3.53428098362517e-05	No	No
Q71F56	MED13L	3.1259094978615	3.37219791928527e-06	No	No
Q8IVW4	CDKL3	4.86043399127448	5.39802421984243e-19	No	No
Q8IWA0	WDR75	4.51493360765439	6.047226982704379e-11	No	No
Q8N163	CCAR2	3.1365499344781	1.56504836142343e-23	No	No
Q8N7H5	PAF1	3.59729263073009	4.55195898304494e-06	No	No
Q8NCG7	DAGLB	3.27105990713807	3.6283041186782703e-20	No	No
Q8NCN4	RNF169	2.91122261009938	2.86836056594931e-10	No	No
Q8NI77	KIF18A	4.41476091410841	1.9852361991645801e-10	No	No
Q8WVB6	CHTF18	2.87339346934641	4.0195859264475e-08	No	No
Q8WW59	SPRYD4	3.53385453564044	6.2461753386955996e-12	No	No
Q8WYP5	AHCTF1	3.53331200977188	4.54729625042941e-05	No	No
Q92616	GCN1	2.83505303459237	1.82295726648e-13	No	No
Q96FS4	SIPA1	3.08784931695417	3.6946313074648e-09	No	No
Q96GQ5	RUSF1	2.92515541056471	1.30281105733465e-06	No	No
Q9BSG5	RTBDN	2.66486995436361	1.0795205259247899e-11	No	No
Q9H4P4	RNF41	2.57431707494786	1.96808699832733e-05	No	No
Q9H7B2	RPF2	2.92425140239219	0.0013752130182683	No	No
Q9H992	MARCHF7	3.2581760822837	0.001535784866755	No	No
Q9NRZ9	HELLS	6.15031041089668	0.0039682462415846	No	No
Q9P273	TENM3	6.10660484869817	7.94583950477318e-10	No	No
Q9ULD2	MTUS1	3.71136344994529	7.27810141510005e-06	No	No
Q9Y2J4	AMOTL2	4.43074000081086	5.6328871412187705e-14	No	No
Q9Y3R5	DOP1B	9.33997411402086	7.02121794683957e-05	No	No
