Protein_Group	Genes	mCDK6+P_vs_mCDK6_logFC	mCDK6+P_vs_mCDK6_pval	Removed?	Contaminant?
O76024	WFS1	3.70445943597141	0.0003843880488188	No	No
O95968	SCGB1D1	2.57044535182796	4.13243993029592e-07	No	No
P02461	COL3A1	3.96834131144515	1.04400831604746e-10	No	No
P29728	OAS2	2.91797675186857	1.95510367680749e-10	No	No
P35568	IRS1	4.42526897012632	0.0005571636560246	No	No
Q04721	NOTCH2	4.09128182004559	0.0037356442052599	No	No
Q2TB10	ZNF800	2.89054657655482	0.0019323283188102	No	No
Q86V21	AACS	5.4185768801133	9.4323433140629e-13	No	No
Q8TDR2	STK35	2.80921129715154	0.0014680504547798	No	No
Q96B96	TMEM159	6.75343684560222	2.23893833640603e-10	No	No
Q9BRT6	LLPH	3.57258972061571	3.81030264609813e-13	No	No
Q9H568	ACTL8	4.00894639360674	3.0809049920286903e-09	No	No
Q9UIS9	MBD1	5.70776423776704	1.61348933273278e-17	No	No
P17302	GJA1	-2.99587526290491	2.42934563577552e-13	No	No
Q5T5P2	KIAA1217	-4.77893111630117	1.0523118620656e-08	No	No
Q643R3	LPCAT4	-5.32747857234855	9.08086165240608e-06	No	No
Q8N7H5	PAF1	-4.34518253267411	7.59888580684699e-08	No	No
Q9P273	TENM3	-3.23978790817375	3.02161549704288e-05	No	No
