Protein_Group	Genes	mCDK6_500P+P_vs_mCDK6+P_logFC	mCDK6_500P+P_vs_mCDK6+P_pval	Removed?	Contaminant?
O43795	MYO1B	3.92678520839571	2.06304517832275e-06	No	No
O94919	ENDOD1	4.36584959541854	2.12164024686937e-07	No	No
O95340	PAPSS2	6.00129506033295	8.281390054615859e-12	No	No
P02461	COL3A1	5.11272028891764	3.13983558400949e-13	No	No
P0DP57	SLURP2	4.17863492460799	2.68652992545871e-18	No	No
P12883;P13533	MYH6;MYH7	4.1176422530319	1.91755665987968e-07	No	No
P27986	PIK3R1	4.55101268230147	1.96292394100588e-16	No	No
P29728	OAS2	3.7060807911414	8.73106092283334e-13	No	No
P53814	SMTN	6.48919315890488	9.586811708576059e-13	No	No
Q14764	MVP	3.85427102467182	1.14337460832815e-05	No	No
Q16643	DBN1	6.24299719208974	0.0080576744020178	No	No
Q86V21	AACS	5.69047101703162	2.95586617967809e-13	No	No
Q8NI77	KIF18A	5.54536645728277	1.82493285107171e-12	No	No
Q96B96	TMEM159	3.4083155256376	3.91774236043806e-05	No	No
Q96BK5	PINX1	5.92030524921302	5.85293915212654e-08	No	No
Q9BYX7	POTEKP	6.21351362108667	1.28823543734024e-18	No	No
Q9Y6M1	IGF2BP2	3.17167512585252	2.54649431668917e-07	No	No
P11532	DMD	-4.44114023466167	3.35562661417509e-08	No	No
P17302	GJA1	-3.96165582951753	2.44418393263945e-16	No	No
Q13114	TRAF3	-7.53627291530892	7.76030365997097e-06	No	No
Q5SQI0	ATAT1	-2.86435438706551	3.85576087608872e-05	No	No
Q9P273	TENM3	-2.96286311656362	9.60285461117351e-05	No	No
Q9UIS9	MBD1	-5.87073637004847	7.79768987106257e-18	No	No
Q9Y291	MRPS33	-5.20028460624687	1.94497185923904e-20	No	No
Q9Y625	GPC6	-4.13279846678114	8.439437107925759e-11	No	No
