Protein_Group	Genes	mCDK6_500P+P_vs_mCDK6_500P_logFC	mCDK6_500P+P_vs_mCDK6_500P_pval	Removed?	Contaminant?
P11532	DMD	4.44114023466167	3.3556220576122e-08	No	No
P17302	GJA1	3.96165582951752	2.44418303680074e-16	No	No
Q13114	TRAF3	7.53627291530892	7.74652180692667e-06	No	No
Q5SQI0	ATAT1	2.86435438706551	3.85575810792617e-05	No	No
Q9P273	TENM3	2.96286311656362	9.60284799183696e-05	No	No
Q9UIS9	MBD1	5.87073637004847	7.797673630605019e-18	No	No
Q9Y291	MRPS33	5.20028460624687	1.944970821177e-20	No	No
Q9Y625	GPC6	4.13279846678114	8.439424783843679e-11	No	No
O43795	MYO1B	-3.92678520839571	2.06304302769298e-06	No	No
O94919	ENDOD1	-4.36584959541854	2.1216376150557e-07	No	No
O95340	PAPSS2	-6.00129506033295	8.28137283169672e-12	No	No
P02461	COL3A1	-5.11272028891764	3.13982954459353e-13	No	No
P0DP57	SLURP2	-4.17863492460799	2.6865304482824297e-18	No	No
P12883;P13533	MYH6;MYH7	-4.1176422530319	1.91755434398274e-07	No	No
P27986	PIK3R1	-4.55101268230147	1.96292164652028e-16	No	No
P29728	OAS2	-3.7060807911414	8.73105192269896e-13	No	No
P53814	SMTN	-6.48919315890489	9.586789856496589e-13	No	No
Q14764	MVP	-3.85427102467182	1.14337355075141e-05	No	No
Q16643	DBN1	-6.24142125580276	0.0080763569983041	No	No
Q86V21	AACS	-5.69047101703162	2.9558598751072e-13	No	No
Q8NI77	KIF18A	-5.54536645728277	1.8249291321760498e-12	No	No
Q96B96	TMEM159	-3.4083155256376	3.91773923563651e-05	No	No
Q96BK5	PINX1	-5.92030524921302	5.85293046383392e-08	No	No
Q9BYX7	POTEKP	-6.21351362108667	1.2882325918963e-18	No	No
Q9Y6M1	IGF2BP2	-3.17167512585252	2.54649186806124e-07	No	No
