Protein_Group	Genes	mCDK6_500P_vs_mCDK6_logFC	mCDK6_500P_vs_mCDK6_pval	Removed?	Contaminant?
O76024	WFS1	3.70445943597141	0.0003843883022492	No	No
O95968	SCGB1D1	2.57044535182796	4.13244272533735e-07	No	No
P02461	COL3A1	3.96834131144515	1.04400975848619e-10	No	No
P29728	OAS2	2.91797675186857	1.95510484320976e-10	No	No
P35568	IRS1	4.42526897012632	0.000557164020682	No	No
Q04721	NOTCH2	4.09128182004559	0.003735646001573	No	No
Q2TB10	ZNF800	2.88816734842619	0.0019519383713408	No	No
Q86V21	AACS	5.4185768801133	9.43236235585411e-13	No	No
Q8TDR2	STK35	2.80921129715154	0.001468051200674	No	No
Q96B96	TMEM159	6.75343684560222	2.2389427575659e-10	No	No
Q9BRT6	LLPH	3.57258972061572	3.810305742432e-13	No	No
Q9H568	ACTL8	4.00894639360673	3.0809091571276503e-09	No	No
Q9UIS9	MBD1	5.70776423776704	1.61349257751748e-17	No	No
P17302	GJA1	-2.9958752629049	2.42934517746686e-13	No	No
Q5T5P2	KIAA1217	-4.77893111630117	1.05231341869432e-08	No	No
Q643R3	LPCAT4	-5.32747857234856	9.08087108160419e-06	No	No
Q8N7H5	PAF1	-4.34518253267411	7.59889566107122e-08	No	No
Q9P273	TENM3	-3.23978790817375	3.02161788928692e-05	No	No
