Protein_Group	Genes	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_logFC	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A1A5D9	BICDL2	1.17545653892716	2.72860330701964e-29	No	No
A1Z1Q3	MACROD2	1.49456310091698	6.60754916419222e-13	No	No
A2A2Y4	FRMD3	1.21164835566083	0.0002956469916085	No	No
A2RUS2	DENND3	1.03003438451308	1.8610750561994e-05	No	No
A6NP11	ZNF716	1.09271890493147	1.48095063085337e-06	No	No
C9J069	AJM1	1.02178909148238	5.06981078427109e-16	No	No
H3BPM6	MKRN2OS	1.00877652527815	0.0003013850362414	No	No
O00526	UPK2	1.2401989466814	3.62958204526413e-06	No	No
O00534	VWA5A	1.514937654395	8.46633731337626e-16	No	No
O00590	ACKR2	1.13934338465073	5.09358118980187e-06	No	No
O15232	MATN3	1.31948987872571	3.45729562384111e-25	No	No
O43610	SPRY3	1.54590543120833	1.3283104147473598e-11	No	No
O60238	BNIP3L	1.0255026779146	3.2015092877830797e-28	No	No
O60268	KIAA0513	1.0377886160248	9.160324018611571e-37	No	No
O60299	LZTS3	1.10911939884791	8.96004853096784e-10	No	No
O60443	GSDME	1.08679793845406	6.33287227567871e-17	No	No
O75056	SDC3	1.1017203298702	5.65474668920899e-06	No	No
O75355	ENTPD3	1.02187650962283	8.35382820127821e-05	No	No
O75363	BCAS1	1.78616210824407	2.6370821540162197e-57	No	No
O95255	ABCC6	1.39115568732339	1.03676844249127e-32	No	No
P04155	TFF1	1.01553828249545	0.0005273802886014	No	No
P07476	IVL	1.43296499178831	9.037051656459501e-32	No	No
P08294	SOD3	1.19355054915733	6.99175659840641e-14	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.52379874990796	7.13366805575158e-11	No	No
P11464	PSG1	1.57261183418736	1.3713590476257e-11	No	No
P12273	PIP	1.52117413221625	7.84264859220058e-09	No	No
P12429	ANXA3	1.14823359169312	5.56141029313126e-18	No	No
P14061	HSD17B1	2.32219624875677	3.5970393689157604e-14	No	No
P15408	FOSL2	1.00820941500617	2.6487949773862703e-09	No	No
P17019	ZNF708	1.02831487005542	0.0006404399979704	No	No
P17600	SYN1	1.65224254862263	1.67711094648465e-14	No	No
P23297	S100A1	1.00080417505878	1.90372310832096e-10	No	No
