Protein_Group	Genes	NF1_sg_Tr_vs_NF1_sg_logFC	NF1_sg_Tr_vs_NF1_sg_pval	Removed?	Contaminant?
A0A087WTH1	TMEM265	1.13395962673348	0.0003826201338635	No	No
A0A0C4DGP1		1.11859947764553	6.55479959783051e-05	No	No
A0A0U1RRE5	NBDY	1.58987524400557	0.0023168690106805	No	No
A0A140G945;P02489	CRYAA2;CRYAA	2.74935108880417	9.90371367219504e-07	No	No
A1A5D9	BICDL2	1.34863923483186	4.7626608520712e-19	No	No
A6NKN8	PCP4L1	1.29363390082721	0.000135015567328	No	No
A6NMD0	IFITM10	2.06601269450188	4.57086327893192e-08	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.07508174508387	1.02854810739342e-05	No	No
O00534	VWA5A	1.20756833214619	1.39918158949275e-05	No	No
O00716	E2F3	1.02473060608701	1.90443182960178e-11	No	No
O14638	ENPP3	1.60521043932775	2.92823625073027e-08	No	No
O14807	MRAS	1.00357862828674	1.32909572875595e-10	No	No
O15232	MATN3	1.05835532312718	5.90837038616624e-10	No	No
O15393	TMPRSS2	1.510151862756	8.59342804072678e-17	No	No
O43610	SPRY3	1.01901667362811	0.0034999324897297	No	No
O43795	MYO1B	1.04962378544648	5.9147938632201e-39	No	No
O43934	MFSD11	2.07108910146458	0.0001714057102807	No	No
O60262	GNG7	1.40919475447929	0.0013138083895	No	No
O60299	LZTS3	1.17058332506354	5.98097373317947e-05	No	No
O60381	HBP1	1.73910220425618	0.0008726740777972	No	No
O60688;Q96QA6	YPEL1;YPEL2	1.14867655278016	0.0001343160106863	No	No
O75056	SDC3	1.42754999758598	0.0004806488521949	No	No
O75363	BCAS1	2.04928200060198	4.74643480831294e-44	No	No
O75365	PTP4A3	1.13885257649287	0.0056464191215327	No	No
O95190	OAZ2	1.79396180433101	6.00168633582026e-05	No	No
O95255	ABCC6	1.50556282288025	1.79309428345925e-20	No	No
P01106	MYC	1.97456634352815	5.51456755180759e-08	No	No
P02461	COL3A1	1.65070452154268	7.66847629812254e-35	No	No
P05981	HPN	1.11591330767084	7.87918487169803e-10	No	No
P07476	IVL	1.80167601477491	2.9693023605413e-23	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.49234184726785	5.60752059280581e-05	No	No
P10909	CLU	1.63147054596817	4.8717234640696805e-09	No	No
P11137	MAP2	1.08992617291463	2.50401867653054e-08	No	No
P11464	PSG1	1.51242475847833	3.50258871770729e-05	No	No
P12273	PIP	1.50000515704816	0.0004247595629979	No	No
P14061	HSD17B1	2.22229784265967	2.29711567113267e-06	No	No
P15289	ARSA	1.04203653543729	1.07547315158955e-20	No	No
P17040	ZSCAN20	2.41142100473233	7.5248443035614e-08	No	No
P17540	CKMT2	1.00211126625282	2.96961261890245e-13	No	No
P20231;Q15661	TPSB2;TPSAB1	1.57903099419682	6.54464773608593e-05	No	No
P20749	BCL3	1.01201567887682	2.21376419189844e-12	No	No
P22304	IDS	1.13293020231819	0.0003183472189805	No	No
P24385	CCND1	1.03477982208688	2.7957640516562e-15	No	No
P24593	IGFBP5	1.15951980607034	3.34588357695644e-20	No	No
P31512	FMO4	1.18061627933946	1.0546108233807e-11	No	No
P32004	L1CAM	1.35509933432358	2.4371944457531402e-17	No	No
P32455	GBP1	1.36930401678846	2.27766961042486e-06	No	No
P32456	GBP2	1.00211694717266	0.0017959146809349	No	No
P37088	SCNN1A	1.01155688057666	0.004946043661472	No	No
P39060	COL18A1	1.16169311517289	1.5407999519313e-08	No	No
P41226	UBA7	1.35525168149878	7.32162939772945e-05	No	No
P42568	MLLT3	1.09156488545065	8.38945932420896e-06	No	No
P42772	CDKN2B	1.81251069926219	1.1445004074482e-11	No	No
P43363	MAGEA10	1.13580872328038	6.78753086374175e-05	No	No
P49789	FHIT	1.16602006693673	7.0793852875032e-15	No	No
P50461	CSRP3	1.0879931991323	0.0027078622087983	No	No
P51178	PLCD1	1.03327147500108	4.38361323476772e-15	No	No
P52823	STC1	1.58900834850615	0.0001028987823342	No	No
P53675	CLTCL1	1.02037595044191	0.0014838005608612	No	No
P54868	HMGCS2	1.30835271015243	5.1040889117127e-05	No	No
P61587	RND3	1.40552350370547	7.076024951268399e-12	No	No
P61601	NCALD	1.35243342031256	3.10700601442915e-07	No	No
P62699	YPEL5	1.03498012911775	1.00858672563489e-21	No	No
P78380	OLR1	1.21330614421652	0.0052309994899181	No	No
P78410	BTN3A2	2.45819079964712	5.97939218202718e-12	No	No
P80404	ABAT	1.1102345658413	2.84018461888836e-27	No	No
Q00887	PSG9	1.51438935688257	4.94199233505862e-06	No	No
Q04609	FOLH1	1.80910694557163	1.51882136560374e-12	No	No
Q0IIM8	TBC1D8B	1.07529295894224	4.78884500903623e-08	No	No
Q13003	GRIK3	1.09061723311282	7.69597832087458e-08	No	No
Q13018	PLA2R1	1.22710986526787	0.0021912090905775	No	No
Q13576	IQGAP2	1.02490148631053	0.0088021548569076	No	No
Q13753	LAMC2	1.01536031129755	4.33538260940516e-05	No	No
Q14764	MVP	1.11057752795732	3.46114110933646e-29	No	No
Q14766	LTBP1	1.36813871870414	7.98311621373153e-08	No	No
Q14894	CRYM	2.21998079828853	2.32108631373566e-06	No	No
Q15269	PWP2	1.56226963301497	0.000303350950772	No	No
Q15303	ERBB4	1.17727657808904	1.01366237897119e-13	No	No
Q16739	UGCG	1.10958564417087	1.06078208808026e-22	No	No
Q32MH5	FAM214A	1.4506344237165	5.30091865633569e-06	No	No
Q3C1V0	MS4A18	1.43220799882766	0.0092076047222729	No	No
Q49AH0	CDNF	1.56623905013446	0.0001305358328602	No	No
Q49AM1	MTERF2	1.94779105470698	9.6431792424757e-11	No	No
Q4VNC1	ATP13A4	2.12398454783385	1.19947134993732e-12	No	No
Q504U0	C4orf46	1.17301517333275	0.0022578451011995	No	No
Q53H80	AKIRIN2	2.35183506317311	1.56437636565982e-12	No	No
Q5H9U9	DDX60L	1.04337432353718	0.0007463866386925	No	No
Q5JTZ5	C9orf152	1.10935458140521	9.29721019409498e-09	No	No
Q5MY95	ENTPD8	1.52077407533846	2.56906211159777e-05	No	No
Q5T0T0	MARCHF8	1.12787048957898	0.0058888215408845	No	No
Q5VT25	CDC42BPA	1.14172101151541	2.27954733440977e-17	No	No
Q5VWT5	FYB2	1.14020889954745	1.76487993825093e-05	No	No
Q60I27	ALS2CL	1.57159494129592	3.85653312527422e-14	No	No
Q63HM1	AFMID	1.01254639720984	8.77675539188742e-07	No	No
Q68DD2	PLA2G4F	1.04839122043028	2.30875779519767e-12	No	No
Q6GMR7	FAAH2	1.02472353355671	1.37102228780361e-09	No	No
Q6P2H8	TMEM53	1.54265535287653	2.60919244264356e-06	No	No
Q6PHW0	IYD	1.75195458719489	2.53860423222923e-05	No	No
Q6UWH4	GASK1B	1.87048493766679	4.8154429415158105e-09	No	No
Q6UX71	PLXDC2	1.25294349301979	5.952950288649079e-11	No	No
Q6UXK5	LRRN1	1.1312061142927	0.0060588498670879	No	No
Q6UY01	LRRC31	2.10991674992029	1.07195449932152e-16	No	No
Q6ZUT6	CCDC9B	1.12637723810437	4.41452585469921e-05	No	No
Q6ZV29	PNPLA7	1.540478217501	1.18987074152432e-11	No	No
Q6ZW31	SYDE1	1.60765669423719	0.0024218281044666	No	No
Q70EL1	USP54	1.07756593345879	5.5393606448879e-40	No	No
Q7L2R6	ZNF765	1.32835336610121	7.96803980164122e-07	No	No
Q7L311	ARMCX2	1.14346016447722	3.21297770776243e-11	No	No
Q7Z3G6	PRICKLE2	1.06123102329622	7.8094423971945e-05	No	No
Q7Z404	TMC4	1.06867015768305	7.14474105955112e-13	No	No
Q7Z465	BNIPL	1.0480109163606	7.272505532601149e-29	No	No
Q7Z7D3	VTCN1	1.57456667083008	1.15358546185465e-10	No	No
Q86UK0	ABCA12	1.27003864042558	1.23497867371262e-07	No	No
Q86UR1	NOXA1	1.17978471217215	3.29669726120345e-06	No	No
Q86VV4	RANBP3L	1.59300038644354	3.10200386650853e-08	No	No
Q86VZ6	JAZF1	1.73274776528629	0.0031723839229938	No	No
Q86XI6	PPP1R3B	1.74783594706405	3.57105813216414e-08	No	No
Q8IU68	TMC8	2.49600364219264	1.2572050153393002e-10	No	No
Q8IUZ5	PHYKPL	1.03468878061211	1.775909104383e-10	No	No
Q8IVA1	PCP2	1.64486166799066	8.56737086655128e-09	No	No
Q8IVI9	NOSTRIN	1.02649525668439	1.74230705727937e-06	No	No
Q8IWP9	CCDC28A	1.16147686922686	0.0004493821179134	No	No
Q8IWW8	ADHFE1	1.26278894201692	1.0546089019599401e-09	No	No
Q8IYK8	REM2	1.43439549215933	0.0060878317351515	No	No
Q8IZJ3	CPAMD8	1.44846855465048	5.65034874412248e-10	No	No
Q8N283	ANKRD35	2.43560153979937	0.0029163344255496	No	No
Q8N307	MUC20	1.79626022270129	1.26295068839413e-16	No	No
Q8N3V7	SYNPO	1.77843565888786	1.27890403909478e-06	No	No
Q8N4U5	TCP11L2	1.06319824322149	0.0062160445097759	No	No
Q8N6N6	NATD1	1.16540127090521	3.17362175170571e-13	No	No
Q8N7X4	MAGEB6	2.43732506264205	1.48844732240358e-08	No	No
Q8N8I0	SAMD12	1.20663190106465	0.0013572365867859	No	No
Q8NEG7	DENND6B	1.08978968481575	6.67480778767414e-05	No	No
Q8NFP4	MDGA1	1.87742006721255	0.0001233258120184	No	No
Q8NFT2	STEAP2	1.30966670823199	1.2382516029407699e-12	No	No
Q8NG66	NEK11	1.32885641151815	0.0001515023542562	No	No
Q8TB45	DEPTOR	1.24323140239478	1.1435871696289099e-12	No	No
Q8TC76	FAM110B	1.03169443338479	5.94119937005477e-05	No	No
Q8TF21	ANKRD24	1.80133669665406	0.000493538403015	No	No
Q8WUH6	TMEM263	1.29433210125784	1.22034012191834e-05	No	No
Q92508	PIEZO1	1.19523303465923	1.88943742421463e-18	No	No
Q92597	NDRG1	1.56189432876881	1.28687428954933e-09	No	No
Q92963	RIT1	1.08810871700502	0.0009464205059364	No	No
Q969W9	PMEPA1	1.08975636176562	8.84149142576464e-05	No	No
Q96AD5	PNPLA2	1.59837864722954	2.0846788558629202e-17	No	No
Q96AH8	RAB7B	2.28204587718156	1.9437685166517203e-09	No	No
Q96B96	TMEM159	1.01512632201358	2.76642534355089e-09	No	No
Q96B97	SH3KBP1	1.42644336441838	1.25498276939142e-05	No	No
Q96DA0	ZG16B	1.8415699255207	3.78901309455607e-06	No	No
Q96DX5	ASB9	1.47057957915466	0.0016683892855026	No	No
Q96NY7	CLIC6	1.0118205847663	7.23387160916781e-05	No	No
Q99489	DDO	1.83453003088904	2.8714721614527e-05	No	No
Q99574	SERPINI1	2.07570771228625	3.54074138819687e-27	No	No
Q99715	COL12A1	2.11467664885565	3.5106831975509104e-09	No	No
Q99990	VGLL1	1.53173777049303	0.0001781800703143	No	No
Q9BQR3	PRSS27	1.59565656469955	7.762008584668861e-10	No	No
Q9BQT9	CLSTN3	1.40279934260744	7.02755988475418e-06	No	No
Q9BT76	UPK3B	1.420072885577	0.0003425650119843	No	No
Q9BVG3	TRIM62	1.18982813228579	5.04000843420102e-07	No	No
Q9BW04	SARG	2.32961085787231	2.29179541617403e-09	No	No
Q9BXI9	C1QTNF6	1.24461758519224	4.84225963977276e-05	No	No
Q9BXL6	CARD14	1.00025827767282	8.21489637488917e-24	No	No
Q9BY76	ANGPTL4	1.22721606361329	0.0022036648935094	No	No
Q9BY84	DUSP16	1.71062925467689	9.72320066265658e-10	No	No
Q9H0Q0	CYRIA	1.18583193810087	0.0001634742825469	No	No
Q9H0R8	GABARAPL1	1.22198024297052	8.75975397393711e-09	No	No
Q9H3S4	TPK1	1.00455725025725	0.007600591275702	No	No
Q9H841	NIPAL2	1.14698459864241	0.0022473586948938	No	No
Q9HAH1	ZNF556	1.25946233299165	2.9359482648889903e-09	No	No
Q9HB63	NTN4	1.28775074221878	0.0002366837796241	No	No
Q9HCH5	SYTL2	1.73524888240839	5.62389660834729e-10	No	No
Q9NPE6	SPAG4	1.57642202027472	0.0004042363971257	No	No
Q9NR34	MAN1C1	1.32125358048345	4.37346782039776e-08	No	No
Q9NRH3	TUBG2	1.13261547968498	4.15970694837485e-06	No	No
Q9NX95	SYBU	1.79420668374846	0.0004709530131217	No	No
Q9UHE8	STEAP1	1.11177002219445	0.0046005969427413	No	No
Q9UIY3	RWDD2A	1.19382343240083	0.000110467557904	No	No
Q9UJH8	METRN	1.25890182853696	0.0016099103036996	No	No
Q9UJV3	MID2	1.5590482877199	0.0062663924974664	No	No
Q9UKI2	CDC42EP3	1.06306524520322	0.0051125905911739	No	No
Q9UKV0	HDAC9	3.29309893578861	4.6289227917844395e-34	No	No
Q9ULI3	HEG1	1.19243247911293	1.31893443859913e-15	No	No
Q9ULK2	ATXN7L1	1.86125799546445	2.72117736905045e-06	No	No
Q9ULK6	RNF150	1.16118689266048	0.0002518774018534	No	No
Q9ULL4	PLXNB3	1.02562600110157	2.7628642485294597e-12	No	No
Q9UN74	PCDHA4	1.08372032943237	0.0009724644211884	No	No
Q9UPQ0	LIMCH1	1.53636768445726	1.84915368973139e-28	No	No
Q9UPU9	SAMD4A	1.03108674339886	1.90387501767344e-12	No	No
Q9Y2D0	CA5B	1.46628207689242	3.45639025714446e-17	No	No
Q9Y2Q0	ATP8A1	1.05463254442314	4.70031774355121e-13	No	No
Q9Y5L2	HILPDA	1.88043377502355	1.57687996556717e-06	No	No
Q9Y5U8	MPC1	1.12003000506792	0.0001785638857539	No	No
A6NKF1	SAC3D1	-1.14215123314838	1.37340461881583e-14	No	No
A8MT69	CENPX	-1.32358984227236	1.79213628330822e-08	No	No
B6SEH9	ERVV-2	-1.17467294813686	0.0011092983517289	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-1.28541947270823	0.000170638826928	No	No
O00311	CDC7	-2.41997050595779	2.9784613115648104e-19	No	No
O00458	IFRD1	-2.19437589769605	9.710840884942451e-09	No	No
O00762	UBE2C	-3.75672282651186	3.58290517531815e-16	No	No
O14578	CIT	-3.07148812933755	4.74601192318398e-29	No	No
