Protein_Group	Genes	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_logFC	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_pval	Removed?	Contaminant?
A0A087WTH1	TMEM265	1.1225671678106	0.0004335071794035	No	No
A1A5D9	BICDL2	1.19609162558933	1.58053848033895e-16	No	No
A6NCQ9	RNF222	1.6352626526025	0.0046947838826409	No	No
A6NCS6	C2orf72	1.26863337945312	1.30242538118691e-14	No	No
A6NEE1	PLEKHD1	1.049517196799	0.0017061452323413	No	No
A6NMD0	IFITM10	1.22688694803403	0.0005654043998665	No	No
A8MSI8	LYRM9	1.27405754892381	2.37107136300587e-07	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.12772645806484	4.20877575983881e-06	No	No
B6SEH9	ERVV-2	1.96914957521879	2.21326872205494e-07	No	No
O00526	UPK2	1.34649340645337	0.0024985624201727	No	No
O00590	ACKR2	1.9254333760456	8.07680025797473e-06	No	No
O00622	CCN1	1.51552820110459	3.75439737578982e-12	No	No
O00635	TRIM38	1.23133908171431	2.6316795482078e-05	No	No
O15050	TRANK1	1.38798560550797	5.26004361606125e-06	No	No
O15232	MATN3	1.37938448878302	4.14351417361594e-14	No	No
O15438	ABCC3	1.54865951706447	1.01960721756681e-05	No	No
O15484	CAPN5	1.00089574237088	1.08987864397795e-05	No	No
O43736	ITM2A	2.9989342899041	1.69690242451432e-14	No	No
O60437	PPL	1.15378708538855	2.61111124689902e-34	No	No
O60443	GSDME	1.25222475940847	5.141711493064901e-10	No	No
O60879	DIAPH2	1.65137692606219	0.0003819783131453	No	No
O60890	OPHN1	1.06994331915843	3.4814081227661603e-15	No	No
O75056	SDC3	2.07420778110567	1.05650670424939e-06	No	No
O75363	BCAS1	1.46325722094066	7.4411487851543095e-34	No	No
O75953	DNAJB5	1.16097231302749	7.67823558668638e-05	No	No
O95147	DUSP14	1.00284568407347	2.27702057962254e-07	No	No
O95190	OAZ2	1.58968514426	0.0003264299145188	No	No
O95255	ABCC6	1.72083483290458	1.1481799982090301e-23	No	No
O95633	FSTL3	2.0229667731576	0.0002699086940884	No	No
O95754	SEMA4F	1.11930632063129	0.0004030538254862	No	No
O95832	CLDN1	1.31279241935303	4.810624223099489e-16	No	No
P01033	TIMP1	1.34969539509171	2.65290811196685e-07	No	No
P01911	HLA-DRB1	1.05660724374797	0.0002154614716404	No	No
P01920	HLA-DQB1	1.01277888592323	0.0084277202148781	No	No
P03928	MT-ATP8	1.07200455738061	4.29709407474562e-07	No	No
P04083	ANXA1	1.04284207985197	4.47303046866544e-11	No	No
P04626	ERBB2	1.01245209881338	1.69005503210593e-16	No	No
P05155	SERPING1	1.63207777732466	3.904721672065e-06	No	No
P05981	HPN	1.61129104956468	7.53955245461047e-16	No	No
P05997	COL5A2	1.40177585897326	0.00067448250251	No	No
P06731	CEACAM5	1.86644775029459	5.8500383071564e-08	No	No
P07476	IVL	2.1922061439168	2.4945465847346998e-28	No	No
P08294	SOD3	1.57812671105436	1.0227547214440402e-09	No	No
P08648	ITGA5	1.35520837209651	4.988851017085161e-25	No	No
P08842	STS	1.39376433918519	1.50232560433966e-14	No	No
P09529	INHBB	1.16456222454736	1.72571709876517e-05	No	No
P10176	COX8A	1.56803628118759	0.0001865197769552	No	No
P10909	CLU	1.69710402639145	1.53941234288758e-09	No	No
P11464	PSG1	2.84576008814813	2.81131369375278e-12	No	No
P12109	COL6A1	1.00719978055752	0.0006193288721473	No	No
P12273	PIP	2.72115501533966	3.1290650955696404e-09	No	No
P14061	HSD17B1	2.20627854335425	2.65716489064083e-06	No	No
P15313	ATP6V1B1	2.25801449702244	8.003360823076449e-11	No	No
P17540	CKMT2	1.26995099341994	9.06975322600983e-18	No	No
P17600	SYN1	1.28178416398538	6.72453479954141e-05	No	No
P17735	TAT	2.72245171810376	1.4222690987336e-09	No	No
P17813	ENG	1.46937820028084	3.1955925935909496e-18	No	No
P18564	ITGB6	1.08118010144497	0.0001960171997503	No	No
P19021	PAM	1.09307954847785	1.5175227864057499e-12	No	No
P20231;Q15661	TPSB2;TPSAB1	1.59384110562202	5.671095657529e-05	No	No
P22532	SPRR2D	3.40239462329632	0.0004005804961418	No	No
P24385	CCND1	1.41903460843288	4.497606998871659e-22	No	No
P25311	AZGP1	1.1591309366557	0.0017615450102919	No	No
P26651	ZFP36	1.27725195517967	0.0033963860546916	No	No
P28067	HLA-DMA	1.42509780444886	0.0034999766349065	No	No
P29400	COL4A5	1.08218071702498	0.0001403169176071	No	No
P31512	FMO4	1.295429042242	3.27046207561498e-13	No	No
P32004	L1CAM	1.54199307172442	3.8226602008425504e-20	No	No
P33897	ABCD1	1.05553820907419	7.86055748666125e-25	No	No
P35408	PTGER4	1.04461150586386	0.0002857850375848	No	No
P39060	COL18A1	1.01461236673588	4.40288290716743e-07	No	No
P40305	IFI27	2.34423596131868	4.42999921389864e-27	No	No
P42772	CDKN2B	1.0719323047903	1.09460676436323e-05	No	No
P43363	MAGEA10	1.46574772610988	6.08173363309058e-07	No	No
P49326	FMO5	1.10324997638092	2.3903572736024e-11	No	No
P49641	MAN2A2	1.01626218168749	1.8614457047621e-15	No	No
P49703	ARL4D	1.48885392100519	0.0001599518592579	No	No
P50135	HNMT	1.10190733959699	0.0011076160791843	No	No
P51161	FABP6	1.07815676786593	0.0023937815438366	No	No
P51511	MMP15	1.16602848984816	3.2117902265623597e-12	No	No
P51513	NOVA1	1.43337849962975	1.65519628925009e-06	No	No
P52799	EFNB2	1.17274845498746	0.0006589784232348	No	No
P55085	F2RL1	1.39008872287671	0.0013034176971171	No	No
P55809	OXCT1	1.06168852061781	0.0049444774601897	No	No
P56748	CLDN8	2.52405169706657	0.0018757004598366	No	No
P60059	SEC61G	1.08490688720352	2.91244553516122e-08	No	No
P61587	RND3	1.04772750022067	5.6472212991489e-08	No	No
P61601	NCALD	1.1801797931638	5.4109095208348e-06	No	No
P80404	ABAT	1.18162633392379	5.93203660759654e-29	No	No
P98082	DAB2	1.43573161470457	1.24225655393799e-06	No	No
P98153	DGCR2	1.26290241307735	2.17825601268207e-07	No	No
P98155	VLDLR	1.19853641124167	0.007608692607464	No	No
Q00887	PSG9	2.59976974423437	1.3608017859755e-12	No	No
Q05682	CALD1	1.03483025799623	6.64659601819136e-05	No	No
Q07654	TFF3	1.15833254197361	9.61056240664415e-07	No	No
Q08380	LGALS3BP	1.02060033740284	2.02942506711447e-21	No	No
Q12841	FSTL1	1.14431988914982	0.0002884229252566	No	No
Q13018	PLA2R1	1.38484666069924	0.0006037076895979	No	No
Q14153	FAM53B	1.34700270518854	0.0002714923309424	No	No
Q14185	DOCK1	1.00047941011737	2.17127996916775e-07	No	No
Q14315	FLNC	1.17999100280981	3.4322421007328e-06	No	No
Q14393	GAS6	1.07521942759958	0.0014330850348465	No	No
Q14749	GNMT	1.13295054400318	0.0027140547760317	No	No
Q14764	MVP	1.47903212680515	1.9697231306624502e-37	No	No
Q15067	ACOX1	1.01670737438171	4.80542464069464e-28	No	No
Q15646	OASL	1.04148835151474	8.97463310616667e-06	No	No
Q15828	CST6	3.13807804122136	6.209622013050351e-09	No	No
Q15847	ADIRF	1.01224482372874	0.0008396598260391	No	No
Q16270	IGFBP7	1.62741730067789	0.0018684836677222	No	No
Q3BBV2	NBPF8	1.49969740740858	4.04511059913865e-10	No	No
Q49AM1	MTERF2	1.02077542675892	0.0001923008202908	No	No
Q4VNC1	ATP13A4	1.26005326960124	3.24825120017946e-06	No	No
Q5BKX6	SLC45A4	1.46907575771951	1.5365424125807402e-09	No	No
Q5MY95	ENTPD8	1.150796217392	0.0011145303212706	No	No
Q5T750	XP32	3.84338586413443	3.46182480591096e-08	No	No
Q5TC79	ZBTB37	2.85800983279648	1.64235636603891e-05	No	No
Q5VWT5	FYB2	2.72908642317556	1.78640181792213e-17	No	No
Q60I27	ALS2CL	1.3057921832681	4.1643099150559896e-11	No	No
Q684P5	RAP1GAP2	1.9281229037837	3.20528176255095e-07	No	No
Q68CR1	SEL1L3	1.17630700896064	0.0067041703061989	No	No
Q6P2H8	TMEM53	1.35817300570406	2.67870764594974e-05	No	No
Q6PHW0	IYD	1.80567205651211	1.51603360146779e-05	No	No
Q6UWH4	GASK1B	1.95810070273967	1.2570905776342e-09	No	No
Q6UWH6	TEX261	1.86016114735913	6.33335797086199e-05	No	No
Q6UX71	PLXDC2	1.12511438614267	1.8063663424456501e-09	No	No
Q6UXK5	LRRN1	1.36867141940281	0.0010175641358673	No	No
Q6ZVM7	TOM1L2	1.26084972337814	1.4716460380429899e-36	No	No
Q70IA8	MOB3C	1.12741820156816	0.0003516066707904	No	No
Q76KP1	B4GALNT4	1.00143102632798	0.0006783635055679	No	No
Q7L311	ARMCX2	1.01453870099611	1.5064131560441e-09	No	No
Q7LBR1	CHMP1B	1.03072535845038	0.0001691254429026	No	No
Q7Z7D3	VTCN1	1.09223057310021	1.8665495423734e-06	No	No
Q86VV4	RANBP3L	1.75629915649955	2.0503558196818204e-09	No	No
Q86WV1	SKAP1	1.52295163495381	4.50842669444622e-05	No	No
Q8IV20	LACC1	3.25525054202919	1.85539084568598e-12	No	No
Q8IVI9	NOSTRIN	1.54083625673772	2.6273272644832797e-11	No	No
Q8IWW8	ADHFE1	1.13337516220866	2.28261615951978e-08	No	No
Q8IZJ3	CPAMD8	1.36722956459061	3.2050659103259304e-09	No	No
Q8N1L4	CYP4Z2P	1.43014760003743	0.0001106011361899	No	No
Q8N283	ANKRD35	2.66856755293845	0.0011807069179404	No	No
Q8N3V7	SYNPO	1.74557473021507	1.8846997132243e-06	No	No
Q8N6N6	NATD1	1.63318334739954	6.33887132051761e-20	No	No
Q8NBV8	SYT8	1.03984483970639	0.0004309044464166	No	No
Q8NCC5	SLC37A3	1.05660114537603	0.0024915025569583	No	No
Q8NEY4	ATP6V1C2	1.17540956600122	0.009473044930377	No	No
Q8NFJ5	GPRC5A	1.06775962673413	4.31032716548791e-16	No	No
Q8TB45	DEPTOR	1.59383107723842	2.77665268847274e-17	No	No
Q8TCX5	RHPN1	1.09702455988358	2.17417906736504e-17	No	No
Q8TE85	GRHL3	1.85721306047264	0.0002944349012685	No	No
Q8TF21	ANKRD24	2.79593608122111	2.54158158205645e-07	No	No
Q8WW38	ZFPM2	1.27041046724651	0.0001036748552465	No	No
Q8WWA1	TMEM40	1.6151828217406	6.80574582832692e-21	No	No
Q8WWY8	LIPH	1.10070102258389	7.71998822488222e-11	No	No
Q92508	PIEZO1	1.36277744858718	2.08935145310813e-21	No	No
Q92777	SYN2	1.27402214460631	0.0084270335571477	No	No
Q92817	EVPL	1.08211917059293	2.86173281343479e-34	No	No
Q969W9	PMEPA1	2.23026663135989	1.1338043510027699e-12	No	No
Q96AZ6	ISG20	1.13183516108223	0.0039660628093476	No	No
Q96B96	TMEM159	1.01591289544023	2.7045221532359102e-09	No	No
