Protein_Group	Genes	PTEN_sg_#3_vs_LCv2_EV_Blast_logFC	PTEN_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	2.26144067200519	3.3460637298046e-14	No	No
A0A0U1RRE5	NBDY	1.72120922244927	9.8951191377214e-05	No	No
A2RTX5	TARS3	1.09704283638799	7.97936034005999e-16	No	No
A6NK75	ZNF98	1.00028703280526	0.0003550531209275	No	No
A8MWY0	ELAPOR2	1.42384114828961	1.06771238969979e-14	No	No
O00458	IFRD1	1.37929059841141	6.05269080870741e-06	No	No
O14879	IFIT3	1.53798226983101	0.000106365660167	No	No
O14967	CLGN	2.08873949412484	2.48209954947983e-09	No	No
O15347	HMGB3	1.06634717655395	2.93197682476923e-25	No	No
O43556	SGCE	1.00910703216692	2.13518043113314e-05	No	No
O43610	SPRY3	1.64505165144822	1.07411527889156e-07	No	No
O60779	SLC19A2	1.000506588441	1.73792455110017e-07	No	No
O95180	CACNA1H	2.35757830316288	1.93229672379784e-08	No	No
O95751	LDOC1	2.07979094612261	4.41056464771295e-11	No	No
P00973	OAS1	1.78302411075015	4.86260301396563e-06	No	No
P01040	CSTA	1.11758665106962	0.0049661627307018	No	No
P01906	HLA-DQA2	1.19054898662442	3.6166613845924e-07	No	No
P04216	THY1	1.520319724076	1.1138534113132301e-14	No	No
P05161	ISG15	2.21072458138675	8.62155270433862e-21	No	No
P07195	LDHB	3.01871447407823	2.9993582888526e-17	No	No
P08195	SLC3A2	1.23796438044667	2.25725067595368e-08	No	No
P09913	IFIT2	1.57404206104703	0.0002213659161531	No	No
P09914	IFIT1	1.81051635407078	4.30560984945223e-11	No	No
P0DTW1	GAGE1	2.37512281061893	4.44232879073625e-05	No	No
P14061	HSD17B1	1.90773380055552	1.17033912458461e-06	No	No
P14778	IL1R1	1.10963420103195	0.00230506082571	No	No
P15259	PGAM2	1.34682207481914	0.0001167946717843	No	No
P17026	ZNF22	1.03328109507627	1.42799107269676e-08	No	No
P17066	HSPA6	2.09013977963794	0.001825575825861	No	No
P20591	MX1	3.2389352426276	8.5804450382289e-19	No	No
P21333	FLNA	1.01971523954176	3.45383184946528e-35	No	No
P21731	TBXA2R	1.44690806647201	0.0006697866976716	No	No
P21741	MDK	1.91623937829171	1.07694130953122e-13	No	No
P22415	USF1	1.46173405655208	0.0005795370031828	No	No
P22492	H1-6	1.45294131417553	8.00460477374336e-05	No	No
P25815	S100P	1.40858573830972	2.23886746265543e-10	No	No
P27338	MAOB	1.04185624431547	1.68645914077612e-06	No	No
P29728	OAS2	2.62367330443926	1.17107911808092e-26	No	No
P32455	GBP1	1.20803095573346	6.42622385230588e-07	No	No
P32456	GBP2	1.06782177367544	8.51284524553589e-05	No	No
P33897	ABCD1	1.13430793532391	9.13378251967182e-32	No	No
P34741	SDC2	1.32560245295966	1.39633358876535e-29	No	No
P43355	MAGEA1	3.33014930823038	7.60954960204188e-31	No	No
P43357	MAGEA3	2.54661254135144	5.893554100351691e-14	No	No
P43365	MAGEA12	5.10848931381925	8.47826572062012e-43	No	No
P46821	MAP1B	1.5485911827505	4.33100993389277e-05	No	No
P48029	SLC6A8	1.11004195546811	1.76867634060776e-10	No	No
P48066	SLC6A11	1.75784062307225	1.11221008070625e-06	No	No
P51606	RENBP	1.41061545410655	1.98985220994621e-05	No	No
