Protein_Group	Genes	RB1_sg_Tr_vs_RB1_sg_logFC	RB1_sg_Tr_vs_RB1_sg_pval	Removed?	Contaminant?
A6NNZ2	TUBB8B	2.02232461661995	0.0015771729823001	No	No
A8K8V0	ZNF785	2.51963865774432	1.41485961034622e-23	No	No
O14957	UQCR11	2.09702889451157	0.0001054861425573	No	No
P08913	ADRA2A	1.04537954422723	0.0047219454395867	No	No
P09913	IFIT2	2.02982728915594	8.3627526495196e-05	No	No
P43351	RAD52	1.33632891346159	0.00486600216353	No	No
P49746	THBS3	1.48221787595058	0.0001688885030534	No	No
P58005	SESN3	2.5480102887817	0.0028703481299506	No	No
P62877	RBX1	1.28831138635755	6.03692693420143e-08	No	No
P67936	TPM4	3.71988252154387	5.11761284198654e-16	No	No
P68106	FKBP1B	1.39168588481522	0.0009974755202762	No	No
Q00597	FANCC	2.14322436643355	6.9416582151123e-06	No	No
Q16695	H3-4	1.31392181425323	0.0003382727620321	No	No
Q5BN46	C9orf116	1.22769284772545	0.0016130693590548	No	No
Q5MY95	ENTPD8	1.11548457665467	0.0015450146684164	No	No
Q6P2D0	ZFP1	1.57261199365747	2.16860730222715e-05	No	No
Q6UXH9	PAMR1	3.23251985674868	7.695977043569591e-58	No	No
Q6ZNL6	FGD5	1.22863359363656	0.0099664647918088	No	No
Q7Z2H8	SLC36A1	1.10608409005365	0.0002123983151278	No	No
Q7Z309	PABIR2	1.21869516237038	0.00042173779431	No	No
Q86WZ6	ZNF227	1.51331184164757	3.72875499346434e-07	No	No
Q8NFZ3	NLGN4Y	1.09393190131503	0.0043280332200143	No	No
Q8TC41	RNF217	2.72305000579533	4.83140463799831e-07	No	No
Q96FL8	SLC47A1	1.26498495894344	2.55539627944217e-06	No	No
Q96L08	SUSD3	1.94421735284856	3.61865909090107e-06	No	No
Q96PX6	CCDC85A	1.25697762226441	0.0049852168199407	No	No
Q99500	S1PR3	1.73795513570763	9.78749658850523e-08	No	No
Q9NQQ7	SLC35C2	1.10653175813176	0.0024315330741118	No	No
Q9P0M2	AKAP7	1.40521778667174	0.0004445202206261	No	No
V9GZ13		1.7548698164026	0.0001529870235662	No	No
O60663	LMX1B	-2.11303077437999	6.0997340148142e-09	No	No
P05546	SERPIND1	-3.02446303446782	1.17544987847679e-13	No	No
P16671	CD36	-3.83021021302647	3.78167697755066e-16	No	No
P19544	WT1	-2.30926900008023	1.25987560470399e-06	No	No
P21731	TBXA2R	-2.55194446374003	1.58998884958029e-06	No	No
P22528	SPRR1B	-3.64892443408073	1.64168702798029e-13	No	No
P22676	CALB2	-1.75455652216299	5.10117151156232e-06	No	No
P55273	CDKN2D	-3.65031760860263	6.95013773055718e-09	No	No
P55771	PAX9	-2.54814423126663	2.14131671762484e-08	No	No
P57052	RBM11	-1.20943076469814	0.005091916799191	No	No
Q0GE19	SLC10A7	-3.47440015846006	1.71680109061125e-06	No	No
Q12778	FOXO1	-1.84568957028721	0.0002412966468493	No	No
Q15828	CST6	-1.91229243831491	0.0001565514835968	No	No
Q17R89	ARHGAP44	-1.40354098455061	0.0042338953200482	No	No
Q6F5E8	CARMIL2	-1.45250279951945	7.36498910748916e-11	No	No
Q6PJP8	DCLRE1A	-1.49299711972016	0.001033911080274	No	No
Q6YHK3	CD109	-2.60131684974878	3.0520185536125603e-09	No	No
Q7Z494	NPHP3	-1.09000448245874	0.0003650063272942	No	No
Q7Z4K8	TRIM46	-1.36157784369564	0.0009683525768307	No	No
Q8IVU3	HERC6	-2.7433863065308	4.39976460152552e-10	No	No
Q8IYI8	ZNF440	-1.95953473810765	0.0015085124390663	No	No
Q8NEA4	FBXO36	-1.1209098856028	0.0047526053292121	No	No
Q96AH8	RAB7B	-1.34720800671556	0.0001391404216325	No	No
Q96M94	KLHL15	-1.20165744243229	0.0055859763950981	No	No
Q96R08	OR5B12	-1.00529825895682	0.0012606145001374	No	No
Q9H568	ACTL8	-1.18810942845587	0.000567503991431	No	No
Q9NPI0	TMEM138	-1.24765121090597	0.0001122886214641	No	No
Q9NY74	ETAA1	-1.52946744025259	0.0086059667948014	No	No
Q9UK45	LSM7	-1.18973083640284	0.0001246445286762	No	No
