Protein_Group	Genes	RB1_sg_vs_LCv2_EV_Blast_logFC	RB1_sg_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A1Z1Q3	MACROD2	1.15111778128921	3.73600571052116e-05	No	No
A6NCS6	C2orf72	1.15689760235491	1.97103462514579e-15	No	No
B4DXR9	ZNF732	1.43329439394804	0.0002688498574609	No	No
O00590	ACKR2	1.39884479756571	0.0001541608925215	No	No
O14967	CLGN	1.22378527856794	0.0003321250489518	No	No
O15162	PLSCR1	1.00808960953774	2.6949598214614897e-11	No	No
O43295	SRGAP3	1.22816582508962	5.3390788725017304e-24	No	No
O60488	ACSL4	1.08523277984966	2.42515267431638e-05	No	No
O75155	CAND2	1.02907106659195	7.07980977087525e-12	No	No
O75363	BCAS1	1.42593450662581	4.22737108181059e-37	No	No
O95154	AKR7A3	1.29615170970597	7.18507968060239e-12	No	No
O95279	KCNK5	2.50164264933587	1.31558384693876e-12	No	No
O95340	PAPSS2	1.17295041681148	4.08874184124967e-07	No	No
O95832	CLDN1	1.10626252227862	2.30605642462689e-15	No	No
O95864	FADS2	1.25441699643117	3.27946112301754e-13	No	No
P05090	APOD	1.63198746395723	2.62526710348828e-26	No	No
P08247	SYP	1.07072233727476	2.04294164734697e-07	No	No
P10909	CLU	1.04395588433557	6.87199193381307e-06	No	No
P12429	ANXA3	1.68512881454219	2.3304598617054802e-17	No	No
P16070	CD44	1.10735917137659	1.3668262643698402e-15	No	No
P17655	CAPN2	1.01594847497635	3.9901875417290194e-30	No	No
P17676	CEBPB	1.09432516728243	1.34036656930245e-14	No	No
P21583	KITLG	1.47066938919189	3.43924448135352e-13	No	No
P21741	MDK	1.03181973846377	1.55829990759266e-05	No	No
P22492	H1-6	1.3000345644503	0.0006645210446569	No	No
P22676	CALB2	1.01018264256455	0.0018085880310305	No	No
P24278	ZBTB25	1.08751166368855	0.0027501300464296	No	No
P24593	IGFBP5	1.00364465355933	5.18899500175386e-20	No	No
P29536	LMOD1	1.53091671789098	0.0003947879543781	No	No
P30874	SSTR2	1.36717017740591	2.64680610661672e-05	No	No
P30988	CALCR	2.02447451396906	2.61018198638341e-16	No	No
P32242	OTX1	1.32078710425438	0.0044633063103242	No	No
P32455	GBP1	1.65100393275395	6.18295586005138e-10	No	No
P41219	PRPH	1.21192007892158	0.0036165141396128	No	No
P41271	NBL1	1.23984714151215	2.1952316632006e-08	No	No
P46821	MAP1B	1.30200481926207	0.0008568136595154	No	No
P47895	ALDH1A3	2.13426268925844	6.20012690477095e-11	No	No
P48539	PCP4	1.08734373604587	0.0012031391457422	No	No
P52803	EFNA5	1.65739651524113	1.35923669598511e-07	No	No
P61328	FGF12	1.47657344781808	8.20732539065768e-19	No	No
P61812	TGFB2	2.76320340153863	1.96843421896291e-07	No	No
P78337	PITX1	1.12920234018587	4.88631414279874e-13	No	No
Q01628	IFITM3	1.73601761635405	1.1112784697444299e-11	No	No
Q01629	IFITM2	1.57182702244516	0.0005352227957149	No	No
Q01650	SLC7A5	1.12305842125421	5.7020157493364e-05	No	No
Q08426	EHHADH	1.3451071485444	1.85039765586631e-29	No	No
Q08AI8	MAB21L4	2.31019720713529	3.38732643926541e-07	No	No
Q0D2K0	NIPAL4	1.89192150773866	5.70308141269329e-13	No	No
Q0GE19	SLC10A7	3.2209514510343	4.68769428760479e-07	No	No
Q12778	FOXO1	1.92311178372702	1.63728571154279e-05	No	No
Q12791	KCNMA1	1.16720633962965	7.32611706310916e-15	No	No
Q13145	BAMBI	1.48108423339298	0.000445137409152	No	No
Q14654	KCNJ11	1.20808815217065	8.40110413050312e-06	No	No
Q14956	GPNMB	2.17256912771194	8.885615914910801e-20	No	No
Q16678	CYP1B1	1.31413963659686	0.0003747336084275	No	No
Q5K651	SAMD9	1.21010674594691	1.35728469635879e-07	No	No
Q5SZK8	FREM2	1.19922283554995	4.72446696840914e-05	No	No
Q5T2W1	PDZK1	2.19390073397416	2.21036095638887e-36	No	No
Q658P3	STEAP3	1.03786313995947	1.97799278902387e-20	No	No
Q6PJP8	DCLRE1A	1.67441316147869	3.63573060260657e-05	No	No
Q6UWS5	PET117	1.90040905412978	2.72193357978918e-05	No	No
Q6UXD7	SLC49A3	1.02887966097012	4.9273351035647e-07	No	No
Q6ZS11	RINL	1.82865057389173	5.7642303650241e-06	No	No
Q7Z7D3	VTCN1	1.24304951976075	2.62497977880744e-09	No	No
Q86TG7	PEG10	1.34270601895811	3.12358045494839e-06	No	No
Q8IVA1	PCP2	1.95447514134736	2.79771150623896e-13	No	No
Q8IXK2	GALNT12	1.28954531722002	4.65138706502906e-07	No	No
Q8N2H4	SYS1	1.14000037290709	7.11922715243837e-10	No	No
Q8N3Y7	SDR16C5	1.25278244975231	9.42792719130892e-22	No	No
Q8N755	SLC66A3	1.14744565373017	8.28611144009749e-07	No	No
Q8NBI5	SLC43A3	1.7258382718696	1.16308684672456e-11	No	No
Q8NCU8	MTLN	1.92744315973727	0.0056786571635414	No	No
Q8NDC0	MAPK1IP1L	1.27143290681903	4.04312550686837e-06	No	No
Q8NFI4	ST13P5	1.61423318441236	0.0024280025182173	No	No
Q8NFP9	NBEA	1.03725517451762	2.51780410018281e-16	No	No
Q8TA94	ZNF563	1.05670799257311	0.0064097316527571	No	No
Q8TCU6	PREX1	1.0957483639205	2.99219688619546e-13	No	No
Q8WU39	MZB1	1.06210824141559	2.46681658499784e-09	No	No
Q92619	ARHGAP45	1.29595543384477	5.88578031896042e-17	No	No
Q92823	NRCAM	1.13821300843508	0.0059462966955026	No	No
Q969W1	ZDHHC16	1.13849354108553	0.0010560896455174	No	No
Q96AP7	ESAM	1.08943167421939	0.0055429759637576	No	No
Q96CX2	KCTD12	1.46992758112327	3.90463158670221e-05	No	No
Q96M32	AK7	1.10897082300259	3.39242280590765e-05	No	No
Q96NY7	CLIC6	1.58350684309374	7.881333271895629e-11	No	No
Q96QP1	ALPK1	1.49056967230994	3.66133587915876e-09	No	No
Q99990	VGLL1	1.21685049608423	0.0005894617045746	No	No
Q9BZD2	SLC29A3	1.54267232541465	5.89626713366056e-05	No	No
Q9GZV1	ANKRD2	1.01247767503037	3.20628501665845e-08	No	No
Q9H015	SLC22A4	2.7937425089392	6.16632149489312e-11	No	No
Q9HB63	NTN4	2.26832374669074	2.4407738806706098e-11	No	No
Q9HBL0	TNS1	1.05597009655248	1.24497764435415e-07	No	No
Q9HCM1	RESF1	1.84143116217358	0.0020001029457987	No	No
Q9NR34	MAN1C1	2.17340653477474	2.20486170399198e-18	No	No
Q9NRJ3	CCL28	2.99873649125851	1.18940589163105e-10	No	No
Q9NRZ5	AGPAT4	1.40690720854894	8.62455383285066e-06	No	No
Q9NX95	SYBU	2.40777434854588	2.89869699996087e-07	No	No
Q9UF47	DNAJC5B	1.38426642335047	1.9265181228406503e-09	No	No
Q9UHE8	STEAP1	1.26755391971552	0.0002738281814169	No	No
Q9UJ37	ST6GALNAC2	1.03115079813858	5.12346319950343e-07	No	No
Q9ULW8	PADI3	1.69913661192456	1.71269844734559e-26	No	No
Q9UNQ0	ABCG2	1.93266746283531	0.0001056781076316	No	No
Q9Y2J8	PADI2	2.08499431619414	9.87341007045001e-20	No	No
A1IGU5	ARHGEF37	-1.23957615801467	1.4704840477972e-09	No	No
A4D1S0	KLRG2	-1.76089501567794	2.12795995499525e-40	No	No
A5YM69	ARHGEF35	-1.11190453623795	1.37499016019427e-06	No	No
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	-1.03412255502518	3.09652158910108e-13	No	No
A6NMD0	IFITM10	-1.70000759214185	1.95772418531565e-07	No	No
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	-3.1935947850297	3.26751003914953e-10	No	No
C9J069	AJM1	-1.2917750250028	8.80345350914192e-13	No	No
O00526	UPK2	-1.74818948436748	1.33503925210913e-05	No	No
O14684	PTGES	-1.8179355212855	1.23230904206294e-23	No	No
O14957	UQCR11	-1.33093703430163	0.0039482015408514	No	No
O15440	ABCC5	-1.04982674211576	8.800074957026331e-31	No	No
O43237	DYNC1LI2	-1.04447303466686	3.4182705315596997e-37	No	No
O60262	GNG7	-1.11537684138028	0.0033898758757028	No	No
O60879	DIAPH2	-1.04588688591675	0.0086395304358932	No	No
O75084	FZD7	-1.84596028677207	1.1828505725556e-10	No	No
O75208	COQ9	-1.10639909650453	9.36244794782232e-24	No	No
O75452	RDH16	-2.61710459761459	1.9540543978086302e-24	No	No
O76070	SNCG	-1.91488939108543	1.06906858606482e-46	No	No
O77932	DXO	-1.12532517413955	4.96520325600725e-05	No	No
O95057	DIRAS1	-1.37706873823391	6.08101879083727e-08	No	No
O95406	CNIH1	-1.15875667660118	0.0087021744624924	No	No
O95819	MAP4K4	-1.04060294870537	2.76321303710007e-16	No	No
P00326	ADH1C	-1.84002388500911	0.0086478871917891	No	No
P00966	ASS1	-1.7656839763991	2.83755883835604e-42	No	No
P00973	OAS1	-1.54606077944168	0.0001183221461966	No	No
P01033	TIMP1	-2.44053206757756	7.769118600580299e-19	No	No
P01911	HLA-DRB1	-1.08286472675398	1.88012620227632e-05	No	No
P02511	CRYAB	-3.04527877532425	2.79551079294891e-33	No	No
P04216	THY1	-2.65190219220491	4.6762120347133004e-26	No	No
P06276	BCHE	-3.14195212474898	4.65077611522989e-09	No	No
P06400	RB1	-4.55662053527624	6.90353079801392e-22	No	No
P07195	LDHB	-1.60746486626656	4.79436427058831e-07	No	No
P08842	STS	-1.36302111595073	9.714943568188491e-17	No	No
P09913	IFIT2	-2.26237534028524	1.03566218338032e-06	No	No
P10636	MAPT	-2.69897161574309	3.87229798177127e-27	No	No
P11532	DMD	-2.09712772728282	2.55724647216352e-07	No	No
P14543	NID1	-1.68053410815657	1.58133288517976e-05	No	No
