Protein_Group	Genes	T47D_ResA_p26_vs_T47D_logFC	T47D_ResA_p26_vs_T47D_pval	Removed?	Contaminant?
A0A494C030	LOC114841035	1.43901021848714	0.0003521340446311	No	No
A1A5C7	SLC22A23	1.26542353801033	1.20588381375044e-21	No	No
A1L170	C1orf226	1.2549072032782	1.3644759325519201e-14	No	No
A4D161	FAM221A	1.2475355268105	0.0033541518385728	No	No
A4D1S0	KLRG2	1.04635426254052	7.0424775399599e-25	No	No
A6NP11	ZNF716	1.12967713466677	0.0008509522345499	No	No
B4DXR9	ZNF732	1.33681795083042	0.0008601415308213	No	No
B5MCN3	SEC14L6	1.55418172744573	1.98835410118134e-05	No	No
O00391	QSOX1	1.01667037114736	1.96913125821588e-23	No	No
O00499	BIN1	1.19462028035023	5.50743925322311e-06	No	No
O00622	CCN1	1.03605910745806	1.9831031443226e-08	No	No
O14879	IFIT3	2.59720915094653	1.08151272358869e-08	No	No
O43240	KLK10	3.29412907070517	1.10208118867711e-19	No	No
O43521	BCL2L11	1.03455173489135	0.0075346080118619	No	No
O60688;Q96QA6	YPEL1;YPEL2	1.38588019859635	6.72461577345957e-07	No	No
O60701	UGDH	1.34277914142107	2.13331727920926e-35	No	No
O60779	SLC19A2	1.11660484463218	7.59255583865235e-08	No	No
O60829	PAGE4	1.41946638486508	1.36164178779493e-21	No	No
O75052	NOS1AP	1.21124423986172	6.02618685024103e-22	No	No
O75373	ZNF737	1.40786516201017	0.0001609442512234	No	No
O75582	RPS6KA5	1.08362460885134	5.766135478760691e-10	No	No
O75907	DGAT1	1.23920566207878	7.462408271911051e-25	No	No
O76054	SEC14L2	1.27463879921687	4.94023511315712e-05	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.31224070151289	8.209041495259001e-27	No	No
O95154	AKR7A3	1.04623121096631	1.42273296913093e-08	No	No
O95263	PDE8B	1.30193214820934	0.0001384579006093	No	No
O95398	RAPGEF3	1.24624133608602	0.0023274310267213	No	No
O95786	DDX58	1.48675381675243	7.85679178459616e-32	No	No
O95864	FADS2	1.36130432498854	3.5536559260184603e-14	No	No
O96017	CHEK2	1.04558323064537	3.91709187029127e-24	No	No
P00747	PLG	1.67693622841761	5.51100930978863e-07	No	No
P00973	OAS1	2.84955475915311	2.28898679003264e-10	No	No
P05090	APOD	1.03013924020517	3.06254492462608e-15	No	No
P05161	ISG15	3.54200795291345	5.55115523967115e-31	No	No
P06731	CEACAM5	1.13829941297716	0.000107913647539	No	No
P09913	IFIT2	2.14296735489871	5.29274516573139e-06	No	No
P09914	IFIT1	2.35539843484466	3.7010580048000704e-14	No	No
P0CG41;Q8IX94	CTAGE8;CTAGE4	1.72550433357603	0.0027507832496601	No	No
P0DTW1	GAGE1	4.82812025005293	4.60083775104029e-12	No	No
P12277	CKB	1.17536074527721	1.11393939584332e-05	No	No
P15259	PGAM2	1.35018066114229	0.000315386273599	No	No
P15289	ARSA	1.28006910674902	1.20944609250468e-28	No	No
P16104	H2AX	1.06750481259903	0.0044277429329091	No	No
P16260	SLC25A16	1.28546015072144	2.45241253425743e-27	No	No
P16671	CD36	2.08600409120045	2.1645502313881e-08	No	No
P17019	ZNF708	1.45985258823302	0.0016903937427817	No	No
P17038	ZNF43	1.22175425458588	9.65343679957315e-08	No	No
P17096	HMGA1	1.36796663933338	3.72805482241046e-15	No	No
P17600	SYN1	1.89508384948129	9.72455225373368e-10	No	No
P17735	TAT	1.61354594618881	2.0434575768452e-05	No	No
P20591	MX1	4.40188108166696	3.2107435078025302e-24	No	No
P21695	GPD1	1.49032089251912	1.3965104375625e-23	No	No
P21741	MDK	1.06431897287895	1.44324447788081e-05	No	No
P22674	CCNO	1.4404561610983	0.0045381757729296	No	No
P24298	GPT	1.26433717467624	3.23467995555363e-05	No	No
P24593	IGFBP5	1.17245814619402	4.76609555822093e-23	No	No
P25311	AZGP1	1.54515063542244	6.98519074312689e-06	No	No
P25942	CD40	1.03875734888375	1.54040100471043e-07	No	No
P29728	OAS2	3.43505455877079	5.77492828388952e-32	No	No
P29966	MARCKS	2.26969937422624	1.93328261222285e-05	No	No
P30874	SSTR2	1.0538663010524	0.001238932351532	No	No
P31274	HOXC9	1.2769307778335	0.0018896808570846	No	No
P31513	FMO3	2.6954377269553	8.33503005562669e-12	No	No
P33908	MAN1A1	2.30503806850075	3.30563300966345e-24	No	No
P34741	SDC2	2.14587465362939	1.67860219527558e-41	No	No
P35610	SOAT1	1.0902283433564	1.82942931795161e-16	No	No
P40199	CEACAM6	1.10040653118272	0.0018477387806012	No	No
P42224	STAT1	1.1174141769166	2.24398243644847e-34	No	No
P43005	SLC1A1	1.42762664732926	0.0013217647648777	No	No
P43355	MAGEA1	1.73827751550558	6.38082006359727e-14	No	No
P43357	MAGEA3	2.08533118678944	1.07017008758731e-09	No	No
P46821	MAP1B	1.53090257511306	0.0001583800831226	No	No
P48431	SOX2	1.26167665487841	4.47720349568354e-12	No	No
P50135	HNMT	1.72061305445635	8.7362889859483e-08	No	No
P51161	FABP6	2.52431680165715	3.71390796665692e-12	No	No
P51513	NOVA1	2.09740996047671	1.14488711570982e-12	No	No
P51606	RENBP	2.03622870777587	4.13704023903978e-08	No	No
P52566	ARHGDIB	1.1031476310478	8.57161623130229e-12	No	No
P52741	ZNF134	1.40825444333054	1.75839523931727e-05	No	No
P53985	SLC16A1	1.15530198593023	1.2711805132581199e-11	No	No
P54108	CRISP3	2.86674253737463	1.33150339602846e-13	No	No
P54253	ATXN1	1.23809119886303	7.04932992154247e-21	No	No
P54289	CACNA2D1	1.4619517459419	4.44688509315957e-34	No	No
P54803	GALC	1.27656449444111	1.87233479993518e-39	No	No
P54868	HMGCS2	4.11734956265247	7.296278140242091e-25	No	No
P55809	OXCT1	2.70238181504332	3.4533394798325297e-12	No	No
P55851	UCP2	1.77732241659435	4.673189038851439e-11	No	No
P59796	GPX6	1.05009530539573	6.32990169841285e-05	No	No
P61925	PKIA	3.28502240766865	5.146507385502899e-44	No	No
P62324	BTG1	1.54981780685026	2.25186769273365e-11	No	No
P78337	PITX1	1.20527458086401	1.06167339632707e-13	No	No
P78395	PRAME	1.29298004478099	1.4534939505286198e-11	No	No
P78540	ARG2	1.09591085349053	1.09623482344735e-17	No	No
P80365	HSD11B2	1.18049027092785	4.20381783201637e-08	No	No
P98198	ATP8B2	1.20810117907088	2.20658847853388e-05	No	No
Q00534	CDK6	2.11404435331458	1.7366895825698101e-19	No	No
Q00978	IRF9	1.8954623721864	1.24274383563445e-06	No	No
Q00G26	PLIN5	1.03308903259581	0.0001668054032585	No	No
Q01628	IFITM3	1.01235633032342	2.19194225466933e-05	No	No
Q03167	TGFBR3	1.77233581934772	2.29780161106573e-08	No	No
Q05481	ZNF91	1.10194748436547	0.0002799617157869	No	No
Q07687	DLX2	1.12144259381748	2.96998460677461e-05	No	No
Q12791	KCNMA1	1.03604264557088	2.4978762921714097e-12	No	No
Q13069	GAGE5	3.86167909156082	3.3862343798663204e-24	No	No
Q13325	IFIT5	1.12681966439246	7.464291342882961e-20	No	No
Q13576	IQGAP2	1.23236793569637	0.0005479113421194	No	No
Q14019	COTL1	1.07484851576608	3.06340907003899e-12	No	No
Q14449	GRB14	1.93943179187462	4.31646065417622e-05	No	No
Q14894	CRYM	3.19647160701707	3.87334367838808e-12	No	No
Q15646	OASL	2.09929556188758	5.65966174451278e-17	No	No
Q16385	SSX2B	2.17932690385298	3.05931489016885e-16	No	No
Q2I0M4	LRRC26	1.55651178837146	1.82572738273234e-06	No	No
Q2VYF4	LETM2	1.16655060522617	3.34209707945286e-05	No	No
Q460N5	PARP14	1.07920111501086	1.6262183785914802e-20	No	No
Q4V321	GAGE13	2.77714420372684	1.78358045924347e-20	No	No
Q58EX7	PLEKHG4	1.54680552798413	4.32983292930221e-06	No	No
Q5H9U9	DDX60L	1.0541619275633	0.0001661646557038	No	No
Q5HY92	FIGN	1.14240032193294	0.0072361894947478	No	No
Q5K651	SAMD9	1.91272632539736	1.46188758690328e-13	No	No
Q5SXH7	PLEKHS1	1.15057145542832	1.06411467639311e-05	No	No
Q5SZD1	C6orf141	1.00351038560664	7.40904253208587e-05	No	No
Q5T013	HYI	1.59572429315392	2.11232276444888e-08	No	No
Q5VUG0	SFMBT2	1.38667512656146	0.0001315243338052	No	No
Q68D51	DENND2C	1.01976457536679	0.0020402474420077	No	No
Q6IQ19	CCSAP	1.36492943177114	0.0001081220119112	No	No
Q6PCE3	PGM2L1	1.45768538990935	3.3824126427011102e-21	No	No
Q6UWI4	SHISA2	1.23885409731291	4.26790289966494e-08	No	No
Q6ZRF7	ZNF818P	1.66994084900479	0.0002706406386973	No	No
Q7L266	ASRGL1	1.95154536361707	5.07084623290553e-07	No	No
Q7Z2Z1	TICRR	1.10408812380557	1.04869904054748e-05	No	No
Q7Z7D3	VTCN1	1.13417031301968	6.54164966792007e-08	No	No
Q86V24	ADIPOR2	1.27212003470933	0.0004020407340873	No	No
Q8IVU3	HERC6	1.74739524521631	2.66364403354733e-06	No	No
Q8IXQ6	PARP9	1.48068085683462	6.41541457537932e-32	No	No
Q8IY21	DDX60	2.142026305383	2.7667265692355404e-19	No	No
Q8N118	CYP4X1	1.15988647245984	9.425829865626691e-17	No	No
Q8N5U6	RNF10	1.10878693477469	5.9028289414793e-28	No	No
Q8N884	CGAS	1.25375008152825	9.30225482246313e-05	No	No
Q8N9F0	NAT8L	1.11256431433346	1.8780552950096298e-11	No	No
Q8NBQ7	AQP11	1.17968330878888	3.50537130244463e-06	No	No
Q8NDZ4	DIPK2A	1.77386518066008	2.63426727250473e-51	No	No
Q8NEG4	FAM83F	1.52060526462484	1.02467843072992e-16	No	No
Q8NFB2	TMEM185A	2.1789248051528	1.38252712711469e-13	No	No
Q8NFT2	STEAP2	1.80138994307395	3.38634436879175e-21	No	No
Q8NFX7	STXBP6	2.18808632250894	0.0001661536976223	No	No
Q8TCZ2	CD99L2	1.72657498962221	1.8435096297851899e-28	No	No
Q8TDB6	DTX3L	1.36270619072916	4.87486498802374e-38	No	No
Q92478	CLEC2B	1.67332821857331	1.28427205782069e-10	No	No
Q92597	NDRG1	1.17093222692326	1.60140303785106e-07	No	No
Q92777	SYN2	1.45535605286873	0.0009219635483811	No	No
Q92985	IRF7	1.85032288823098	4.17032612094016e-08	No	No
Q93084	ATP2A3	1.02814376272649	2.30419183025503e-38	No	No
Q93099	HGD	1.33797313802952	1.45995928316342e-06	No	No
Q96CS4	ZNF689	1.01022853237147	0.0042540495012069	No	No
Q96DN0	ERP27	1.87002568237646	4.18046879888866e-13	No	No
Q96EM0	L3HYPDH	1.30177608614487	3.9664179624974904e-14	No	No
Q96FS4	SIPA1	1.59902134151671	4.96889307367145e-13	No	No
Q96GY0	ZC2HC1A	4.19138431185238	1.13215624492239e-48	No	No
Q96H40	ZNF486	1.67794446605402	4.46244070718704e-06	No	No
Q96MK2	RIPOR3	3.71197876584222	0.0008440617375054	No	No
Q96NE9	FRMD6	1.21094909064084	9.90528197783349e-07	No	No
Q96NY7	CLIC6	1.5314175633656	5.48010941309823e-10	No	No
Q96P15	SERPINB11	1.99147792470085	2.16932275020888e-08	No	No
Q96PM9	ZNF385A	1.07277369800689	3.41566337472286e-37	No	No
Q99576	TSC22D3	1.00702779558118	0.0003183450053056	No	No
Q99608	NDN	3.63255862159949	2.26751471163517e-09	No	No
Q99856	ARID3A	1.20889122398575	1.2091567179044e-09	No	No
Q99985	SEMA3C	1.06238783722505	6.07307429558434e-10	No	No
Q9BW04	SARG	1.02170411988156	0.0014475567790615	No	No
Q9BX66	SORBS1	2.36528195223923	3.65915134735694e-23	No	No
Q9BY50	SEC11C	1.47527084831859	2.52239235366373e-27	No	No
Q9BYK8	HELZ2	1.11304241087514	1.73491465489294e-22	No	No
Q9BYX4	IFIH1	1.0351849371382	1.28536894323897e-16	No	No
Q9BZI1	IRX2	2.07198829951424	1.96752636922264e-15	No	No
Q9C091	GREB1L	1.36030379053683	2.40921476485716e-06	No	No
Q9C0K1	SLC39A8	1.76337052384106	9.36960010124233e-07	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	1.1200012288272	0.0053353576251069	No	No
Q9H336	CRISPLD1	1.44879085972645	0.0039447467516168	No	No
Q9H4D0	CLSTN2	1.42262312490472	0.001482788124916	No	No
Q9H568	ACTL8	2.34468743297311	1.3368317711156199e-11	No	No
Q9H7S9	ZNF703	1.66444836298766	9.49616929038519e-16	No	No
Q9H816	DCLRE1B	1.23171945242503	1.79477460182915e-05	No	No
Q9HD47	RANGRF	1.65523255343033	0.0011947626139282	No	No
Q9NQ36	SCUBE2	1.72823519556564	2.9683299784377003e-22	No	No
Q9NRN5	OLFML3	3.33764929753579	4.42334251363663e-40	No	No
Q9NRZ5	AGPAT4	1.49512021927673	4.53980939710254e-06	No	No
Q9NYP3	DONSON	1.0557497825772	0.0026918646975268	No	No
Q9NZ71	RTEL1	1.37362338899112	7.82219226241653e-06	No	No
Q9NZC4	EHF	1.11375958793018	4.367992918887251e-09	No	No
Q9P291	ARMCX1	1.73251451967123	7.42029330617038e-12	No	No
Q9P2F8	SIPA1L2	1.23678827391385	7.76520647961633e-05	No	No
Q9UHE8	STEAP1	3.80465411864161	7.73020709288579e-18	No	No
Q9UII4	HERC5	2.33361149190806	5.20224554037884e-09	No	No
Q9UJH8	METRN	1.14931061569595	0.0013337506665415	No	No
Q9UMW8	USP18	1.64216230735926	2.38763403688243e-09	No	No
Q9UN67	PCDHB10	1.09376225520334	2.86916398074665e-06	No	No
Q9UPW6	SATB2	1.19699362196319	0.0027551324068915	No	No
Q9UQC2	GAB2	1.15181106293438	1.96697251981192e-11	No	No
Q9UQV4	LAMP3	2.53163894899946	2.38021245612444e-18	No	No
Q9Y2E6	DTX4	1.30473656127874	2.57726032213854e-05	No	No
Q9Y2X9	ZNF281	1.01672844319375	1.76249971072375e-32	No	No
Q9Y6K5	OAS3	1.16877595876103	3.75248502210921e-26	No	No
Q9Y6M1	IGF2BP2	2.56341169208749	1.12101628876459e-33	No	No
A2A2Y4	FRMD3	-1.64920594545483	0.0013631893923719	No	No
A2RU49	HYKK	-1.43306320933172	6.6621513101937e-17	No	No
A2RUS2	DENND3	-2.68127822805545	4.4100301692697195e-11	No	No
A4D1S5	RAB19	-1.43709850894049	1.37398296689063e-32	No	No
A6NC05	C5orf63	-1.04621134700634	0.005030825645903	No	No
A6NDB9	PALM3	-1.06989831597799	5.41004131606645e-07	No	No
B0YJ81	HACD1	-1.0278594670358	7.71866286451696e-09	No	No
H3BPM6	MKRN2OS	-1.27270969576047	0.0029080081506605	No	No
O00757	FBP2	-1.09013069750301	6.6390004191326095e-18	No	No
O14810	CPLX1	-1.40853851837339	0.0001034846475713	No	No
O15068	MCF2L	-1.44534533976378	1.8875093362416502e-20	No	No
O15327	INPP4B	-1.37585678402783	1.20630379717962e-32	No	No
O15427	SLC16A3	-1.06693014175154	9.56924200426423e-25	No	No
O15431	SLC31A1	-1.34290926337565	5.87416060983327e-06	No	No
O15484	CAPN5	-1.14021926446105	6.40482661332639e-08	No	No
O15488	GYG2	-1.51451167683754	1.27151597573868e-05	No	No
O43556	SGCE	-1.72463955738895	3.69067855875671e-10	No	No
O60241	ADGRB2	-1.21587640086847	0.0004311296449182	No	No
O60268	KIAA0513	-1.05065936478521	7.313904243166151e-25	No	No
O60343	TBC1D4	-1.40167604724458	2.60269248328637e-29	No	No
O60437	PPL	-1.064289597756	3.7987658468042904e-35	No	No
O75503	CLN5	-1.41019150636916	5.52649474985294e-25	No	No
O76082	SLC22A5	-1.00881468688782	3.18388051583613e-15	No	No
O95255	ABCC6	-1.42369881906078	1.0171003562806101e-21	No	No
O95274	LYPD3	-1.03168223403033	2.64898387725179e-06	No	No
O95466	FMNL1	-1.02225027362573	0.0008767111564461	No	No
O95479	H6PD	-1.01084704098218	1.59914671657638e-32	No	No
O95834	EML2	-1.07549661407168	8.83412977910675e-14	No	No
O95848	NUDT14	-2.08997369405135	3.27068971275188e-11	No	No
P03971	AMH	-1.33992429285878	3.02750585785484e-06	No	No
P04083	ANXA1	-1.06237070435878	4.19719292580113e-13	No	No
P04233	CD74	-1.77420471449014	1.39415817962747e-13	No	No
P04798	CYP1A1	-2.31673218004826	0.0089733844149405	No	No
P05091	ALDH2	-1.82979162651016	1.00213914323109e-36	No	No
P05997	COL5A2	-1.67485396468259	1.01302654238798e-05	No	No
P07195	LDHB	-1.91465336254187	1.20296696069817e-08	No	No
P07355	ANXA2	-1.12874516976846	4.0376233308148303e-23	No	No
P07384	CAPN1	-1.09406600746342	7.098682267948379e-34	No	No
P07476	IVL	-1.5882892042315	7.6213557908695e-23	No	No
P09467	FBP1	-1.0246146630142	7.2578397162973e-33	No	No
P09493	TPM1	-1.45772508124279	9.98461959406083e-24	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.74249898288902	2.36896641588118e-10	No	No
P10909	CLU	-1.47875482072865	3.5464498025743104e-09	No	No
P11137	MAP2	-1.50101163358542	9.985650908763911e-15	No	No
P11362	FGFR1	-1.30871753557225	0.0009162171775536	No	No
P11464	PSG1	-1.56230398443347	2.71179212040538e-06	No	No
P12429	ANXA3	-2.4114233009435	4.60066633831705e-25	No	No
P14061	HSD17B1	-1.64322083587023	6.81954332213698e-05	No	No
P16070	CD44	-1.56143771063249	1.70781847317735e-22	No	No
P16083	NQO2	-1.5395829580332	5.54784390421027e-12	No	No
P22352	GPX3	-3.42912494717605	5.76400885083945e-17	No	No
P24844	MYL9	-1.06237994723945	1.38501378811152e-23	No	No
P25445	FAS	-1.24322897549615	3.9344213034353497e-16	No	No
P29034	S100A2	-2.13154056875631	3.93577119012371e-08	No	No
P30047	GCHFR	-1.3055848809606	3.37166024067986e-08	No	No
P30988	CALCR	-1.40253925906337	8.59894889235285e-10	No	No
P31641	SLC6A6	-1.49375894461028	1.38628688035833e-20	No	No
P31944	CASP14	-2.0919273824246	0.0034221128143264	No	No
P32004	L1CAM	-2.13403671376683	2.8057371907485704e-31	No	No
P32242	OTX1	-1.6867442249517	0.0004848444729131	No	No
P32929	CTH	-1.34741049562478	1.6500637890171602e-23	No	No
P35408	PTGER4	-1.62901752791264	4.23565056072999e-09	No	No
P35670	ATP7B	-1.30658879351376	8.19502219346378e-34	No	No
P36269	GGT5	-1.52658626068371	1.18387903309238e-08	No	No
P36897	TGFBR1	-1.17749018351607	3.73519189123487e-22	No	No
P41247	PNPLA4	-2.332365598618	1.0464650926749501e-23	No	No
P43121	MCAM	-2.48867540462351	4.854564867393411e-25	No	No
P43353	ALDH3B1	-2.27594635460042	8.28028871763732e-39	No	No
