Protein_Group	Genes	T47D_ResA_p36_Tr_vs_T47D_ResA_p36_logFC	T47D_ResA_p36_Tr_vs_T47D_ResA_p36_pval	Removed?	Contaminant?
O00534	VWA5A	1.14455678931624	3.45919399945302e-05	No	No
O14497	ARID1A	2.06294124358607	0.0018240449905876	No	No
O60279	SUSD5	1.00871281297833	0.0008809542968392	No	No
O60381	HBP1	1.45641433734737	0.004857455807368	No	No
O75084	FZD7	1.27578542407455	2.52844567104889e-05	No	No
O75952	CABYR	1.14623052850634	0.0053988950816189	No	No
O95471	CLDN7	1.33335830979571	0.0039668184709703	No	No
P05204	HMGN2	1.74626903791019	0.009139645555699	No	No
P06731	CEACAM5	1.14950022875422	0.0004091196067915	No	No
P09603	CSF1	1.7575076829099	0.0001306579361195	No	No
P26992	CNTFR	1.26810289597885	0.0006329290883781	No	No
P32456	GBP2	2.22917546920739	3.29692296220545e-10	No	No
P61647	ST8SIA6	1.12190672986372	3.43072704397684e-05	No	No
Q03014	HHEX	1.45535582205983	0.0055405070353087	No	No
Q16695	H3-4	2.27358127569441	7.15884977761958e-09	No	No
Q2TAP0	GOLGA7B	1.0707415470282	0.0033795642747362	No	No
Q684P5	RAP1GAP2	1.49076790802252	4.52635033163376e-05	No	No
Q6MZZ7	CAPN13	2.9282250327319	7.17211742637437e-05	No	No
Q86VE0	MYPOP	1.17521669968423	0.0045042056332203	No	No
Q8IVU3	HERC6	1.67583725720746	4.01402858431287e-05	No	No
Q8IWY4	SCUBE1	3.79684179393444	4.3008786621212604e-14	No	No
Q8IYR0	CFAP206	2.19842309040378	1.2722290013065e-08	No	No
Q8TCT0	CERK	1.27355537018176	0.0024334474286328	No	No
Q8WYR4	RSPH1	1.83505337541339	8.51015737267336e-06	No	No
Q92748	THRSP	1.08442664170731	3.07531993803999e-06	No	No
Q96AZ6	ISG20	1.79745524659211	1.0323573323291e-05	No	No
Q96DR4	STARD4	1.44587067692696	0.0001180736510926	No	No
Q96EF0	MTMR8	2.98015673167543	1.1856183674803901e-15	No	No
Q96FL8	SLC47A1	1.78669395304102	3.6814130871e-10	No	No
Q96MK2	RIPOR3	3.17558442807972	0.0094116004769813	No	No
Q99967	CITED2	1.01563893166225	0.008031127930665	No	No
Q9BT76	UPK3B	1.65165086995342	3.9685232555187e-05	No	No
Q9BVK8	TMEM147	2.30742962120454	9.48081106578813e-05	No	No
Q9H257	CARD9	1.32840620590527	7.80749965907297e-08	No	No
Q9NP90	RAB9B	1.14004742488639	0.0099915168793793	No	No
Q9NPI7	KRCC1	1.97798877192292	1.20095665533871e-07	No	No
Q9NW07	ZNF358	1.50408289631792	9.28625659848067e-05	No	No
Q9NYS7	WSB2	1.039429010571	0.0011226741699325	No	No
Q9ULK2	ATXN7L1	1.30315145907608	0.0006744844959003	No	No
Q9UQV4	LAMP3	2.87137332694136	1.04431273379192e-18	No	No
Q9Y2Y6	TMEM98	1.7013089218581	8.65476499217495e-08	No	No
Q9Y4B5	MTCL1	2.90298697402258	2.8443905723067497e-12	No	No
Q9Y4H4	GPSM3	1.57518126355854	0.0010872269491151	No	No
B9A064	IGLL5	-3.20077826168284	7.85815733823536e-06	No	No
O14957	UQCR11	-2.18344408787461	5.76547451443017e-05	No	No
O75570	MTRF1	-1.31392443961555	2.12466856999373e-05	No	No
O95744	PMS2P2	-1.15377644145531	0.0052348595709784	No	No
P01040	CSTA	-1.23543085341511	0.0095871608495711	No	No
P01833	PIGR	-1.34864648178962	0.0004661247895278	No	No
P01876	IGHA1	-2.55649546222498	0.000994039111324	No	No
P02792	FTL	-1.33174960781284	0.0007460471807625	No	No
P10321	HLA-C	-2.04191249425669	0.0009924064978095	No	No
P17081	RHOQ	-1.26720688545526	0.0016472604705943	No	No
P22528	SPRR1B	-1.78363922968172	4.10162015858673e-05	No	No
Q0VDI3	TMEM267	-1.48645625390252	0.0021977727022201	No	No
Q13884	SNTB1	-1.30661306958037	1.52820512116446e-05	No	No
Q13938	CAPS	-1.11766076253584	0.0075430550916725	No	No
Q14393	GAS6	-1.55926298710211	7.63770109543933e-06	No	No
Q5K651	SAMD9	-1.67083879363296	8.21281187629911e-10	No	No
Q6UXT9	ABHD15	-1.2923735294361	0.0073883910366232	No	No
Q86W47	KCNMB4	-2.40008940378667	4.66809431483e-06	No	No
Q8IVL6	P3H3	-1.22933764174624	8.03896845461213e-05	No	No
Q8IXV7	KLHDC8B	-1.2361648149898	4.34182909328529e-05	No	No
Q8IYL2	TRMT44	-1.37767066238394	0.0003681450581694	No	No
Q8NDN9	RCBTB1	-1.39941316061508	1.06049584107774e-06	No	No
Q8NEY4	ATP6V1C2	-1.62964213881317	0.000414749625207	No	No
Q8WV19	SFT2D1	-2.09584614308526	0.0001421399868299	No	No
Q8WWZ3	EDARADD	-1.5821706556141	1.4589076743724e-06	No	No
Q96DA0	ZG16B	-1.38603991647633	0.0003446850198234	No	No
Q96FN4	CPNE2	-1.07464544128942	5.07665705683998e-08	No	No
Q96IL0	COA8	-1.86635053006504	1.68039981250665e-05	No	No
Q99612	KLF6	-1.4534406840888	0.0002668967916022	No	No
Q9BY41	HDAC8	-1.01582837174785	0.0002945497864576	No	No
Q9NTN3	SLC35D1	-1.0287866290232	0.0038442238533222	No	No
Q9P0M2	AKAP7	-1.3070932837664	0.0010251099267052	No	No
Q9UJX0	OSGIN1	-1.81036127544921	1.19027728781e-10	No	No
Q9UPG8	PLAGL2	-1.90577925869259	0.0010416057950565	No	No
