Protein_Group	Genes	T47D_ResB_Tr_vs_T47D_ResB_logFC	T47D_ResB_Tr_vs_T47D_ResB_pval	Removed?	Contaminant?
A6NC05	C5orf63	1.32431830306559	0.0015723122194706	No	No
A6NMD0	IFITM10	2.32979401673129	1.6363336039193701e-09	No	No
A8MT33	SYCE1L	2.1689744484019	0.0083265924181006	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.62218778980983	4.5960347643098903e-10	No	No
H3BPM6	MKRN2OS	1.76921967633326	0.0002562859345218	No	No
O00526	UPK2	1.390124384884	0.0018348793403876	No	No
O00590	ACKR2	1.06938930914916	0.0096298483714429	No	No
O15503	INSIG1	2.78551021794794	1.2106067774109e-11	No	No
O43240	KLK10	1.30391818243696	4.82103372916364e-05	No	No
O43610	SPRY3	1.04029851886522	0.0029040156883729	No	No
O60259	KLK8	1.69768581906883	0.004375553216281	No	No
O60477	BRINP1	1.74321362693595	4.5848243718194203e-10	No	No
O60688;Q96QA6	YPEL1;YPEL2	1.85489165376543	7.1765215717252305e-09	No	No
O75888	TNFSF13	1.93994938365545	0.0014341733146612	No	No
O95255	ABCC6	1.11933143590608	2.26550079122156e-14	No	No
O95279	KCNK5	1.65258273253396	5.89333939953625e-06	No	No
O95633	FSTL3	1.8625131647988	0.000739691821599	No	No
P01033	TIMP1	1.03511950227408	4.52138957857891e-05	No	No
P01906	HLA-DQA2	1.11677443479529	4.32791863259329e-05	No	No
P02750	LRG1	1.08106395788914	6.7259000655841796e-12	No	No
P04155	TFF1	1.28646641262987	0.0098814204133616	No	No
P05981	HPN	1.05654241521716	4.003631766567121e-09	No	No
P05997	COL5A2	1.50876748591457	0.0002736167108834	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.07994118369256	0.0028245863432551	No	No
P10909	CLU	1.02523733268946	8.91830811159824e-05	No	No
P12273	PIP	1.42405427880018	0.0007842471936254	No	No
P14061	HSD17B1	1.20004817373499	0.0073141962979613	No	No
