Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
A1A5C7	SLC22A23	1.78360792484508	1.5364907251784699e-30	No	No
A1L170	C1orf226	1.57858712765026	3.0861091681237804e-19	No	No
A4D161	FAM221A	1.92519021021083	1.22714259863269e-05	No	No
A4D1S0	KLRG2	1.64298939960798	1.72848393029668e-37	No	No
A4D2B0	MBLAC1	1.21393817648014	2.62004146802444e-05	No	No
B2RUZ4	SMIM1	1.25527547649233	3.934068380249121e-15	No	No
B5MCN3	SEC14L6	2.19285113080153	1.00477775528611e-08	No	No
O00458	IFRD1	1.1582571398859	0.000306485826652	No	No
O00499	BIN1	2.10115249180715	6.70409157655267e-13	No	No
O00534	VWA5A	1.72853297211047	1.2994009119708002e-10	No	No
O00622	CCN1	1.26178267058506	5.1027957139752003e-11	No	No
O14730	RIOK3	1.13332364105768	1.0384057429095101e-19	No	No
O14879	IFIT3	2.98978359588838	1.57924267052069e-10	No	No
O14957	UQCR11	1.28036363368852	0.0067599831449208	No	No
O15162	PLSCR1	1.18401555935753	1.82860638594899e-13	No	No
O43240	KLK10	2.43877270181476	1.12264653514102e-13	No	No
O43521	BCL2L11	1.35469356951036	0.0005697567054504	No	No
O60488	ACSL4	1.29670386095755	1.41102752972314e-06	No	No
O60701	UGDH	1.356326038164	1.0788174223453901e-35	No	No
O60779	SLC19A2	1.44891004227934	3.4531689319574194e-11	No	No
O75052	NOS1AP	1.46084347482281	1.18258272604279e-26	No	No
O75368	SH3BGRL	1.12466609715409	1.1322271554471001e-10	No	No
O75373	ZNF737	1.22021488262383	0.0009454811636123	No	No
O75452	RDH16	1.5220616859225	1.63677685735503e-12	No	No
O75582	RPS6KA5	1.0921816744942	4.50964260214942e-10	No	No
O75907	DGAT1	1.47507827015439	1.78802661812125e-29	No	No
O76054	SEC14L2	2.11152184406806	4.57612632679349e-10	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.79272828541384	5.39507475123052e-32	No	No
O94885	SASH1	1.16767624915467	4.49464032927318e-12	No	No
O95154	AKR7A3	1.72743428744832	1.60491403853175e-16	No	No
O95263	PDE8B	2.18213054263898	2.62769499812162e-09	No	No
O95670	ATP6V1G2	1.4717055613551	0.0020766568817737	No	No
O95786	DDX58	1.75690299356458	1.08325212306392e-36	No	No
O95864	FADS2	1.56214001509358	8.31625686607127e-17	No	No
O96017	CHEK2	1.01124100282516	2.6497156787581e-23	No	No
P00747	PLG	1.76381093594543	1.72046172203994e-07	No	No
P00973	OAS1	3.08154999710301	1.64172334660698e-11	No	No
P01011	SERPINA3	1.44157701934927	0.0023528088688068	No	No
P01906	HLA-DQA2	1.58892445509417	1.3174683659458701e-09	No	No
P02751	FN1	1.03744857696755	0.0003466495740834	No	No
P04155	TFF1	1.9049692368134	3.78660782417799e-05	No	No
P04350	TUBB4A	1.24384431874554	1.8041662842204e-09	No	No
P05090	APOD	1.59695556642161	4.66658050655631e-25	No	No
P05109	S100A8	1.83402517019645	0.000457811896197	No	No
P05161	ISG15	3.91035417695574	8.31985019495888e-34	No	No
P06702	S100A9	1.57541579268065	0.0028471544257496	No	No
P06865	HEXA	1.0047658080436	3.78996406826103e-20	No	No
P09913	IFIT2	2.54030396333222	1.35934778242514e-07	No	No
P09914	IFIT1	2.79656485129305	1.74096713827794e-17	No	No
P0DTW1	GAGE1	2.49445657290518	6.73399076349945e-05	No	No
P10636	MAPT	1.34859170662461	9.334231712799709e-12	No	No
P12277	CKB	1.40724711280083	2.78803864080474e-07	No	No
P12821	ACE	1.08869452746818	4.33906669202701e-16	No	No
P15259	PGAM2	1.7106241381821	8.16788702179589e-06	No	No
P15289	ARSA	1.43696963754528	7.39409629976363e-32	No	No
P16260	SLC25A16	1.18948864584554	2.62859090655037e-25	No	No
P16671	CD36	3.50161057464032	1.53858376080547e-16	No	No
P17019	ZNF708	1.38283225158834	0.0028499021462225	No	No
P17038	ZNF43	1.15793422032264	3.45409247905669e-07	No	No
P17096	HMGA1	1.3592387524197	4.91866491779731e-15	No	No
P17600	SYN1	1.8375253157425	2.44670136024906e-09	No	No
P17676	CEBPB	1.16135441790223	3.2775829131442104e-15	No	No
P17735	TAT	1.71296405613434	7.05121102203374e-06	No	No
P20337	RAB3B	1.99550759192571	1.01778915837469e-06	No	No
P20591	MX1	4.6669198808862	1.03551893888972e-25	No	No
P21695	GPD1	1.6551670684399	2.96808413006834e-26	No	No
P22455	FGFR4	1.11073815395272	5.75462145048552e-06	No	No
P22528	SPRR1B	2.58347466814621	6.89251158347035e-10	No	No
P24298	GPT	2.54446078138128	1.75602608805831e-13	No	No
