Protein_Group	Genes	T47D_ResC_Tr_vs_T47D_ResC_logFC	T47D_ResC_Tr_vs_T47D_ResC_pval	Removed?	Contaminant?
A6NMD0	IFITM10	1.40239727729006	9.68892480171148e-05	No	No
A8MUP2	CSKMT	1.32484555590424	0.0024093232221619	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.47856221429305	7.1985852479096805e-09	No	No
O00534	VWA5A	1.18684871959026	1.88935655054768e-05	No	No
O15232	MATN3	1.20250579233564	8.228852822417159e-12	No	No
O15438	ABCC3	1.59740791249025	5.75171516288022e-06	No	No
O43240	KLK10	1.11514653550786	0.000426580294734	No	No
O75363	BCAS1	1.01167687121436	7.58028746749989e-24	No	No
O95255	ABCC6	1.40728834013767	5.84162601832366e-19	No	No
O95279	KCNK5	1.87288190899489	4.43551495444072e-07	No	No
P05155	SERPING1	1.09315378241425	0.0013426763785181	No	No
P05981	HPN	1.07052986833428	2.73473038620561e-09	No	No
P06731	CEACAM5	1.20712804678401	0.0002181770983792	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.08905235180953	0.0026124329694822	No	No
P11464	PSG1	2.16668750985792	1.67893826247699e-08	No	No
P12273	PIP	1.14615228967442	0.0062093661824171	No	No
P17735	TAT	1.41773924798357	0.0006102940989495	No	No
P21217	FUT3	2.30906642559904	3.5275668636660296e-22	No	No
P22528	SPRR1B	3.1797307273477	2.76080693313536e-11	No	No
P22532	SPRR2D	3.29003571983763	0.0006007053415359	No	No
P24385	CCND1	1.30477467430596	4.07534080565469e-20	No	No
P29400	COL4A5	1.27801177267549	9.77937382610133e-06	No	No
P40305	IFI27	1.6375835914257	2.01027344346707e-18	No	No
P41247	PNPLA4	1.0324423649024	1.98142364613958e-07	No	No
P43351	RAD52	1.23404981729258	0.009061849815243	No	No
P45844	ABCG1	1.01176131831299	0.0020221597881535	No	No
P49662	CASP4	1.09102702242046	6.2088114857049805e-09	No	No
P49703	ARL4D	1.44239658689852	0.0002454305938533	No	No
P50461	CSRP3	1.34597836356485	0.0002547535783993	No	No
P54108	CRISP3	1.3134119575228	0.0004387062372895	No	No
P54868	HMGCS2	1.10489126331052	0.0005197256351896	No	No
P55345	PRMT2	1.17958105997325	0.0002523349886583	No	No
P98082	DAB2	1.30000301125784	8.76067609265274e-06	No	No
Q01469	FABP5	2.50295636076499	0.0042386082462876	No	No
Q02413	DSG1	1.55048640710912	0.0057350529563445	No	No
Q03167	TGFBR3	1.05931506584027	0.0013259189543925	No	No
Q0P5N6	ARL16	1.84356425002122	0.0001291755997613	No	No
Q15828	CST6	2.03468890176569	6.33881505456668e-05	No	No
Q32MH5	FAM214A	1.23987060725776	7.58805675127508e-05	No	No
Q5SRE7	PHYHD1	2.26988130337851	1.60464817459903e-08	No	No
Q5T749	KPRP	1.94041369426485	0.0026893009774423	No	No
Q5TC79	ZBTB37	2.11653520874597	0.0010590074923756	No	No
Q5VWT5	FYB2	1.13020121280601	2.05236835780915e-05	No	No
Q5VX52	SPATA1	2.18976428700934	8.109583061710359e-11	No	No
Q6NT76	HMBOX1	2.89811593334919	2.44833782361416e-06	No	No
Q6P2H8	TMEM53	1.11957112636624	0.0004287977624325	No	No
Q6UVW9	CLEC2A	1.80666616800558	8.92154712081045e-07	No	No
Q6UY01	LRRC31	1.19375876914048	6.7115293411999e-08	No	No
Q6ZTZ1	MSANTD1	2.81933711715191	4.74486242047351e-05	No	No
Q7Z6Z6	PNPLA5	1.19831447499917	1.18264899125112e-06	No	No
Q7Z7D3	VTCN1	1.07772776645854	2.44952775360923e-06	No	No
Q86W11	ZSCAN30	1.40707987613349	0.0003631883960341	No	No
Q86WV1	SKAP1	1.09452726648425	0.0026453917693313	No	No
Q86YB7	ECHDC2	1.08852074622197	0.0003762958372555	No	No
Q8IVE3	PLEKHH2	1.12666956157532	6.79105408029178e-05	No	No
Q8N114	SHISA5	1.0431553553973	0.0006459169237186	No	No
Q8N1L4	CYP4Z2P	1.1814926718672	0.0011919256323594	No	No
Q8N3V7	SYNPO	1.47272716254564	4.12715591159377e-05	No	No
Q8N609	TRAM1L1	1.66496425153019	4.26506407891102e-05	No	No
Q8N9F0	NAT8L	1.76533366017481	7.52333060099907e-18	No	No
Q8TB45	DEPTOR	1.00219827518523	1.68324172233962e-09	No	No
Q8TF21	ANKRD24	2.56103200366692	1.74547155478109e-06	No	No
Q8WW38	ZFPM2	1.02023801766377	0.0015285207206591	No	No
Q8WWY8	LIPH	1.31702700632106	1.03247382782111e-13	No	No
Q96AH0	NABP1	1.08790664898372	0.0001529331961871	No	No
Q96DA0	ZG16B	1.7320055615797	1.18984148203025e-05	No	No
Q96DX5	ASB9	1.63495928794211	0.0005195603424485	No	No
Q96FL8	SLC47A1	1.17640496190149	1.01895574310962e-05	No	No
Q96GJ1	TRMT2B	1.22721558122087	0.0013764815099603	No	No
Q96NY7	CLIC6	1.03704267220587	4.95452828055722e-05	No	No
Q96QE2	SLC2A13	1.04196528303456	0.000263477519741	No	No
Q99574	SERPINI1	1.22148400061868	4.83144138628148e-15	No	No
Q9BUV8	RAB5IF	1.04954724424961	0.0043363467919093	No	No
Q9BY76	ANGPTL4	1.5288715980751	0.0001732116096518	No	No
