Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
A0A494C030	LOC114841035	1.72292908018394	2.56067753780755e-05	No	No
A1A5C7	SLC22A23	1.34370053735386	4.3163416897983403e-23	No	No
A4D161	FAM221A	1.90455830618085	1.48392026101199e-05	No	No
A4D1S0	KLRG2	1.62223227693842	4.15417358129663e-37	No	No
A6NP11	ZNF716	1.09534605919927	0.0011915695288451	No	No
A8K8V0	ZNF785	2.89613305197688	4.0070479764868e-30	No	No
A8MTY0	ZNF724	1.07215904521107	0.0004170248652459	No	No
B5MCN3	SEC14L6	1.17040868686059	0.0009960720580401	No	No
O00499	BIN1	1.33615486557049	5.49876744877989e-07	No	No
O00712	NFIB	1.02317280160173	4.0682418120898794e-12	No	No
O15393	TMPRSS2	1.07080712939443	1.67025531449303e-12	No	No
O43240	KLK10	2.43574683112203	1.18016780652726e-13	No	No
O60299	LZTS3	1.02958039156979	7.97697658547862e-05	No	No
O60701	UGDH	1.31034533526462	1.11396415857192e-34	No	No
O75373	ZNF737	1.0636890715499	0.0036651259581632	No	No
O75452	RDH16	1.36483210631039	7.851535917121839e-11	No	No
O75888	TNFSF13	2.0880702323611	0.0001590945034839	No	No
O75907	DGAT1	1.28211684276819	9.974050322102289e-26	No	No
O76054	SEC14L2	1.36836385418934	1.52712168784441e-05	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.69834116616331	5.05276459265011e-31	No	No
O94885	SASH1	1.02212401217016	4.15503456690596e-10	No	No
O94985	CLSTN1	1.03135311598083	9.415172369330799e-12	No	No
O95154	AKR7A3	1.32938259252729	7.531516431851659e-12	No	No
O95263	PDE8B	1.49355241091928	1.60910630099749e-05	No	No
O95631	NTN1	1.04515957488375	2.22132754227837e-07	No	No
O96017	CHEK2	1.2180718531431	4.12603369680795e-28	No	No
P00747	PLG	1.39636463990347	1.98443366424596e-05	No	No
P00973	OAS1	1.72618967337824	3.2978313100298e-05	No	No
P01023	A2M	1.81299495121792	6.42000088738607e-23	No	No
P01040	CSTA	1.2261788322923	0.0043080425353079	No	No
P04155	TFF1	1.42929868087147	0.0015616626203389	No	No
P05161	ISG15	2.08305407295017	8.4351642333024e-18	No	No
P05546	SERPIND1	1.62902924084299	7.24333127974008e-07	No	No
P0DTW1	GAGE1	4.06869642194594	1.36476478434847e-09	No	No
P12644	BMP4	1.09230609812304	0.0003956495022368	No	No
P12821	ACE	1.02881072867826	5.28937051759053e-15	No	No
P15259	PGAM2	1.15162458637755	0.0018950242997158	No	No
P15289	ARSA	1.05644190829557	1.2098828071586999e-23	No	No
P16104	H2AX	1.14672076897212	0.0023230868689953	No	No
P16260	SLC25A16	1.11158401542744	1.34807290947767e-23	No	No
P16671	CD36	2.72725270292856	4.7171319193767895e-12	No	No
P17038	ZNF43	1.00246351676	6.85160163692847e-06	No	No
P17096	HMGA1	1.27190463274855	7.94452716136573e-14	No	No
P17600	SYN1	1.16259998950725	5.61586667734403e-05	No	No
P19823	ITIH2	1.53994835686091	1.55098450019816e-12	No	No
P20265	POU3F2	1.15888884627452	0.0032013324477365	No	No
P20337	RAB3B	1.31385846355215	0.0007907900594682	No	No
P20591	MX1	3.03168094567001	7.29483165652895e-16	No	No
P20742	PZP	2.31144065200786	3.44179153351825e-08	No	No
P21695	GPD1	1.78317764700716	3.10570773042994e-28	No	No
P21741	MDK	2.0903717693354	6.85807092924497e-14	No	No
P23142	FBLN1	1.24771104243666	0.0003540417790821	No	No
