Protein_Group	Genes	TP53_sg_#3_Tr_vs_TP53_sg_#3_logFC	TP53_sg_#3_Tr_vs_TP53_sg_#3_pval	Removed?	Contaminant?
A0A1W2PPE2	TAF11L4	3.75697338568511	3.41183145352721e-07	No	No
A0A2R8Y4M4		1.46829565610051	0.0050261147536864	No	No
A1A5D9	BICDL2	1.50642447937026	1.42986097895815e-21	No	No
A4D126	CRPPA	1.38603902195508	9.60651290172386e-08	No	No
A6NCS6	C2orf72	1.00737114123742	8.00056034720797e-11	No	No
A6NLP5	TTC36	1.50787892670787	2.05359576914596e-08	No	No
A6NMD0	IFITM10	2.28101335706768	3.0523837626887104e-09	No	No
A8MTW9		1.07837542313808	0.0058577774544233	No	No
B5MCN3	SEC14L6	1.72516927249634	2.16348179648582e-05	No	No
C9J069	AJM1	1.24649506474463	3.53798887536762e-10	No	No
O00534	VWA5A	1.56761689011434	5.33590080650943e-08	No	No
O00560	SDCBP	1.53738897507189	6.08975957551697e-31	No	No
O00622	CCN1	1.36984261645756	1.26419975876418e-10	No	No
O00716	E2F3	1.01250742020672	2.8902143979937796e-11	No	No
O14682	ENC1	1.19663201829424	0.0009703083774116	No	No
O14807	MRAS	1.18334557694872	3.54822398100478e-13	No	No
O15232	MATN3	1.36241145610448	6.88223731576992e-14	No	No
O15393	TMPRSS2	1.44369308321695	6.740450677858359e-16	No	No
O43325	LYRM1	1.00063515417013	6.34856366182297e-17	No	No
O43609	SPRY1	1.48400118562491	4.76900730263058e-06	No	No
O43610	SPRY3	1.14214849575633	0.0011494111911827	No	No
O60238	BNIP3L	1.09802950348053	9.20975984486667e-17	No	No
O60243	HS6ST1	1.25980422581575	0.0002983514079763	No	No
O60299	LZTS3	1.03580288385467	0.0003314872696105	No	No
O60443	GSDME	1.48646568705254	1.39170991529946e-12	No	No
O75056	SDC3	1.53861711797648	0.0001834894419982	No	No
O75204	TMEM127	1.96345822428097	0.0009998150106779	No	No
O75325	LRRN2	1.41156181107432	0.0001545841209346	No	No
O75363	BCAS1	1.47365952131948	4.6332906732060596e-34	No	No
O76054	SEC14L2	1.25608577245219	0.0002892936391454	No	No
O95183	VAMP5	1.60286823323383	9.32038967777724e-05	No	No
O95255	ABCC6	1.38654130080666	1.23016553774863e-18	No	No
O95259	KCNH1	1.14932005155575	0.0003898217791093	No	No
O95340	PAPSS2	1.01209223840646	7.97589027023541e-05	No	No
P01009	SERPINA1	1.18234196513122	1.2951820267182601e-21	No	No
P01033	TIMP1	1.47971139678772	2.71918431443061e-08	No	No
P01834	IGKC	2.62368145791303	0.0096007144179641	No	No
P05090	APOD	1.1239704999819	7.975578702435851e-15	No	No
P05981	HPN	1.3983794385535	2.9338063973959597e-13	No	No
P07476	IVL	1.13710680956918	1.53741423438351e-13	No	No
P08648	ITGA5	1.25961250611994	3.40031995551492e-23	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.57767447759747	2.2842046081177e-05	No	No
P10909	CLU	1.22796192327362	4.16351132268771e-06	No	No
P11532	DMD	2.51536400309843	8.48017725872631e-08	No	No
P12109	COL6A1	1.17079428484706	8.47774917884814e-05	No	No
P12273	PIP	2.54333288015589	2.0554664908563e-08	No	No
P14061	HSD17B1	1.74390574125348	0.0001412568681137	No	No
P15289	ARSA	1.01768079678033	3.74152625252379e-20	No	No
P15313	ATP6V1B1	1.73003156562495	1.60634532992332e-07	No	No
P15408	FOSL2	1.68423655593726	7.455234960235021e-09	No	No
P17540	CKMT2	1.07718570579822	1.5666052322818302e-14	No	No
P17600	SYN1	1.62014785778113	9.43593133329852e-07	No	No
P20231;Q15661	TPSB2;TPSAB1	2.38421665844893	1.18648577161765e-08	No	No
P22083	FUT4	1.60041690564268	3.01650009901568e-10	No	No
P24298	GPT	1.05685945214358	0.0014323280801783	No	No
P24385	CCND1	1.29346942111222	6.4128558506019e-20	No	No
P24588	AKAP5	1.62938653507187	9.04353607976822e-06	No	No
P24593	IGFBP5	1.72836430073352	2.2935003463786e-30	No	No
P28067	HLA-DMA	1.96137466781609	8.53334427089362e-05	No	No
