Protein_Group	Genes	cMyc_OE_Tr_vs_cMyc_OE_logFC	cMyc_OE_Tr_vs_cMyc_OE_pval	Removed?	Contaminant?
A6NCQ9	RNF222	1.85022153397316	0.0014875303207018	No	No
A8MTW9		1.92022471337941	2.85791511594764e-06	No	No
B5MCN3	SEC14L6	1.24540381782002	0.0016372886234941	No	No
O00534	VWA5A	1.38024796808386	1.04309114221633e-06	No	No
O15050	TRANK1	1.11169482458165	0.0001907655812863	No	No
O15232	MATN3	2.14641084580432	1.3218454460487301e-23	No	No
O43610	SPRY3	1.1146095985034	0.001484720436122	No	No
O60238	BNIP3L	1.01368543761997	3.3706989779013503e-15	No	No
O60268	KIAA0513	1.06006685270913	2.2596739698624e-22	No	No
O60443	GSDME	1.13262961979389	9.845365194420151e-09	No	No
O75056	SDC3	1.67803305177526	5.17361130131929e-05	No	No
O75081	CBFA2T3	1.16584170261126	5.93375384923784e-05	No	No
O75363	BCAS1	2.14999668225505	1.47120095733123e-45	No	No
O75365	PTP4A3	1.13234309348631	0.0059130953392657	No	No
O95255	ABCC6	1.28872687131892	4.28457002195721e-17	No	No
O95259	KCNH1	1.02854234131043	0.0013807485000651	No	No
O95466	FMNL1	1.29941130232947	0.0001740133234562	No	No
O95502	NPTXR	1.06049466429868	1.59248150883751e-06	No	No
P00973	OAS1	1.38308243222074	0.0022120041213011	No	No
P01009	SERPINA1	1.65280646711031	2.8383947838297798e-30	No	No
P01024	C3	1.63845405945058	0.0007093106981613	No	No
P01033	TIMP1	1.04301983476292	4.00662739003035e-05	No	No
P01911	HLA-DRB1	2.20114219241537	6.1507772307331894e-12	No	No
P02649	APOE	1.30924109056694	7.338988081098779e-12	No	No
P04083	ANXA1	1.45589728033784	6.07876587420497e-17	No	No
P05155	SERPING1	1.19578343665865	0.000489668227555	No	No
P05177	CYP1A2	1.35321700834918	0.0007825782268402	No	No
P07476	IVL	2.16963193480736	4.7470628063893795e-28	No	No
P08185	SERPINA6	1.4657794776642	4.355925298481e-18	No	No
P08294	SOD3	1.40983296941186	2.51323056446481e-08	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.33202784734974	0.0002810819613092	No	No
P10075	GLI4	1.31488892978696	0.0043188902904172	No	No
P10909	CLU	1.32568175633166	8.67805475170492e-07	No	No
P11464	PSG1	1.58088694570877	1.66848406893336e-05	No	No
P11926	ODC1	1.10033118424436	0.007770834174188	No	No
P12273	PIP	2.50328911664671	3.12502926812237e-08	No	No
P12429	ANXA3	1.24481486803744	7.02466454735401e-10	No	No
P15260	IFNGR1	1.02147655383911	8.79254969469815e-06	No	No
P15408	FOSL2	1.17417439310406	2.19226744673366e-05	No	No
P16035	TIMP2	1.18559473136796	8.19577091116741e-10	No	No
P17600	SYN1	1.61825337267242	9.67609685666801e-07	No	No
P21695	GPD1	1.37979103348491	3.2949906437274104e-19	No	No
P24385	CCND1	1.81778115032997	2.0934146707635597e-28	No	No
P24593	IGFBP5	1.85390980161844	2.41579433122073e-32	No	No
P25311	AZGP1	1.29818520078293	0.0005076851755214	No	No
P28067	HLA-DMA	2.05567272473496	4.14520238962119e-05	No	No
P29034	S100A2	1.2038667908415	0.0028324287061647	No	No
P29400	COL4A5	1.07733254157709	0.000149421442811	No	No
P32004	L1CAM	1.65157853571633	9.72999438789537e-22	No	No
P32456	GBP2	1.13683204544573	0.0004448643895436	No	No
P33897	ABCD1	1.06045114997519	5.9862416657618005e-25	No	No
