Protein_Group	Genes	cMyc_OE_vs_pLVX_EV_logFC	cMyc_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
A0A024RBG1	NUDT4B	1.82910210114883	1.07497092144322e-33	No	No
A1A4S6	ARHGAP10	1.16910192637634	2.0864296900385e-06	No	No
A2RTX5	TARS3	1.12226871440586	2.41118391163553e-11	No	No
A6NHQ2	FBLL1	1.22325059554993	0.0091679162631815	No	No
A6NKF2	ARID3C	2.74841286476494	2.3373484978328e-05	No	No
A6NP11	ZNF716	1.18601324086959	0.0040335715626802	No	No
C9JLW8	MCRIP1	1.04377315465809	3.38282640301873e-14	No	No
O00458	IFRD1	1.89907006387067	2.92809634703176e-06	No	No
O00459	PIK3R2	1.19045313475721	1.45942865548555e-17	No	No
O15151	MDM4	1.20756469139762	0.0010914380426613	No	No
O43424	GRID2	1.33255851650889	0.0003204029089034	No	No
O75460	ERN1	1.06500833949416	1.15975934215237e-05	No	No
O76075	DFFB	1.54922683776443	5.38327840048627e-10	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.80241665612921	3.23677494116848e-16	No	No
O77932	DXO	1.05432150286157	0.0020648246949796	No	No
O94885	SASH1	1.41424586806571	7.698498254848489e-12	No	No
O94889	KLHL18	1.67398477289142	1.33683071131786e-10	No	No
O95164	UBL3	1.06047019095228	7.20418376947829e-07	No	No
O95490	ADGRL2	2.41597121675427	5.85925213742224e-14	No	No
O95671	ASMTL	1.39557997673202	1.03342909664087e-08	No	No
P01040	CSTA	1.76580357751123	0.0009212710410856	No	No
P01591	JCHAIN	3.07565223895367	1.45799490428419e-08	No	No
P01876	IGHA1	2.45816366767342	0.0037821406515819	No	No
P04150	NR3C1	1.0627421711949	8.78556272706409e-10	No	No
P05091	ALDH2	2.1543719494091	1.90218636745118e-35	No	No
P07195	LDHB	1.01405037089198	0.0075470049605476	No	No
P10176	COX8A	1.82379695095066	8.66336424559439e-05	No	No
P10589	NR2F1	4.86441711144776	7.613257594215e-33	No	No
P11532	DMD	3.58385311459973	4.5422487115470896e-11	No	No
P12882	MYH1	5.10279684060329	1.14930767664746e-06	No	No
P15514	AREG	1.50582688458551	6.8834307680883e-07	No	No
P17097	ZNF7	1.08139498487116	3.35270042904109e-07	No	No
P17676	CEBPB	1.25387509985962	6.72489132732083e-13	No	No
P17735	TAT	1.38073331201962	0.0022667586634128	No	No
P17861	XBP1	1.15559235561015	1.39892888738265e-13	No	No
P18847	ATF3	1.5031202617347	2.3238124134328e-05	No	No
P18848	ATF4	1.00966313016801	0.0027373127593554	No	No
P19526	FUT1	1.01485881414262	4.33810331441088e-08	No	No
P20265	POU3F2	1.78640659822702	0.0002710200758472	No	No
P22492	H1-6	2.24243244994347	6.26672361849111e-06	No	No
P24298	GPT	1.71706096218649	5.59909784227832e-06	No	No
P26992	CNTFR	1.30862401692297	0.0013082489093715	No	No
P31321	PRKAR1B	1.19804114054118	3.1971911292985394e-11	No	No
P33908	MAN1A1	1.09524081226117	2.29407108149168e-07	No	No
P35638	DDIT3	4.80426031146881	8.23215501987382e-24	No	No
P35711	SOX5	1.12930776279913	0.009582025271042	No	No
P47712	PLA2G4A	2.098894099914	5.86246697289776e-13	No	No
P48448	ALDH3B2	1.84077911451751	4.5453837572535394e-12	No	No
P49789	FHIT	1.5142656103518	3.71412719071587e-18	No	No
P50219	MNX1	1.63904461406747	6.75881936977076e-06	No	No
P50461	CSRP3	2.03670381519331	1.20285975511949e-06	No	No
P51397	DAP	1.15777048025847	1.19926573310178e-05	No	No
P51513	NOVA1	1.76895537823073	1.30333213611818e-07	No	No
P51788	CLCN2	1.19615259481595	1.87606166199682e-24	No	No
P51884	LUM	3.025472866075	3.19937018817505e-15	No	No
P52789	HK2	1.33922952619586	1.8276534760861599e-22	No	No
P53370	NUDT6	1.40763072754979	4.710498723083201e-10	No	No
P53985	SLC16A1	1.23908467421285	1.1225133684967802e-09	No	No
P56159	GFRA1	3.44904970292214	6.15934347510243e-16	No	No
P57078	RIPK4	1.18749707729054	0.002155099262771	No	No
P58004	SESN2	1.78143655300126	1.23433601395948e-14	No	No
P60606	CTXN1	1.50374492126491	7.58502938554571e-05	No	No
P68543	UBXN2A	1.71997774237472	0.0003089084308843	No	No
Q00597	FANCC	1.30289471193989	0.0095299807073646	No	No
Q07687	DLX2	2.17942414329092	7.30254268013901e-10	No	No
Q13069	GAGE5	2.85758620630269	2.23393986105914e-13	No	No
Q13268	DHRS2	1.44645496634264	7.96098022073086e-12	No	No
Q13740	ALCAM	1.82909396657668	1.51439424331579e-08	No	No
Q13884	SNTB1	2.9417918360444	1.52800736871631e-14	No	No
Q14644	RASA3	1.30520652463058	2.35226624839301e-06	No	No
Q14654	KCNJ11	4.26352754247519	7.14074455437539e-22	No	No
Q15262	PTPRK	1.10547504157289	3.19287176883302e-25	No	No
Q2M3V2	SOWAHA	1.63552730112019	1.6576485842421899e-12	No	No
Q3SY69	ALDH1L2	1.67908910348967	3.70014156651179e-12	No	No
Q495B1	ANKDD1A	1.39084675762257	0.0001229263010611	No	No
Q4V321	GAGE13	2.80888927515755	2.6749091041519097e-16	No	No
Q504U0	C4orf46	1.2188921090021	0.0038635736320269	No	No
Q53GG5	PDLIM3	1.54432286497802	0.0014129617274695	No	No
Q5D0E6	DALRD3	1.07698135820611	9.226807661622422e-09	No	No
Q5SRE7	PHYHD1	1.37943345164923	0.0008384732774396	No	No
Q5T481	RBM20	1.89818304410435	4.54681275549505e-10	No	No
Q5T9A4	ATAD3B	1.89517352993561	2.77792854913465e-12	No	No
Q6NSZ9	ZSCAN25	1.73359215599576	0.0001216561753	No	No
Q6NVU6	UFSP1	1.55725886213585	0.001151049002136	No	No
Q6NZY7	CDC42EP5	1.95081176103696	7.1208056857365e-06	No	No
Q6P3W2	DNAJC24	1.65317410133378	0.0001195613935074	No	No
Q6PK81	ZNF773	1.68278399959324	0.0004889854494256	No	No
Q6ZRF7	ZNF818P	1.43187747643806	0.0094592845787831	No	No
