Protein_Group	Genes	pLVX_CyclinE1_OE_vs_pLVX_EV_logFC	pLVX_CyclinE1_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
A6NCQ9	RNF222	3.10883652311161	3.99600796511208e-07	No	No
O14613	CDC42EP2	1.1637816296055	0.0091548699768549	No	No
O75452	RDH16	1.32313465382032	5.9301197757644205e-09	No	No
O75953	DNAJB5	1.28485855538762	1.48329678870013e-05	No	No
O95096	NKX2-2	1.07372629302389	0.002187671006423	No	No
O95136	S1PR2	1.47118885380117	0.0030515878485511	No	No
P00747	PLG	1.3594081607407	0.0001615109144429	No	No
P04216	THY1	1.3007457230909	2.29406771049447e-09	No	No
P12882	MYH1	4.20285045938552	7.84192918675124e-06	No	No
P15514	AREG	1.01690921254715	0.0001333513798895	No	No
P17081	RHOQ	2.03594510973204	1.32355818162134e-06	No	No
P24298	GPT	2.22209498435087	9.52809186000325e-10	No	No
P24864	CCNE1	2.91183450584196	1.73775025816769e-26	No	No
P29762	CRABP1	1.76984455098032	2.17584312145822e-05	No	No
P35638	DDIT3	2.76435343839965	5.12805678200904e-14	No	No
P55040	GEM	1.22007741074479	0.0020441597517624	No	No
P56159	GFRA1	1.58491373861241	1.99273384492425e-06	No	No
P98155	VLDLR	1.37645155734837	0.0023354736794304	No	No
Q00G26	PLIN5	1.77763411970323	3.74934726409621e-08	No	No
Q03167	TGFBR3	1.10014361973437	0.0008815637325531	No	No
Q13069	GAGE5	1.34990937773046	1.637774396211e-05	No	No
Q14654	KCNJ11	5.20779542987125	1.58021523694433e-29	No	No
Q504U0	C4orf46	1.55511643645583	7.34413410640963e-05	No	No
Q53EQ6	TIGD5	2.01991605990656	2.28666748173694e-05	No	No
Q6AZZ1	TRIM68	2.14616257345098	0.0006082705633431	No	No
Q6T4P5	PLPPR3	1.70387851328567	7.74533130978914e-09	No	No
Q86WK9	PAQR7	1.40381516692635	0.0043473104939755	No	No
Q8IVL6	P3H3	1.18290036036536	0.0001403964234292	No	No
Q8IYS4	C16orf71	1.01995686579779	0.0071419306608697	No	No
Q8N720	ZNF655	3.05988745339032	2.13464305770847e-05	No	No
Q8N7X4	MAGEB6	3.1084325515096	6.99974674606773e-12	No	No
Q8NAT2	TDRD5	1.60792238518205	0.0002521805136131	No	No
Q92914	FGF11	1.05182635784115	0.0010312742547891	No	No
Q96HJ3	CCDC34	1.12105279427535	0.0030791132153317	No	No
Q96P15	SERPINB11	1.07388205715071	0.0035056397087206	No	No
Q96RK1	CITED4	1.49041035954153	4.88422665007745e-08	No	No
Q99500	S1PR3	1.97406476929356	3.2278190110084e-09	No	No
Q9BS91	SLC35A5	1.36537094454668	1.25401274749923e-06	No	No
Q9BTP7	FAAP24	1.38994961644301	0.0015699420101562	No	No
Q9BX46	RBM24	1.31341595991104	1.91293704342845e-05	No	No
Q9C004	SPRY4	1.217343640911	0.0024336029380931	No	No
Q9C0K1	SLC39A8	1.03060444172643	0.0066276554703472	No	No
Q9H2T7	RANBP17	1.14869559873245	4.46245311968174e-05	No	No
Q9H7J1	PPP1R3E	1.05114412233153	0.0058334004887514	No	No
Q9NP84	TNFRSF12A	1.1206137166401	0.0036242047564653	No	No
Q9P0M2	AKAP7	1.10677910918303	0.0050041703470553	No	No
Q9UKY0	PRND	1.41782416451139	0.0038033136837725	No	No
Q9Y5U5	TNFRSF18	1.12739950948903	0.0027242643855024	No	No
