Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
A1A5D9	BICDL2	1.12014252761723	3.00099620885436e-15	No	No
A6NMD0	IFITM10	1.31374704098904	0.0002402432454997	No	No
B6SEH9	ERVV-2	1.89169340644019	5.54250043258814e-07	No	No
O00534	VWA5A	1.19667203878045	1.6391257921807e-05	No	No
O00590	ACKR2	4.03531187935845	1.0863912974599101e-15	No	No
O15232	MATN3	1.16767408866787	2.32502355542602e-11	No	No
O43609	SPRY1	1.11443687534535	0.0004111678311456	No	No
O43610	SPRY3	1.29640583474539	0.0002556424267606	No	No
O60238	BNIP3L	1.01015505925699	3.92236265697118e-15	No	No
O75326	SEMA7A	1.27914981951803	0.0051467003289582	No	No
O75363	BCAS1	1.3500810354551	1.50645669328491e-31	No	No
O75467	ZNF324	1.03163511046229	0.002530974018912	No	No
O75953	DNAJB5	1.25706166026137	2.16117214925515e-05	No	No
O95255	ABCC6	1.31050081699726	1.93358725823837e-17	No	No
O95744	PMS2P2	2.0955067075644	1.43933624101394e-06	No	No
P02792	FTL	1.2426172617834	0.0015743492540802	No	No
P07476	IVL	1.0442950903614	4.01384238013407e-12	No	No
P11464	PSG1	1.42300661469459	8.98652666628681e-05	No	No
P12273	PIP	1.15872361103218	0.0056902294432478	No	No
P14061	HSD17B1	2.02809522370978	1.2984053142199e-05	No	No
P14543	NID1	1.15267703996774	0.0072857987103615	No	No
P14621	ACYP2	1.09197497456983	5.770596445671109e-11	No	No
P17081	RHOQ	1.63669431802913	6.71782557158675e-05	No	No
P17600	SYN1	1.05479166008256	0.0008623658657471	No	No
P22676	CALB2	1.0496526682905	0.0044423777055901	No	No
P24298	GPT	2.01193497281693	1.65138566385475e-08	No	No
P34741	SDC2	1.09200703556156	5.1306530238959304e-20	No	No
P40199	CEACAM6	1.08434486199239	0.0056289491240845	No	No
P41226	UBA7	1.18250606151517	0.0004654041694127	No	No
P42330	AKR1C3	1.24216122886789	0.0024873492406182	No	No
P42772	CDKN2B	1.52510161452539	3.0162931565844204e-09	No	No
P49703	ARL4D	1.15264591733635	0.0029322722221036	No	No
P50135	HNMT	2.1184472425791	6.4325924510272206e-09	No	No
P61587	RND3	1.23996964348482	4.81450386916076e-10	No	No
P61812	TGFB2	1.82174477609544	0.0015352372560239	No	No
P68543	UBXN2A	1.13858639405592	0.0073145691027465	No	No
P78380	OLR1	1.22364179994679	0.004876498927998	No	No
Q00887	PSG9	1.34975420890155	3.73568710698829e-05	No	No
Q00G26	PLIN5	1.13169832147491	0.0002135289216854	No	No
Q03167	TGFBR3	1.22885476436232	0.0002292067122265	No	No
Q05682	CALD1	1.13909407028225	1.37887656771894e-05	No	No
Q13018	PLA2R1	1.21083465742807	0.0024889143048638	No	No
Q13751	LAMB3	1.13850194665784	0.009296708774245	No	No
Q14185	DOCK1	1.03643520736578	9.26812664496963e-08	No	No
Q14764	MVP	1.1103957976825	3.49706245135468e-29	No	No
Q3C1V0	MS4A18	1.80826880559388	0.0011622086457871	No	No
Q502X0	MORN2	1.27242027462481	0.0032641971086854	No	No
Q504U0	C4orf46	1.03594968509478	0.0066393367132192	No	No
Q5TF39	MFSD4B	1.23240070938125	0.0046911775025301	No	No
Q5VWT5	FYB2	1.30577701418978	1.32826852184998e-06	No	No
Q6AZZ1	TRIM68	2.26641149989553	0.0003119204629156	No	No
Q6P2H8	TMEM53	1.18151433861988	0.00021492931172	No	No
Q6T4P5	PLPPR3	1.31838361814787	3.34624964052938e-06	No	No
Q6TFL4	KLHL24	1.14802190474289	9.67984169534189e-05	No	No
Q6UVW9	CLEC2A	1.08260374261969	0.001999104018148	No	No
Q6UWH4	GASK1B	1.62846609580845	1.79607845279435e-07	No	No
Q6UXK5	LRRN1	1.32308610026505	0.0014571659635316	No	No
Q6ZV29	PNPLA7	1.14034513851858	9.6644031182094e-08	No	No
Q76KP1	B4GALNT4	1.39170367001044	4.69689837675242e-06	No	No
Q7Z7D3	VTCN1	1.0087220232983	8.72665886446765e-06	No	No
Q86VV4	RANBP3L	1.15480016141258	2.75514802857543e-05	No	No
Q86W11	ZSCAN30	1.12847059310367	0.0037319356794501	No	No
Q86WK6	AMIGO1	1.60522746301415	7.56821770586016e-06	No	No
Q86WK9	PAQR7	1.31459912946945	0.0073872683447866	No	No
Q86WV1	SKAP1	1.01145214101689	0.0052806092209523	No	No
Q86XI6	PPP1R3B	2.33912756003731	4.03020765159438e-12	No	No
Q8IV31	TMEM139	1.08872429118249	1.51189130741499e-05	No	No
Q8IWP9	CCDC28A	1.18854766991127	0.0003374242221987	No	No
Q8IWW8	ADHFE1	1.06532646065389	1.10605821517226e-07	No	No
Q8IXV7	KLHDC8B	1.01917246706607	0.0006114898988702	No	No
Q8IYR0	CFAP206	1.32366811682736	0.0002608055908437	No	No
Q8IYS4	C16orf71	2.33947709626321	1.36499226975604e-08	No	No
Q8IZJ3	CPAMD8	1.11019912156723	6.41160538711472e-07	No	No
Q8N1L4	CYP4Z2P	1.52439938947959	4.20311609245634e-05	No	No
Q8N3V7	SYNPO	1.02882876040444	0.0032602124537434	No	No
Q8N443	RIBC1	1.02734001736326	1.7888033243696e-05	No	No
Q8N6N6	NATD1	1.40738834278751	9.678827903928541e-17	No	No
Q8N7X4	MAGEB6	1.97983959934887	2.03284150377904e-06	No	No
Q8N957	ANKFN1	1.04077982423119	0.0016611344173382	No	No
Q8N9H8	EXD3	1.0673880885684	0.0053990775967481	No	No
Q8NEP3	DNAAF1	1.13866012414868	0.0018070506379416	No	No
Q8TB45	DEPTOR	1.10823682521342	6.964424212594339e-11	No	No
Q8TCD6	PHOSPHO2	2.23615459816145	0.0047668567799181	No	No
Q8TF21	ANKRD24	2.80218536187615	2.41242989203463e-07	No	No
Q92597	NDRG1	1.43026618731846	1.59009288266803e-08	No	No
Q92777	SYN2	1.59819453251767	0.0010945423128146	No	No
Q969F1	GTF3C6	1.09195273588	0.0010048748979009	No	No
Q96B97	SH3KBP1	1.40329205707047	1.67184332756215e-05	No	No
Q96E17	RAB3C	3.01651232712322	3.87761469185524e-06	No	No
Q96EE4	CCDC126	1.0180767603409	3.97706266779797e-05	No	No
Q96EG1	ARSG	1.01157206348186	8.9495917918919e-06	No	No
Q96FE7	PIK3IP1	1.21582069333895	0.0013230043562873	No	No
Q96FL8	SLC47A1	1.42228820404149	1.97571402211338e-07	No	No
Q96GX8	C16orf74	1.96090292058621	0.0001016622453098	No	No
Q96NY7	CLIC6	1.32583737087978	4.7527210775627e-07	No	No
Q99500	S1PR3	1.91661357719078	7.48675364786132e-09	No	No
Q99574	SERPINI1	1.44146844345893	2.2453453263641397e-18	No	No
Q9BS91	SLC35A5	1.06632661471349	9.94719050479424e-05	No	No
Q9BW04	SARG	1.09895027334985	0.0020860635459847	No	No
Q9BYN7	ZNF341	1.62244915884447	0.000250732259904	No	No
Q9C0K1	SLC39A8	1.05810395390685	0.0053691698426302	No	No
Q9H3M7	TXNIP	1.08034907511927	5.0312778003412e-05	No	No
Q9H3S4	TPK1	1.3722070109386	0.0003446178844703	No	No
Q9HB63	NTN4	1.47625700786187	3.15737060718206e-05	No	No
Q9NP84	TNFRSF12A	1.22524981410087	0.0015522388057094	No	No
Q9NRH3	TUBG2	1.10188705675147	7.01242586158394e-06	No	No
Q9NX95	SYBU	1.31380930182237	0.0091535677385463	No	No
Q9NZ71	RTEL1	1.06095708163698	0.0013925294664222	No	No
Q9P232	CNTN3	1.05791469957258	9.54797616417918e-06	No	No
Q9UBN1	CACNG4	1.15596853866154	0.0007440373825028	No	No
Q9UHX3	ADGRE2	1.90293178174008	5.4836691483546e-07	No	No
Q9UJT0	TUBE1	1.09182277544193	0.0004575519931324	No	No
Q9UKI2	CDC42EP3	1.55288978064639	6.78371233971877e-05	No	No
Q9UKY0	PRND	1.31282372959412	0.0071525569400163	No	No
Q9UNA1	ARHGAP26	1.40733301986344	7.49001171286876e-05	No	No
Q9Y2D0	CA5B	1.01997227650478	8.015901218098909e-11	No	No
Q9Y4H4	GPSM3	2.01061547341633	4.35049670572729e-05	No	No
Q9Y566	SHANK1	1.14362044008259	0.0037369746003753	No	No
Q9Y5I1	PCDHA11	1.29282894276164	0.0029779329988054	No	No
Q9Y5U4	INSIG2	1.13712379041736	0.0003299113607732	No	No
A8MT69	CENPX	-1.29355395674552	3.28910749862291e-08	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-1.66888953668339	2.07299821353454e-06	No	No
O00311	CDC7	-1.60053192998298	1.6399449332500897e-11	No	No
O00762	UBE2C	-2.08095233803634	2.12965557637331e-07	No	No
O14578	CIT	-1.70318957719069	3.12485308484879e-15	No	No
O14732	IMPA2	-1.22475834642993	3.01176609258016e-12	No	No
O14757	CHEK1	-1.50862489771652	1.0691290205371599e-11	No	No
O14775	GNB5	-1.25603175842725	9.26551361302759e-05	No	No
O14777	NDC80	-1.98863372243634	4.54997705152953e-08	No	No
O14965	AURKA	-1.98947674166737	9.04227889412301e-12	No	No
O14975	SLC27A2	-1.08704274833593	3.50178592595287e-08	No	No
O15062	ZBTB5	-1.12173405474688	3.956076634344151e-09	No	No
O15287	FANCG	-1.42961320957529	3.34435241597415e-08	No	No
O15297	PPM1D	-1.11924586398114	0.0002462341745248	No	No
O15304	SIVA1	-1.33676592993341	5.11968793989625e-05	No	No
O15350	TP73	-1.87445613236728	9.378438038846941e-20	No	No
O15360	FANCA	-1.17965698139429	3.64887060266489e-05	No	No
O15392	BIRC5	-2.4340532719852	1.57892180669815e-06	No	No
O43248	HOXC11	-1.10404830397531	6.50924347065214e-06	No	No
O43379	WDR62	-2.22577717539385	2.25357114047973e-17	No	No
