Protein_Group	Genes	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_logFC	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_pval	Removed?	Contaminant?
A1A5D9	BICDL2	1.11266727616762	4.015356544328991e-15	No	No
A6NGC4	TLCD2	1.38515265611592	0.0001228755201292	No	No
A6NMD0	IFITM10	1.30582069494351	0.0002601298522201	No	No
A6NNZ2	TUBB8B	1.63797071645647	0.0096799162761276	No	No
O00534	VWA5A	1.58643405118038	3.93021335547636e-08	No	No
O14529	CUX2	1.19638859278911	0.0053790630661891	No	No
O14880	MGST3	1.50328791292262	0.0047459449328551	No	No
O14957	UQCR11	1.35775492014183	0.0098707877567705	No	No
O15232	MATN3	1.0596031682612	5.69580195491613e-10	No	No
O75355	ENTPD3	1.92685248898074	2.16955647204688e-05	No	No
O75363	BCAS1	1.79597778538517	5.763790846068989e-40	No	No
O75467	ZNF324	1.31536391101395	0.000153714929378	No	No
O76039	CDKL5	1.46544016089403	0.0008013591102874	No	No
O95255	ABCC6	1.19326118734819	1.44587649498672e-15	No	No
O95789	ZMYM6	1.25668071580334	0.0023749648083807	No	No
O95833	CLIC3	1.08207560558407	4.7864894135483496e-26	No	No
P07476	IVL	1.40882140500888	1.21150327495925e-17	No	No
P08294	SOD3	1.31894793527186	1.35516959357875e-07	No	No
P09529	INHBB	1.39167019250294	5.13101414177858e-07	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.05712975277064	0.0034280665375988	No	No
P10912	GHR	1.15796707464956	0.0015939002094332	No	No
P11362	FGFR1	1.15846904010589	0.007719884292729	No	No
P11464	PSG1	1.6669660821409	6.41811143867181e-06	No	No
P12273	PIP	1.45882033634195	0.0005937317936394	No	No
P12429	ANXA3	1.06949229982277	5.03549345408507e-08	No	No
P14061	HSD17B1	2.47275835370069	2.22968297586783e-07	No	No
P17600	SYN1	1.29733473138715	5.58912051754022e-05	No	No
P21731	TBXA2R	1.32897673850425	0.0083980896176234	No	No
P24385	CCND1	1.09757215941406	1.99579091987516e-16	No	No
P24390	KDELR1	1.79093752912463	0.0007569662013789	No	No
P24593	IGFBP5	1.13398699102378	1.06477285613894e-19	No	No
P35408	PTGER4	1.16286875138064	6.31084115717997e-05	No	No
P42330	AKR1C3	1.42243929025026	0.000594504299086	No	No
P42772	CDKN2B	1.81358573939057	1.12062293121366e-11	No	No
P49703	ARL4D	1.12973224811119	0.0035144070176574	No	No
P51161	FABP6	1.28950624967463	0.0003325707846183	No	No
P53675	CLTCL1	1.07805767347143	0.0008213460322657	No	No
P55345	PRMT2	1.38182447646898	2.39151524233469e-05	No	No
P55809	OXCT1	1.82563945424742	3.77841034948262e-06	No	No
P56705	WNT4	2.11884599217839	1.83943168275251e-08	No	No
P61587	RND3	1.30477313224958	9.3046106747965e-11	No	No
P61812	TGFB2	1.60001776899769	0.0050753153671986	No	No
P68543	UBXN2A	1.35301700384684	0.0015853740220048	No	No
P78380	OLR1	1.52205220699208	0.0005482906220455	No	No
Q00534	CDK6	1.67420902612655	8.2607405807483e-13	No	No
Q00887	PSG9	1.9312473949948	1.9320933229264e-08	No	No
Q05682	CALD1	1.04657176151281	5.58996334857719e-05	No	No
Q14031	COL4A6	1.09885028335334	0.0068209065093791	No	No
Q14106	TOB2	1.09802049544848	0.0003030271275973	No	No
Q14656	TMEM187	1.93330520914079	0.0009665897669636	No	No
Q14721	KCNB1	1.16500944369947	1.85939089576151e-05	No	No
Q14749	GNMT	1.13277203088144	0.002718032545755	No	No
Q14764	MVP	1.34820015899771	1.09311275794213e-34	No	No
Q15173	PPP2R5B	1.19981897800964	2.92383161448474e-16	No	No
Q3BBV2	NBPF8	1.48131225180209	5.95068920510865e-10	No	No
Q53HI1	UNC50	2.54800803169565	6.66717232654852e-12	No	No
Q5K651	SAMD9	1.03220278943499	4.6197696778749e-05	No	No
Q5T9L3	WLS	1.19633020078267	0.0022583675718093	No	No
Q5TGI0	FAXC	1.39018696721521	7.08765594460373e-05	No	No
Q5VWT5	FYB2	1.43661674237602	1.55174030757456e-07	No	No
Q6F5E8	CARMIL2	1.19920332382683	2.29094786674346e-08	No	No
Q6UVW9	CLEC2A	1.49620576588964	3.13837546038707e-05	No	No
Q6UWH4	GASK1B	1.98702078089235	8.04580998029696e-10	No	No
Q6UWH6	TEX261	1.28517158859147	0.0045601568810202	No	No
Q6UXD7	SLC49A3	1.05222236081911	5.16789003298119e-06	No	No
Q6UXK5	LRRN1	1.11293174801528	0.0068869464759522	No	No
Q6ZV29	PNPLA7	1.35154026461182	8.95373847726198e-10	No	No
Q71RC9	SMIM5	1.33739002216769	0.0031073071438981	No	No
Q76N32	CEP68	1.0685375109051	0.0001829981951158	No	No
Q7Z404	TMC4	1.14319778243702	4.8986081361117904e-14	No	No
Q7Z419	RNF144B	1.73984146510609	0.0001170678073137	No	No
Q7Z465	BNIPL	1.08397832132814	8.61442630454063e-30	No	No
