Protein_Group	Genes	pLVX_mCDK6_OE_vs_pLVX_EV_logFC	pLVX_mCDK6_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
H3BS89	TMEM178B	1.20268428578775	4.88655476701641e-05	No	No
O75452	RDH16	1.09248441006478	7.12279140849033e-07	No	No
P00747	PLG	1.15521847821106	0.0011738882679514	No	No
P01859	IGHG2	2.02445332147827	1.54063901912371e-13	No	No
P04216	THY1	1.37174280265889	4.55923664216138e-10	No	No
P11532	DMD	1.73804743472535	0.0001068524753415	No	No
P17040	ZSCAN20	1.66480692468702	0.0001008954489507	No	No
P17081	RHOQ	1.52993412127457	0.0001777689572311	No	No
P24298	GPT	2.03378710116706	1.23172763243598e-08	No	No
P29762	CRABP1	1.14483603932493	0.0045394346212208	No	No
P35638	DDIT3	1.9394312382859	9.51268514585756e-09	No	No
P98155	VLDLR	1.34692166262667	0.0028619686714001	No	No
Q00534	CDK6	4.6689017144376	1.11879364175049e-37	No	No
Q01629	IFITM2	1.49645103565317	0.0036074160103119	No	No
Q03167	TGFBR3	1.15628658722752	0.000495265881233	No	No
Q5T7B8	KIF24	2.1548487083576	0.000209962456943	No	No
Q6T4P5	PLPPR3	1.69706168805025	8.66010736288148e-09	No	No
Q6ZSY5	PPP1R3F	1.3440967916693	0.0008896798444417	No	No
Q86W11	ZSCAN30	1.85457472837539	4.79535804340377e-06	No	No
Q86WV6	STING1	1.07952499079895	0.0035021292773751	No	No
Q8IVL6	P3H3	1.53183243342548	1.63807328897475e-06	No	No
Q8IYS4	C16orf71	1.30468011331602	0.0006901336153457	No	No
Q8N5T2	TBC1D19	2.48318339849255	0.0020365031507553	No	No
Q8N7X4	MAGEB6	1.07897092872772	0.0065012922234495	No	No
Q8NEA4	FBXO36	1.58881101951018	9.3286158373293e-05	No	No
Q96P15	SERPINB11	1.23747183492533	0.0008504876050035	No	No
Q99500	S1PR3	1.84923412204588	1.99133210024473e-08	No	No
Q9BS91	SLC35A5	1.28822339167844	4.07004539153012e-06	No	No
Q9C004	SPRY4	1.14235292587999	0.0043118687936152	No	No
Q9Y5U4	INSIG2	1.2614173970006	7.88336965517998e-05	No	No
O14967	CLGN	-1.535285925423	9.62025039670683e-05	No	No
O43521	BCL2L11	-1.2965063335095	0.0028376326947632	No	No
O75355	ENTPD3	-1.39164872313736	0.0016323066721929	No	No
O96024	B3GALT4	-1.52262290323544	0.0062260575880525	No	No
P09529	INHBB	-1.18793320937581	1.2182517823406e-05	No	No
P0CG41;Q8IX94	CTAGE8;CTAGE4	-2.62651756358799	6.51666613173633e-05	No	No
P10912	GHR	-1.35833306318299	0.0002504621252578	No	No
P14061	HSD17B1	-1.57234251492322	0.0005402074040828	No	No
P18848	ATF4	-4.019837970304	2.62619182858075e-22	No	No
P47712	PLA2G4A	-1.16912346759371	1.10133323111179e-06	No	No
P51161	FABP6	-1.2492474183364	0.0004924162880211	No	No
P52741	ZNF134	-2.00101963808055	1.18664250492861e-07	No	No
P55809	OXCT1	-1.73869795528961	9.46995485134538e-06	No	No
P56705	WNT4	-1.82148084635153	7.2467842332315e-07	No	No
P59665	DEFA1B	-1.17609004493891	2.86570472033089e-05	No	No
P86397	HTD2	-1.24453513512831	3.65544711026807e-05	No	No
Q0VDI3	TMEM267	-1.82782974862975	0.0002060189197614	No	No
Q5H9S7	DCAF17	-1.12031874484329	0.0006466929386771	No	No
Q5H9U9	DDX60L	-1.1064243979882	0.0003702413405441	No	No
Q7Z419	RNF144B	-1.49882752769414	0.0007861131335813	No	No
Q8IYL2	TRMT44	-1.3600087055737	0.0004320179920592	No	No
Q8NDW4	ZNF248	-1.32038015574767	0.007421620705223	No	No
Q8TBR7	TLCD3A	-1.20441303733699	0.0062616663374308	No	No
Q96DA2	RAB39B	-2.17864084532988	7.84406607837863e-07	No	No
Q96H40	ZNF486	-1.30226077460478	0.0009624316750455	No	No
Q9BT76	UPK3B	-1.08981162539214	0.0052154729256983	No	No
Q9Y2D2	SLC35A3	-1.15797762629087	1.37219565810013e-06	No	No
