Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
A0A075B6J2	IGLV2-33	7.58388627368937	4.93030488238766e-10	No	No
A0A0B4J2D5;P0DPI2	GATD3A;GATD3B	7.62233490081393	5.56872016165765e-08	No	No
A0AVT1	UBA6	4.07219830166643	0.0002129705943186	No	No
A0FGR8	ESYT2	7.86858772931296	2.98663935446917e-13	No	No
A1A4S6	ARHGAP10	4.59361347461786	0.0001914547448757	No	No
A1L0T0	ILVBL	3.97428432796282	3.30535044069219e-05	No	No
A1X283	SH3PXD2B	4.0557222078973	0.0015499327442489	No	No
A2RRP1	NBAS	3.64828009330785	0.0028083841465375	No	No
A2RUS2	DENND3	6.51028641040083	8.14850826434853e-08	No	No
A5YKK6	CNOT1	3.92774800291409	0.0005775504228819	No	No
A6NDB9	PALM3	6.98678345687376	3.66680874131026e-09	No	No
A6NDG6	PGP	5.95596998519605	1.22887972528707e-07	No	No
A6NDU8	C5orf51	4.52532631729296	1.06682061046106e-05	No	No
A6NHL2	TUBAL3	8.78280845013006	6.0738262496674e-11	No	No
A6QL63	BTBD11	6.43857914002697	7.4784844059773e-09	No	No
B0I1T2	MYO1G	6.508057832324	5.58056234159537e-09	No	No
B1AKI9	ISM1	4.71241903257908	5.98321955616256e-05	No	No
B2RUZ4	SMIM1	6.54449098294312	6.06515540742124e-10	No	No
B5ME19;Q99613	EIF3C;EIF3CL	5.38422306854659	8.82689330737823e-06	No	No
E9PAV3	NACA	7.89099667456579	2.5182401818118404e-15	No	No
O00116	AGPS	6.29229310262352	1.7539044626633602e-09	No	No
O00139	KIF2A	9.337243513042	9.088166725060591e-14	No	No
O00151	PDLIM1	2.87701274446676	0.0001349600654013	No	No
O00154	ACOT7	5.91610885305086	7.596273718901e-06	No	No
O00159	MYO1C	7.10558089128434	1.94514286985257e-07	No	No
O00161	SNAP23	9.53173094184076	9.317427908621889e-12	No	No
O00178	GTPBP1	4.56109465759072	5.31947308538471e-06	No	No
