Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
A0FGR8	ESYT2	4.83917505442837	5.01009755878494e-07	No	No
A1X283	SH3PXD2B	5.76397503537806	1.3767504829599e-05	No	No
A2RUS2	DENND3	5.25406983932841	7.48458358255837e-06	No	No
A6NHL2	TUBAL3	6.62355817955664	1.55103186924514e-07	No	No
O00139	KIF2A	7.37282237497976	3.20848605967059e-10	No	No
O00161	SNAP23	6.97603550240364	8.31227470993785e-08	No	No
O00231	PSMD11	5.38231483110957	8.63149198418298e-07	No	No
O00410	IPO5	5.70460923932257	1.04982826931623e-05	No	No
O00743	PPP6C	4.6395400545256	1.75670753575759e-06	No	No
O14545	TRAFD1	5.02340519729049	1.60541601656577e-06	No	No
O14579	COPE	4.95071615412973	0.0001338009129681	No	No
O14617	AP3D1	5.02024457091978	0.0001609269589589	No	No
O14672	ADAM10	6.70465916349983	7.74785569620372e-07	No	No
O14974	PPP1R12A	5.78175000461628	4.3809475533958005e-10	No	No
O14976	GAK	5.33155407968151	0.000446394746404	No	No
O14980	XPO1	4.69488080861736	2.35014432087872e-06	No	No
O15111	CHUK	5.07744200658389	0.000213915473321	No	No
O15260	SURF4	5.72099297950131	1.1400441565428202e-09	No	No
O15357	INPPL1	4.76526053005964	6.26105294072533e-07	No	No
O15400	STX7	5.35626691829956	3.81431704252138e-08	No	No
O15533	TAPBP	4.93378234438547	3.79493141435231e-07	No	No
O43149	ZZEF1	5.15641025342956	0.0001590470937468	No	No
O43150	ASAP2	5.50437545167298	7.81213698773605e-07	No	No
O43182	ARHGAP6	6.48576701912757	5.07608158005976e-07	No	No
O43312	MTSS1	5.37014723061263	1.32580777772188e-08	No	No
O43396	TXNL1	6.5770538541844	4.1025534988407e-07	No	No
O43516	WIPF1	5.14972855940878	0.0001488383783818	No	No
O43639	NCK2	4.72948642021823	2.918653580959e-07	No	No
O43681	GET3	6.05382641270939	1.54802282142266e-10	No	No
O43815	STRN	5.31703548414483	2.83666796854815e-08	No	No
O60229	KALRN	7.29862969307181	1.18590079959606e-07	No	No
O60240	PLIN1	5.46335912451058	1.41762505691787e-07	No	No
O60256	PRPSAP2	5.25219298594589	1.5599503156213e-05	No	No
O75116	ROCK2	8.07396759531035	4.15115785891261e-13	No	No
O75396	SEC22B	6.31828501950137	7.723263406991821e-10	No	No
O75558	STX11	6.94212796774311	1.18482548932836e-11	No	No
O75791	GRAP2	5.71373758127689	3.78987257129463e-07	No	No
O75822	EIF3J	4.68360629247355	1.50265402803862e-05	No	No
O75915	ARL6IP5	5.18269366993623	1.07245165983361e-08	No	No
O75947	ATP5PD	5.82104362734964	6.70114255595659e-05	No	No
O75955	FLOT1	6.4220643673123	4.81502443060454e-12	No	No
O75964	ATP5MG	5.52535271871567	5.946427657510571e-09	No	No
O95292	VAPB	5.03690585272942	6.91317141746185e-08	No	No
O95373	IPO7	4.86318161245844	1.02703600127507e-05	No	No
O95674	CDS2	5.78405901859416	5.98450597820195e-09	No	No
O95721	SNAP29	5.00215777350542	7.54733429031541e-07	No	No
O95782	AP2A1	6.59450210919866	1.37646220158007e-06	No	No
O95831	AIFM1	5.28965203035862	9.81733982122869e-08	No	No
P00403	MT-CO2	4.8192641635024	2.90772270804132e-07	No	No
P00734	F2	5.17619087761683	5.68271011415878e-19	No	No
P00740	F9	5.3794657142303	5.843673593298771e-19	No	No
P01130	LDLR	6.29494609344369	6.89438361913394e-07	No	No
P01133	EGF	4.67853733028494	1.36887247429636e-06	No	No
P02549	SPTA1	4.83900063881551	0.0006585805538008	No	No
P02810	PRH2	5.18563299575665	8.85540961645683e-08	No	No
P04003	C4BPA	5.08000278687171	2.6601849435494298e-18	No	No
P04843	RPN1	7.3661399791438	5.5673156988861296e-11	No	No
P04844	RPN2	6.91992885413887	3.72269065653398e-10	No	No
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q96KK5	H2AC12;H2AC17;H2AC6;H2AC7;H2AC8;H2AW	5.01895260622852	0.0004215479249174	No	No
P05023	ATP1A1	5.04824074210562	2.57186336808487e-08	No	No
P05386	RPLP1	5.24412231307828	5.6982416155909e-08	No	No
P05387	RPLP2	6.93791120510305	1.1284191307165702e-09	No	No
P05388	RPLP0	4.90713898187473	5.90663223201115e-08	No	No
P06858	LPL	6.28505042932039	3.46529105054955e-05	No	No
P08574	CYC1	4.64553926271802	1.42936072579512e-06	No	No
P08590	MYL3	8.85907590103753	8.186887311924161e-15	No	No
P08962	CD63	5.39173990011718	5.76065997884662e-06	No	No
P09496	CLTA	4.93793224877572	0.0001659557680445	No	No
P09543	CNP	5.0400726817289	4.58748594824578e-07	No	No
P10606	COX5B	5.4717294069456	6.07153328510901e-08	No	No
P10644	PRKAR1A	6.45216007312827	6.577574165334301e-10	No	No
P11177	PDHB	5.2898870824967	3.34729552135956e-06	No	No
P13073	COX4I1	5.73405692159587	3.11669012207386e-07	No	No
P13798	APEH	6.80394080834631	6.042787843991709e-12	No	No
P13804	ETFA	6.05547564428243	2.25466137048849e-10	No	No
P13861	PRKAR2A	5.53064058130947	1.05832153737565e-06	No	No
P14868	DARS1	4.96839383610742	5.20387279856497e-05	No	No
P15170	GSPT1	5.11376653752425	3.47792179124781e-08	No	No
P16278	GLB1	4.72097237003937	6.07627934506592e-06	No	No
P16885	PLCG2	5.4799519387654	1.8478149725955e-05	No	No
P17655	CAPN2	6.76762571443986	5.70651028706058e-07	No	No
P17980	PSMC3	5.02355583487538	6.48913203387698e-07	No	No
P17987	TCP1	5.35963843055776	5.047874205487741e-09	No	No
P19525	EIF2AK2	4.647484643737	8.85373451046828e-06	No	No
P21796	VDAC1	6.64407120122925	2.41046898293714e-10	No	No
P22223	CDH3	5.02452135231256	0.0001294959498524	No	No
P22234	PAICS	4.62379241523794	2.93848474388541e-07	No	No
P22694	PRKACB	5.88712325513236	2.52857395596896e-05	No	No
P22695	UQCRC2	6.17780123126021	2.8174655004485503e-10	No	No
P23368	ME2	6.54868499295534	1.95593743648725e-10	No	No
P23435	CBLN1	4.80819337335124	3.32305122467256e-06	No	No
P25325	MPST	5.44289983939883	0.0012356130771354	No	No
P26440	IVD	6.58469895087238	2.3310202340934e-05	No	No
P27986	PIK3R1	5.23892614815708	5.48469364892563e-07	No	No
P28074	PSMB5	7.64353880220323	4.2261010891467597e-13	No	No
P29144	TPP2	5.51747546308585	7.31077480050984e-07	No	No
P29692	EEF1D	6.49128968011768	4.52858298895355e-08	No	No
P30153	PPP2R1A	7.04297394767702	2.14189447234881e-06	No	No
P30405	PPIF	5.81392383722095	3.88238838048097e-10	No	No
P31040	SDHA	4.86366897417143	3.01710712423296e-05	No	No
P31323	PRKAR2B	5.78586345473714	1.21263276513749e-06	No	No
P31930	UQCRC1	5.72378423449543	3.64763886431771e-08	No	No
P33176	KIF5B	5.7502262536194	2.99682126751308e-08	No	No
P35222	CTNNB1	5.89933423639834	0.0078977400638254	No	No
P35232	PHB	6.29005629371366	3.70315003489993e-10	No	No
P35442	THBS2	6.28160485944185	1.88967671022909e-06	No	No
P35611	ADD1	5.61026006088987	4.25296665937999e-07	No	No
P35998	PSMC2	5.13146812582201	8.56835370791109e-09	No	No
P36957	DLST	4.80355442552938	0.0001220470159923	No	No
P38117	ETFB	5.06425131790464	1.01107533223688e-07	No	No
P40763	STAT3	6.26980250199972	6.74227323669715e-08	No	No
P40939	HADHA	6.85928106545941	1.2974157918048399e-11	No	No
P40967	PMEL	6.03374764722836	6.449078332492529e-11	No	No
P41240	CSK	5.35603137702327	4.21441839746306e-08	No	No
P41250	GARS1	5.32827016890106	0.0001346875163686	No	No
P42356	PI4KA	4.8614665571299	2.74607464779317e-05	No	No
P42566	EPS15	5.43905873545604	1.2556950686163e-08	No	No
P42768	WAS	5.62150981778523	2.14614394208931e-07	No	No
P42892	ECE1	5.55087182593491	2.79158860476592e-09	No	No
P43304	GPD2	7.79451293247432	1.40764879869304e-13	No	No
P45974	USP5	6.47573089959113	3.35018951257797e-08	No	No
P46109	CRKL	6.15529090072988	1.4947100049003501e-10	No	No
P46939	UTRN	5.03329764589488	1.60274279415367e-06	No	No
P46977	STT3A	4.82191222217942	2.52854027174374e-06	No	No
P47712	PLA2G4A	6.15174240380051	5.6986865268544405e-09	No	No
P48444	ARCN1	6.18600149460287	1.45254975338877e-07	No	No
