Protein_Group	Genes	SAX_Pooled_vs_RAW_Pooled_logFC	SAX_Pooled_vs_RAW_Pooled_pval	Removed?	Contaminant?
A0A075B6I7	IGLV5-48	6.09064884203278	3.67288492618327e-16	No	No
A0A075B6J6	IGLV3-22	3.803471953307	5.42320493959879e-05	No	No
A0A087WYE8	IGHV1OR21-1	8.63361015071559	7.179111372917601e-10	No	No
A0AVT1	UBA6	6.0745799009202	7.59156017947135e-12	No	No
A0FGR8	ESYT2	7.29874583093826	3.47810484819164e-18	No	No
A1L0T0	ILVBL	4.60865784322087	4.22803360196477e-10	No	No
A1X283	SH3PXD2B	2.72768081955016	0.0025218011658405	No	No
A2RRP1	NBAS	3.35962642756403	0.0001393491790471	No	No
A4D1P6	WDR91	2.76662032831404	0.0003828382609651	No	No
A5D8V6	VPS37C	4.82197699337423	1.30240480521739e-09	No	No
A6NDB9	PALM3	5.64758797660602	6.525676024055319e-11	No	No
A6NDU8	C5orf51	4.83283955803205	6.6627629616078e-10	No	No
A6NFX1	MFSD2B	3.31987293136535	4.95313515734178e-06	No	No
A6NHL2	TUBAL3	9.2696769417631	9.94339669049064e-18	No	No
A6NIH7	UNC119B	4.15286804169372	1.30506593829248e-05	No	No
A6QL63	BTBD11	4.07117958447639	1.27153701915292e-07	No	No
B0I1T2	MYO1G	5.37660872382484	5.261637746351889e-11	No	No
B1AKI9	ISM1	3.9271022322432	3.60719446162404e-06	No	No
B2RUZ4	SMIM1	6.75685565373585	6.69364614270537e-16	No	No
B9EJG8	TMEM150C	1.89518955980782	0.0031693581631364	No	No
C4AMC7;Q6VEQ5	WASH2P;WASH3P	2.59560019629146	0.000425713424411	No	No
O00116	AGPS	6.14744752546373	2.83179833738161e-14	No	No
O00139	KIF2A	4.13739372181772	1.61751139999157e-07	No	No
O00151	PDLIM1	1.57319416297954	0.002575518694365	No	No
O00159	MYO1C	7.74813600660297	4.47957088561996e-13	No	No
O00178	GTPBP1	3.23032119391451	5.16378054059187e-06	No	No
O00186	STXBP3	7.07477960301182	2.31173017569928e-11	No	No
O00187	MASP2	3.58377826028268	2.55436564432156e-12	No	No
O00194	RAB27B	3.56839748251576	4.82318309039771e-09	No	No
O00214	LGALS8	3.41455184405298	1.61345659077319e-05	No	No
O00217	NDUFS8	4.90464078300353	7.84800937517386e-10	No	No
