Protein_Group	Genes	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_logFC	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A0A1B0GUS4	UBE2L5	2.46498360113538	1.19265436676588e-06	No	No
A1Z1Q3	MACROD2	2.00846593714989	5.82531782439024e-05	No	No
O60259	KLK8	2.31582816981101	0.0002268186626969	No	No
P14061	HSD17B1	2.66324422997734	9.437980849039302e-16	No	No
P15884	TCF4	2.00034348204506	1.72632544308877e-21	No	No
P42772	CDKN2B	2.02628615923311	6.25764906241751e-17	No	No
Q5H9U9	DDX60L	2.05838063061274	0.0006251011820393	No	No
Q6UWH6	TEX261	3.41898959805886	7.63064389186927e-07	No	No
Q6ZS11	RINL	3.12375846889872	1.87571389562902e-08	No	No
Q86WV1	SKAP1	2.02019859352308	0.0028093754412715	No	No
Q8IXH6	TP53INP2	2.29521773563391	0.0034521768776624	No	No
Q99574	SERPINI1	2.05581546744928	1.76410853677317e-25	No	No
Q9H7X2	C1orf115	2.17405961317403	5.43893379018435e-13	No	No
Q9NX95	SYBU	2.21430839241681	1.32237785100704e-08	No	No
Q9Y6G1	TMEM14A	2.79586239443835	2.68622390222489e-07	No	No
A8MPP1	DDX11L8	-2.07374702379027	1.10761540805174e-19	No	No
O00762	UBE2C	-2.36017356947846	7.7017399309231905e-31	No	No
O14777	NDC80	-2.48730012537434	1.58053562135316e-35	No	No
O14965	AURKA	-2.25995412173563	2.84079766223614e-34	No	No
O15392	BIRC5	-3.06518636569169	3.69298660705595e-16	No	No
O43379	WDR62	-2.09437391575295	6.785465659232611e-23	No	No
O43663	PRC1	-2.640973493736	1.0850535890592699e-34	No	No
O75330	HMMR	-2.50040755167666	4.37479473604201e-26	No	No
O75419	CDC45	-2.29558662498789	3.4619057782536596e-28	No	No
O75496	GMNN	-2.6177181826942	3.3154294142377904e-15	No	No
O75771	RAD51D	-2.55645677598449	3.59938779331047e-05	No	No
O95067	CCNB2	-2.52146374757757	5.52189327750345e-24	No	No
O95235	KIF20A	-2.87951093241995	3.9510065176473e-34	No	No
O95239	KIF4A	-2.72340784388424	5.18422108328216e-46	No	No
O95997	PTTG1	-3.29507699155598	3.40166537607042e-22	No	No
P00374	DHFR	-2.43815895906217	3.42621379122062e-37	No	No
P04183	TK1	-2.4938098003801	2.8994946394744e-32	No	No
P04818	TYMS	-3.25648653575927	7.08458565283335e-25	No	No
P06493	CDK1	-2.04565614383332	6.6283914926757e-41	No	No
P11388	TOP2A	-2.32157284837024	6.745264857001429e-41	No	No
P14635	CCNB1	-2.80869391251845	3.57475508695903e-29	No	No
P19544	WT1	-2.22605640945721	1.1905737337364101e-17	No	No
P20248	CCNA2	-2.58947985988977	7.62538521579698e-14	No	No
P30305	CDC25B	-2.58378689018941	5.09932085467231e-16	No	No
P31274	HOXC9	-3.06541203887849	0.000539940858744	No	No
P31350	RRM2	-2.35143773436058	2.94469613957403e-39	No	No
P33316	DUT	-2.14586666653562	3.1626210496725698e-40	No	No
P41002	CCNF	-2.05647138789787	2.92441254684821e-08	No	No
P46013	MKI67	-2.72642047571377	1.52216712778051e-42	No	No
P49454	CENPF	-2.41777156040288	1.7787832142615701e-38	No	No
P51955	NEK2	-2.31884907524355	1.19671417850885e-16	No	No
P52732	KIF11	-2.2253823331668	5.12811808582857e-41	No	No
P53350	PLK1	-2.56333696317781	3.00461274139156e-38	No	No
P59796	GPX6	-2.9031574574691	2.48519732800611e-14	No	No
Q01664	TFAP4	-3.30364599311784	9.1754404944131e-14	No	No
Q02224	CENPE	-2.00278083580629	2.9041625545477e-19	No	No
Q02241	KIF23	-2.14319390706508	3.45398395614931e-39	No	No
Q12834	CDC20	-2.7767206844323	1.39383906645254e-29	No	No
Q14674	ESPL1	-2.59581092777447	1.07310285338656e-28	No	No
Q14807	KIF22	-2.99265087809152	1.9746137863587e-38	No	No
Q14CB8	ARHGAP19	-2.22568140730812	2.9452438780254204e-17	No	No
Q15004	PCLAF	-2.90650131983244	1.3152789566322302e-25	No	No
Q15021	NCAPD2	-2.00458915546649	1.58185826682889e-48	No	No
Q15468	STIL	-2.32015299539218	7.93025365622186e-21	No	No
Q16763	UBE2S	-2.35630245476712	3.8299939620305e-28	No	No
Q53EZ4	CEP55	-2.09862721371418	1.71986051162225e-31	No	No
Q53HL2	CDCA8	-2.74264140283069	1.22990185842296e-26	No	No
Q562F6	SGO2	-2.02111534842716	9.37691396739741e-13	No	No
Q5FBB7	SGO1	-2.59066337172538	2.59099041365515e-20	No	No
Q5T6S3	PHF19	-2.42226707534397	1.9311694670113e-17	No	No
Q69YH5	CDCA2	-2.29063254275812	3.4337717909058704e-19	No	No
Q6P0N0	MIS18BP1	-2.25603807351107	5.0923425284613596e-26	No	No
Q6P4F7	ARHGAP11A	-2.13131395735908	3.90017811194391e-11	No	No
