Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A6NCS6	C2orf72	2.02295703540829	1.19205938699106e-27	No	No
O00590	ACKR2	2.51562198165164	4.11555631524088e-07	No	No
O15229	KMO	2.2165141722839	4.32487173647942e-29	No	No
O94921	CDK14	2.06666491809608	1.15668247556848e-07	No	No
O95340	PAPSS2	2.04101053355128	3.5678191899466004e-36	No	No
P01876	IGHA1	2.03516079366096	7.12286922418554e-07	No	No
P02461	COL3A1	5.13621062335531	1.58616560672432e-66	No	No
P02792	FTL	2.37599284187844	1.21096638018856e-05	No	No
P07195	LDHB	2.0700259905613	2.65681175690725e-10	No	No
P14061	HSD17B1	6.76024421961429	5.5625292970069e-32	No	No
P21397	MAOA	2.06893665970556	0.0012200617383619	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	3.00316439907268	0.0018002947274849	No	No
P25311	AZGP1	2.29635091887045	2.86700238108689e-36	No	No
P29966	MARCKS	2.74009948391143	4.55630561273049e-08	No	No
P30988	CALCR	2.10041838266172	6.895345881642779e-13	No	No
P31997	CEACAM8	2.82408536107492	1.03913127707559e-13	No	No
P40199	CEACAM6	2.13313152713815	2.40674224737638e-09	No	No
P42330	AKR1C3	2.29332195089571	2.07329536567335e-16	No	No
P43365	MAGEA12	2.37736053180932	1.24879047722555e-18	No	No
P47895	ALDH1A3	3.36301144719738	1.02812522991156e-23	No	No
P51606	RENBP	4.20725099065388	2.6838109532169704e-15	No	No
P52895	AKR1C2	2.66119800018166	2.37933107410907e-11	No	No
P56277	CMC4	2.46546223583706	7.24073311880895e-05	No	No
P57073	SOX8	2.18104307813471	1.31833275300823e-10	No	No
P68431	H3C12	3.85842418448294	5.66741957496855e-09	No	No
P78380	OLR1	2.33960340684906	4.49519419193508e-12	No	No
Q12794	HYAL1	3.16751443510591	4.25761019602508e-08	No	No
Q13753	LAMC2	2.18203252373948	1.4189046956609e-13	No	No
Q14956	GPNMB	2.58023734807615	6.52206757588488e-16	No	No
Q16270	IGFBP7	2.79298577576943	4.92632252395543e-13	No	No
Q3SY77	UGT3A2	2.12651660063858	5.62839598217921e-06	No	No
