Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	2.61819698523917	9.80823768881092e-12	No	No
O00590	ACKR2	2.83717112030495	3.0613388927495e-08	No	No
O15229	KMO	2.49090688276616	2.8541146743533998e-31	No	No
O95340	PAPSS2	2.01646242237272	6.086158548070879e-36	No	No
P01859	IGHG2	2.28723452030438	0.0001903218807999	No	No
P01876	IGHA1	3.69023075349566	1.22130028275342e-13	No	No
P02461	COL3A1	5.11247756048773	1.95772750273654e-66	No	No
P02792	FTL	2.49408383109066	5.34924184387502e-06	No	No
P04279	SEMG1	2.2834558737209	1.10240457008046e-09	No	No
P07195	LDHB	2.39795866872512	3.9110274061818e-12	No	No
P13688	CEACAM1	3.133022982656	5.04767107810562e-13	No	No
P14061	HSD17B1	5.77399948547352	4.97332999593227e-29	No	No
P15884	TCF4	5.14866371485916	5.2616238580692003e-39	No	No
P21397	MAOA	2.05424799249807	0.0013106729861494	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	2.74556332201381	0.0040071205584945	No	No
P25311	AZGP1	2.94700412855185	4.3879719137901797e-41	No	No
P29966	MARCKS	3.01361282191357	4.818779229429691e-09	No	No
P30988	CALCR	2.49072357845557	2.53277040512595e-15	No	No
P31997	CEACAM8	3.04451598556442	8.62092860341916e-15	No	No
P42330	AKR1C3	2.6927789368488	5.70516959076956e-19	No	No
P43365	MAGEA12	2.35362746894174	1.81880690206602e-18	No	No
P47895	ALDH1A3	3.12529578320089	1.9892324553446798e-22	No	No
P51606	RENBP	5.02443483407143	4.69722842383069e-18	No	No
P52895	AKR1C2	2.05928650807506	1.96556367500643e-08	No	No
P54868	HMGCS2	2.08465502938191	1.10101213846209e-30	No	No
P78380	OLR1	2.50131237090698	5.7466240882111e-13	No	No
Q12794	HYAL1	2.31240379027402	1.77929157444577e-05	No	No
Q13753	LAMC2	2.06717702992266	7.90000582078538e-13	No	No
Q14956	GPNMB	2.00017279023509	2.7784831332513397e-12	No	No
Q16270	IGFBP7	2.78853638762159	5.18013294679165e-13	No	No
Q5SXH7	PLEKHS1	3.4860435313424	4.27412368130242e-12	No	No
Q5SZD4	GLYATL3	2.53914530764275	1.53252695947427e-10	No	No
Q6ZS11	RINL	2.02073870646599	6.41355347990042e-05	No	No
Q7Z3B1	NEGR1	2.70725005636141	6.999204157225139e-48	No	No
Q86TG7	PEG10	2.17319614312552	4.32007230250408e-34	No	No
Q8WW38	ZFPM2	2.13659347253485	3.55032863709938e-09	No	No
Q96GY0	ZC2HC1A	2.57402496954986	1.5315698476514598e-26	No	No
Q96NY7	CLIC6	2.68183453648901	6.58160861634518e-24	No	No
Q99608	NDN	3.72457779808434	3.86839893613508e-16	No	No
Q9BW04	SARG	2.39307118981896	5.25015728100207e-13	No	No
Q9C004	SPRY4	2.76143315757711	1.5049298065558601e-15	No	No
Q9HB63	NTN4	2.14892466516942	1.03810318012664e-05	No	No
Q9HD64	XAGE1B	2.86240764924073	2.37651679521609e-09	No	No
Q9UHE8	STEAP1	3.43851444786871	1.3982101125428301e-21	No	No
Q9UJC5	SH3BGRL2	2.42974456871537	4.9419997674810803e-14	No	No
Q9UKB3	DNAJC12	2.56881697308945	9.049691254309669e-11	No	No
Q9UKI2	CDC42EP3	3.36397187968483	8.75081189471474e-11	No	No
Q9UN76	SLC6A14	6.28700496248825	3.85919712822642e-17	No	No
A4D1S0	KLRG2	-4.10189217001285	5.26227735770819e-50	No	No
A8MTW9		-4.17943345415358	2.36576354054707e-14	No	No
O14684	PTGES	-2.51853175662746	1.7372415515974002e-26	No	No
O60879	DIAPH2	-3.45582778115772	3.1442773771171604e-14	No	No
O75452	RDH16	-3.45470298097087	7.84250990158387e-29	No	No
O94955	RHOBTB3	-2.13772593223412	8.594451308042851e-14	No	No
O95259	KCNH1	-2.2767444057135	1.98464391809826e-08	No	No
P00966	ASS1	-3.29939206346486	3.58169547195525e-55	No	No
P05091	ALDH2	-4.04564414501073	1.94327440713697e-46	No	No
P08842	STS	-2.86936069600793	3.9242677112415297e-22	No	No
P10636	MAPT	-3.49285894686301	2.25364402518153e-45	No	No
P15514	AREG	-3.44257713905227	3.10496549358964e-11	No	No
P17302	GJA1	-4.36165271424171	1.72792239878643e-38	No	No
P17600	SYN1	-2.32436829979479	2.5965127532594397e-26	No	No
P19544	WT1	-4.84053175754822	2.2888842524721202e-31	No	No
P21359	NF1	-5.85084586504134	1.02963897085322e-68	No	No
P23378	GLDC	-2.25529478283312	2.69200104588613e-40	No	No
P31274	HOXC9	-2.88607599912043	0.0010360786230856	No	No
P32004	L1CAM	-2.40371312447504	8.70993603516306e-41	No	No
P48061	CXCL12	-2.26675884098661	3.4981963059226503e-15	No	No
P48539	PCP4	-2.99423968227556	3.19476948251162e-17	No	No
P49006	MARCKSL1	-2.08630046728248	2.2175811213859197e-30	No	No
P49703	ARL4D	-2.17763069440058	3.02067858572241e-11	No	No
P52799	EFNB2	-2.61808736628814	1.24425838951914e-10	No	No
P52823	STC1	-2.01861227315443	3.08810406676953e-06	No	No
P53985	SLC16A1	-4.85242572840997	3.58275549342457e-30	No	No
P54764	EPHA4	-2.55551576281967	6.54997490101056e-27	No	No
P63096	GNAI1	-5.59775378056325	1.51076940930173e-40	No	No
Q01826	SATB1	-2.63649275815492	7.200534010050519e-55	No	No
Q13003	GRIK3	-5.53304415979811	1.04793141769699e-17	No	No
Q13636	RAB31	-2.33335144019535	2.77463809055315e-17	No	No
Q5T481	RBM20	-2.77399675215533	1.43005535976765e-13	No	No
Q5VX52	SPATA1	-3.77929153220188	3.19313892347394e-15	No	No
Q6QHC5	DEGS2	-2.18458195544261	1.74399970906534e-24	No	No
Q6UWI4	SHISA2	-3.31976374844828	2.67394077229199e-22	No	No
Q6UX71	PLXDC2	-2.1688226449353	1.5010841950880202e-19	No	No
Q6UXI9	NPNT	-2.24581905771613	7.78136935031981e-12	No	No
Q6ZNL6	FGD5	-9.29674500182094	5.72122847677918e-41	No	No
Q86UK0	ABCA12	-2.40759197796605	1.97620237916165e-27	No	No
Q86WV6	STING1	-2.39092633602762	5.6985791387194296e-11	No	No
Q86YD5	LDLRAD3	-2.04094322445345	7.85785320333615e-05	No	No
Q8TE58	ADAMTS15	-2.48251718907188	8.5120054545128e-23	No	No
Q8WWX9	SELENOM	-2.0900390986314	2.80962511786268e-26	No	No
Q92478	CLEC2B	-2.68381857502476	9.45723993599616e-06	No	No
