Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
P07476	IVL	2.21562127047818	2.61534088817207e-35	No	No
P0DPF2	NBPF20	2.09231359614657	3.54148712474097e-08	No	No
P12273	PIP	2.6404504882113	2.11874653010725e-29	No	No
P14061	HSD17B1	2.16111688286702	9.41613227955086e-13	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	2.77267380104541	0.0036898499074947	No	No
P40305	IFI27	2.21315930220394	6.81495102407607e-05	No	No
P61925	PKIA	3.87673655793761	0.0002657179677012	No	No
P98082	DAB2	2.02614991784	6.359585146897099e-12	No	No
Q00887	PSG9	2.60476405433703	2.78923453038324e-13	No	No
Q12794	HYAL1	2.13313148130027	6.00635166303858e-05	No	No
Q5JYT7	KIAA1755	3.48464358003239	0.0039056782062457	No	No
Q641Q3	METRNL	2.06623626407262	5.53626797997157e-12	No	No
Q6UWH6	TEX261	2.14099221395041	0.0008136117098862	No	No
Q6X9E4	FBXW12	2.31571833210104	3.69727569389763e-06	No	No
Q86SK9	SCD5	2.17563689877804	0.000258110548849	No	No
Q86VE0	MYPOP	2.06578838602494	0.0021817541390536	No	No
Q969W9	PMEPA1	2.11637069140284	1.2122306361765e-08	No	No
Q9BXI9	C1QTNF6	2.18501717763499	1.2963689460925401e-14	No	No
Q9Y2A9	B3GNT3	2.16927159027642	1.2360082927314e-06	No	No
O00458	IFRD1	-2.72224233419945	1.23070328489654e-11	No	No
Q01664	TFAP4	-2.38840415330487	1.2275018925777902e-09	No	No
Q15583	TGIF1	-2.30002719680789	4.006610862228e-09	No	No
