Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
O14967	CLGN	2.27467749054342	4.59158547567447e-24	No	No
O60259	KLK8	2.99533917606466	4.90686576983696e-06	No	No
P14061	HSD17B1	3.34070950054711	2.38125498698842e-19	No	No
P43357	MAGEA3	3.25980264055478	2.92510132717041e-28	No	No
P43360	MAGEA6	2.30429081250543	9.52697408163732e-12	No	No
P43365	MAGEA12	3.61204791502581	7.30042556634107e-26	No	No
P47712	PLA2G4A	2.30964320792611	4.47672092516243e-20	No	No
P78380	OLR1	2.61038591539255	1.47648922040056e-13	No	No
Q16270	IGFBP7	2.72260223471589	1.09455550051886e-12	No	No
Q16799	RTN1	3.2412214346094	0.0026184274880381	No	No
Q6UWH6	TEX261	2.01371212706621	0.0015234039800951	No	No
Q6UWP8	SBSN	2.13974521368579	2.7299923419036e-06	No	No
Q8NFX7	STXBP6	2.94362522210448	3.7284456588173203e-10	No	No
Q92478	CLEC2B	3.43604891727677	8.07493931288655e-08	No	No
Q99715	COL12A1	2.18556972193549	8.6543482412795e-42	No	No
A6NMX2	EIF4E1B	-2.12815118204098	1.9398178837448103e-15	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-2.18516617340511	8.996293749773669e-16	No	No
O75363	BCAS1	-3.35858046238288	2.93265696708914e-38	No	No
O75452	RDH16	-2.5186437939012	4.07701164719587e-23	No	No
O75781	PALM	-2.4626233780078	1.10159482879737e-23	No	No
O95528	SLC2A10	-2.12589446668753	1.00418158539804e-12	No	No
O95864	FADS2	-2.03673036989026	9.904065161907561e-19	No	No
P01033	TIMP1	-2.14859254689519	4.40904052696276e-12	No	No
P01920	HLA-DQB1	-2.39307850135149	2.82817479730134e-10	No	No
P02511	CRYAB	-2.62894529409147	1.44189998116738e-30	No	No
P04083	ANXA1	-3.16503790270754	1.42387250845148e-34	No	No
P06276	BCHE	-2.05490423063118	1.23261909187243e-06	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.33022620677125	1.27309219163092e-14	No	No
P0DTW1	GAGE1	-2.37280393624375	0.0001562971340754	No	No
P10636	MAPT	-2.62424567110633	8.21514310309728e-40	No	No
P12273	PIP	-3.34669249194136	7.319025669699769e-34	No	No
P15153	RAC2	-2.08712050967607	3.88942198337307e-27	No	No
P15328	FOLR1	-2.62886261173961	1.25605584747726e-37	No	No
P16070	CD44	-3.13423414332258	3.03020390723805e-26	No	No
P16219	ACADS	-2.88931144755462	2.48807703970827e-33	No	No
P17302	GJA1	-3.07927864922639	7.70593738657574e-32	No	No
P17600	SYN1	-2.26734096027539	7.32530390155866e-26	No	No
P17813	ENG	-2.02258456202358	2.69252307036002e-25	No	No
P25311	AZGP1	-2.13798646687069	6.683438049908911e-35	No	No
P29728	OAS2	-2.74198703925606	4.21138944567667e-15	No	No
P35568	IRS1	-3.49366578505985	9.80345743674234e-38	No	No
P42685	FRK	-2.07684660141007	1.03783710373187e-14	No	No
P52735	VAV2	-2.15184813271776	4.36732756636211e-40	No	No
P60484	PTEN	-4.47518486268033	2.06736937114212e-07	No	No
P63096	GNAI1	-2.34612299130748	3.28868399985508e-24	No	No
Q13069;Q13070	GAGE5;GAGE6	-2.51183658003195	2.17440698936622e-13	No	No
Q13469	NFATC2	-2.9864513466309	4.48952841312926e-35	No	No
Q13636	RAB31	-2.33508395178977	2.7006978193297998e-17	No	No
Q13671	RIN1	-2.05363462831323	2.47958332634815e-23	No	No
Q16555	DPYSL2	-2.6101473926205	1.53671546333243e-39	No	No
Q18PE1	DOK7	-3.2820523253782	7.25150059560078e-23	No	No
Q53FZ2	ACSM3	-2.62319494068643	1.84765328470164e-11	No	No
Q58DX5	NAALADL2	-2.19864310291258	2.63744805902652e-18	No	No
Q5SRE7	PHYHD1	-2.52924556516938	5.3187794329301205e-14	No	No
Q5T2W1	PDZK1	-3.16679227157135	8.93452769276995e-45	No	No
Q6UWI4	SHISA2	-2.68893607091494	9.669488290873199e-19	No	No
