Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
O60259	KLK8	2.07138319784009	0.0008248703218872	No	No
P01876	IGHA1	3.24802094028686	6.49095334719238e-12	No	No
P14061	HSD17B1	2.35446476640635	6.097359520724321e-14	No	No
P15884	TCF4	4.55570962634475	1.1973422469807899e-36	No	No
P43357	MAGEA3	3.2360695776872	3.9895648474645697e-28	No	No
P43360	MAGEA6	2.28055774963785	1.2929294835764699e-11	No	No
P43365	MAGEA12	3.58831485215823	9.60670016329547e-26	No	No
P47712	PLA2G4A	3.17023139497617	1.31797774872867e-25	No	No
P78380	OLR1	2.77209487945047	2.05709488780741e-14	No	No
Q16270	IGFBP7	2.71815284656806	1.1515121233828799e-12	No	No
Q92478	CLEC2B	3.13756546089922	5.4298192759896e-07	No	No
Q96GT9	XAGE2	2.03132265395196	0.0005126483425892	No	No
Q9C026	TRIM9	2.03829663911036	3.26932820017518e-15	No	No
Q9H4F8	SMOC1	2.09881640265555	7.30018646720809e-07	No	No
A1L170	C1orf226	-2.07595847762192	1.83584777558614e-26	No	No
A6NMX2	EIF4E1B	-2.32402707880374	8.720114615768461e-17	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	-2.0694228445867	5.86193544428599e-15	No	No
O43795	MYO1B	-2.16981470892538	1.84991251486895e-41	No	No
O75363	BCAS1	-3.26094355203205	1.0860384771014701e-37	No	No
O75452	RDH16	-2.95960917527827	5.37096439688833e-26	No	No
O75462	CRLF1	-2.13826176087172	7.05523236661897e-08	No	No
O75781	PALM	-2.25044977436745	4.16561966342905e-22	No	No
O76070	SNCG	-2.08093052220043	6.534194390822499e-35	No	No
O95398	RAPGEF3	-2.11468856011092	2.20497091132404e-05	No	No
P01033	TIMP1	-2.05320017705256	1.6959226599960003e-11	No	No
P01920	HLA-DQB1	-2.21407263269654	2.1737294964855304e-09	No	No
P02511	CRYAB	-2.807352215947	8.41965661665544e-32	No	No
P04083	ANXA1	-2.92578400682477	4.4486847110036595e-33	No	No
P04798	CYP1A1	-2.06766377536702	1.15533922044002e-06	No	No
P05362	ICAM1	-2.17865336422239	2.84549570866379e-17	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.14624194682538	1.8976194425660499e-13	No	No
P10636	MAPT	-2.31576353816015	2.13012063395693e-37	No	No
P12273	PIP	-2.06946161061247	6.056021772530251e-25	No	No
P13284	IFI30	-2.01038552920787	2.38616521144609e-20	No	No
P15153	RAC2	-2.72647874842855	4.13996454892572e-32	No	No
P15328	FOLR1	-3.03241126525689	2.18767858452604e-40	No	No
