Protein_Group	Genes	T47D _250nM Palbo_vs_T47D _Non Treated_logFC	T47D _250nM Palbo_vs_T47D _Non Treated_pval	Removed?	Contaminant?
A6NCQ9	RNF222	2.80956737586957	1.24340677694437e-06	No	No
O60259	KLK8	2.10018390482644	0.0007107421860343	No	No
P43357	MAGEA3	2.04318350159706	5.45608219979112e-20	No	No
Q3SY77	UGT3A2	2.00757008651591	1.47110271230485e-05	No	No
Q8TE85	GRHL3	2.03427714723482	0.0023335021055912	No	No
A8MYB1	TMCO5B	-2.29469047921036	0.0033053947722054	No	No
P35638	DDIT3	-3.11361226947559	5.488376985254151e-20	No	No
P61812	TGFB2	-2.27804972081824	0.0001335695637393	No	No
P61925	PKIA	-3.37895549651917	0.0012321218545204	No	No
Q01664	TFAP4	-2.19267428652889	1.03398980571392e-08	No	No
Q8WUB2	FAM216A	-2.22763302878978	0.0006947613953883	No	No
Q92837	FRAT1	-2.32695076497221	2.27931728893241e-06	No	No
Q96RU7	TRIB3	-2.70377648288158	9.0299835805856e-12	No	No
Q9BZM6	ULBP1	-2.11467770406078	8.80810316726228e-06	No	No
