Protein_Group	Genes	T47D_A_250nM Palbo_vs_T47D_A_Non Treated_logFC	T47D_A_250nM Palbo_vs_T47D_A_Non Treated_pval	Removed?	Contaminant?
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	2.59072245112103	0.0001073709986328	No	No
P01135	TGFA	2.95071499894272	2.72416193764146e-08	No	No
P48594	SERPINB4	4.69613850048832	2.62265013293269e-06	No	No
Q01469	FABP5	3.20834918890356	0.0013993169167716	No	No
Q53RT3	ASPRV1	5.63436920209547	1.48995497825423e-11	No	No
Q5D862	FLG2	2.3073261285429	0.0001030787906114	No	No
Q5H9U9	DDX60L	2.11619499210241	0.0004571150571873	No	No
Q6NT76	HMBOX1	2.00393332541745	1.27454664470154e-08	No	No
Q96GM1	PLPPR2	2.15985157388616	2.39678999015369e-06	No	No
Q96QA5	GSDMA	2.2919101752688	0.0004243466889718	No	No
Q9NZT1	CALML5	3.05781867266352	0.0008567755551042	No	No
P00326	ADH1C	-2.53029572415869	0.0018215894107538	No	No
