Protein_Group	Genes	T47D_A_Non Treated_vs_T47D _Non Treated_logFC	T47D_A_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
O14879	IFIT3	2.08105949431555	2.99128071421674e-10	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.07052244186102	7.66968977346779e-25	No	No
P00973	OAS1	2.20088078149197	3.49994978838945e-09	No	No
P05161	ISG15	3.10649183040888	8.67267015008041e-33	No	No
P09913	IFIT2	2.07153057382635	6.67508842519855e-08	No	No
P09914	IFIT1	2.13708516315963	6.64538911470444e-19	No	No
P0DTW1	GAGE1	5.20646096180419	9.77588132784636e-12	No	No
P16671	CD36	2.42110915657556	8.79484997587225e-11	No	No
P20591	MX1	3.83191794519915	1.2664984682401099e-30	No	No
P29728	OAS2	3.10171612661163	5.52966661264114e-17	No	No
P29966	MARCKS	3.55943386043941	5.85052565099853e-11	No	No
P31513	FMO3	2.39856049068683	1.38938219858983e-13	No	No
P34741	SDC2	2.03535148360119	8.811021191845361e-35	No	No
P43357	MAGEA3	3.97002791143749	6.11301209653172e-32	No	No
P43365	MAGEA12	2.71694097398578	7.44391770784562e-21	No	No
P51161	FABP6	2.39257039838601	2.18017179095615e-07	No	No
P51606	RENBP	2.50351570800561	1.12811748848529e-08	No	No
P54108	CRISP3	2.61945295189768	8.676947099949111e-14	No	No
P54868	HMGCS2	3.67303374186938	1.5895431784868e-41	No	No
P55809	OXCT1	3.25603218556396	3.75425764490085e-19	No	No
Q00534	CDK6	2.00076147361482	1.77531640503546e-18	No	No
Q03167	TGFBR3	2.43075047931295	1.7093713813632401e-10	No	No
Q13066	GAGE2C	2.6189565603762	9.04423083054424e-19	No	No
Q13069;Q13070	GAGE5;GAGE6	3.35083326959393	1.0434038673626e-17	No	No
Q14894	CRYM	3.1207864139319	3.7715608225989e-11	No	No
Q15646	OASL	2.08705349045227	8.89095058868895e-22	No	No
Q16385	SSX2B	3.79226249267263	4.98019274178166e-12	No	No
Q5EBM0	CMPK2	2.24873079947605	5.89728664760279e-08	No	No
Q687X5	STEAP4	2.78335534081054	5.469753874350921e-10	No	No
Q86X51	EZHIP	2.13673307307616	1.2688398114803e-14	No	No
Q8NFX7	STXBP6	3.6201054696796	9.17882554110325e-13	No	No
Q96GY0	ZC2HC1A	4.08424908745099	3.48463253419003e-35	No	No
Q99608	NDN	4.57277102944242	2.0475855873984701e-19	No	No
Q9BX66	SORBS1	2.0395484350037	3.32007181474239e-24	No	No
Q9H568	ACTL8	2.22732232009397	3.52678303649067e-13	No	No
Q9NRN5	OLFML3	3.47949338977661	3.58479202000376e-47	No	No
Q9P291	ARMCX1	2.02140143834819	2.16735721039912e-17	No	No
Q9UHE8	STEAP1	3.12582345224736	5.803801007108441e-20	No	No
Q9UII4	HERC5	2.1773078276845	8.9012166451779e-13	No	No
Q9UMW8	USP18	2.15377058390805	1.0182923446069e-09	No	No
Q9UQV4	LAMP3	2.76824726148955	1.67486749732851e-18	No	No
Q9Y6M1	IGF2BP2	2.30983993341153	9.2596182412853e-42	No	No
O95848	NUDT14	-2.08871125049849	1.98012115558464e-06	No	No
P05091	ALDH2	-2.04696334682744	2.8499940815448198e-33	No	No
P0DPF2	NBPF20	-2.17997997780998	1.36338688723178e-08	No	No
P12429	ANXA3	-2.08237424547887	6.72618771310055e-30	No	No
P43121	MCAM	-2.18014089826391	1.6136213464099601e-21	No	No
P43353	ALDH3B1	-2.05697940695348	6.50780005161865e-34	No	No
Q05682	CALD1	-2.15664795702794	1.33998736069433e-34	No	No
Q5SRE7	PHYHD1	-4.34408160071343	1.13116314926529e-22	No	No
Q5T2W1	PDZK1	-3.20678777733962	5.0826361614513e-45	No	No
Q5T481	RBM20	-2.34741345588529	2.3829375872530697e-11	No	No
Q6NT55	CYP4F22	-2.33491657658975	1.23677403023414e-06	No	No
Q6UX71	PLXDC2	-2.33468502388385	8.67873508526536e-21	No	No
Q6ZNL6	FGD5	-3.13764153376483	8.11745991110473e-21	No	No
Q6ZS11	RINL	-2.39295443757261	4.385724017896e-06	No	No
Q8NDN9	RCBTB1	-2.10525713465594	4.04656531050234e-09	No	No
Q8TDZ2	MICAL1	-2.24392882217699	1.0799416300429501e-19	No	No
Q8WTP8	AEN	-2.91647974283572	0.0001091176729425	No	No
Q8WWZ3	EDARADD	-2.51405313938778	2.04300513863591e-15	No	No
Q96DX5	ASB9	-4.07845402102112	3.27088279800261e-12	No	No
Q96M32	AK7	-2.22531855018723	7.91347196103178e-08	No	No
Q9H3G5	CPVL	-2.36636221486386	9.60377394122523e-29	No	No
Q9H898	ZMAT4	-2.76882991488536	2.34740411802898e-10	No	No
Q9Y2J2	EPB41L3	-2.15222262015571	3.22136466060483e-13	No	No
