Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
O00499	BIN1	2.01624663503021	3.12526632662621e-09	No	No
O00534	VWA5A	2.0643249481989	2.33112317190802e-13	No	No
O14879	IFIT3	2.48782663518982	1.71250223152159e-12	No	No
O75452	RDH16	2.19120371209528	1.0368673172871501e-20	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	2.53260119501231	1.6405845945068e-28	No	No
P00973	OAS1	2.34875696234832	6.590575718768201e-10	No	No
P05109	S100A8	2.53840263716597	5.83448571139821e-05	No	No
P05161	ISG15	3.45040371371639	8.74636611201603e-35	No	No
P06702	S100A9	2.19710440700295	0.0005917667994066	No	No
P09913	IFIT2	2.39312091783951	2.1585680443546103e-09	No	No
P09914	IFIT1	2.5821391463507	4.25409976254468e-22	No	No
P0DTW1	GAGE1	3.08005778421905	2.73893137734342e-06	No	No
P16671	CD36	3.96690018573587	8.438044245708379e-18	No	No
P20337	RAB3B	2.14476571576485	3.33372437527171e-07	No	No
P20591	MX1	4.14209615242681	4.35396544118729e-32	No	No
P29728	OAS2	3.24831110796364	1.02758770233236e-17	No	No
P29966	MARCKS	2.72269746788979	5.25790231341497e-08	No	No
P31513	FMO3	2.62419864283373	7.091233258496081e-15	No	No
P43357	MAGEA3	3.55136629401597	7.5282937592456e-30	No	No
P43365	MAGEA12	2.726775361478	6.46175152916739e-21	No	No
P50135	HNMT	3.03779504910936	2.7354593927649103e-15	No	No
P51161	FABP6	2.97854643020787	1.2982960867917702e-09	No	No
P51513	NOVA1	2.25933176966492	1.4807378426177e-05	No	No
P51606	RENBP	2.58900951945939	4.99427208130203e-09	No	No
P54868	HMGCS2	5.03046154977189	1.16458008212084e-47	No	No
P55809	OXCT1	3.22672824136774	5.28816652760544e-19	No	No
Q00534	CDK6	2.12290389644212	1.88998552572216e-19	No	No
Q03167	TGFBR3	2.02726389016579	1.74709266784997e-08	No	No
Q13066	GAGE2C	2.84835630536798	3.66592029949728e-20	No	No
Q13069;Q13070	GAGE5;GAGE6	3.82403109094357	7.22343100449781e-20	No	No
Q14894	CRYM	3.97639048485485	2.03995578106449e-14	No	No
Q15646	OASL	2.22572772182523	6.77308901035318e-23	No	No
Q16385	SSX2B	2.31925670313792	9.61832766709998e-07	No	No
Q58EX7	PLEKHG4	2.28848703468366	4.23083528044317e-13	No	No
