Protein_Group	Genes	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_logFC	TP53_sg_1.2_3_250nM Palbo_vs_TP53_sg_1.2_3_Non Treated_pval	Removed?	Contaminant?
P12273	PIP	2.44387368121037	5.72752700017179e-28	No	No
P61812	TGFB2	2.15784906995266	0.0002666313956544	No	No
Q00887	PSG9	2.37562359440573	4.83321045776281e-12	No	No
Q53GG5	PDLIM3	2.62460077291865	6.79172306300231e-10	No	No
Q687X5	STEAP4	3.86080586709256	3.03971483688362e-14	No	No
Q6DN03;Q6DRA6	H2BC20P;H2BC19P	2.32820279393163	0.0008143867164106	No	No
Q6T310	RASL11A	2.36496099063396	1.47659021940992e-14	No	No
Q8IXH6	TP53INP2	3.47948271240159	2.61928563275776e-05	No	No
Q8N3V7	SYNPO	2.12548474838938	2.00167837533682e-06	No	No
Q96DX5	ASB9	2.06189218445405	2.09838473807402e-05	No	No
Q99574	SERPINI1	2.31182083959609	1.28843795003425e-27	No	No
Q9BZD2	SLC29A3	2.05558801344441	4.96722094648009e-09	No	No
Q9NR34	MAN1C1	3.33575811510873	8.85696733511181e-12	No	No
Q9UHW9	SLC12A6	2.02848747070401	1.0015483118795e-14	No	No
A8MPP1	DDX11L8	-2.05979255347457	1.43451182082289e-19	No	No
O14777	NDC80	-2.02616637579045	1.24006310720665e-31	No	No
O15350	TP73	-2.11056722062997	2.32674471049484e-19	No	No
O15392	BIRC5	-2.10288739376112	6.23295657488948e-11	No	No
O95235	KIF20A	-2.23202695430163	2.47368625064974e-29	No	No
O95239	KIF4A	-2.36234590490254	3.08921733319598e-43	No	No
P00374	DHFR	-2.12281320526221	1.5407251058381099e-34	No	No
P04818	TYMS	-2.87244443580779	1.1778423068017098e-22	No	No
P14635	CCNB1	-2.01080168199522	4.0401130074640604e-23	No	No
P46013	MKI67	-2.01699741836194	1.0275034118810698e-36	No	No
P59796	GPX6	-2.54652919928685	1.6524293129520498e-12	No	No
P61925	PKIA	-4.98607112559542	6.74135249710542e-06	No	No
Q12834	CDC20	-2.00495091103049	1.17036770260199e-23	No	No
Q14674	ESPL1	-2.08797427936737	9.941413206999151e-25	No	No
Q14807	KIF22	-2.3094232864567	1.81828865951685e-33	No	No
Q15004	PCLAF	-2.33724211375751	9.34290322704664e-22	No	No
Q53HL2	CDCA8	-2.07095346122077	1.19450634709151e-21	No	No
Q7L266	ASRGL1	-2.90013030256676	1.4845986271342698e-11	No	No
Q86VI3	IQGAP3	-2.33206567391405	1.44047516952239e-28	No	No
Q86Y91	KIF18B	-2.00202966217601	1.57542449446428e-14	No	No
Q8IYA6	CKAP2L	-2.14694005139039	3.7133721718964003e-16	No	No
Q8NBT2	SPC24	-2.22004286009562	2.37577238570897e-30	No	No
Q8NCD3	HJURP	-2.11854375733788	1.1574025965798699e-12	No	No
Q8NFX7	STXBP6	-2.03094996406528	1.73381972383152e-06	No	No
Q96FF9	CDCA5	-2.2523714272079	2.41274177765342e-23	No	No
Q96GD4	AURKB	-2.14100077990842	1.04676560365576e-28	No	No
Q96KB5	PBK	-2.31981688761314	4.83038753736495e-34	No	No
Q96R06	SPAG5	-2.00714806561422	5.7593945372078e-35	No	No
Q96T88	UHRF1	-2.07759011293563	1.31757991552973e-37	No	No
Q9BXS6	NUSAP1	-2.04335329875955	3.3771505933618298e-28	No	No
Q9BZD4	NUF2	-2.09570382315967	8.59239255639736e-28	No	No
Q9H967	WDR76	-2.17013473870762	9.0177054086631e-30	No	No
Q9HB15	KCNK12	-3.52224844598749	2.26341979816642e-10	No	No
Q9HBM1	SPC25	-2.43123268139078	1.1704354894212e-26	No	No
Q9NPD8	UBE2T	-2.09215194074066	6.547072282227529e-30	No	No
Q9NQS7	INCENP	-2.03685619875104	2.59762924805321e-29	No	No
Q9NVI1	FANCI	-2.07134757770397	1.92286856856192e-41	No	No
Q9P2W1	PSMC3IP	-2.44205523521812	1.39463261583274e-13	No	No
Q9Y448	KNSTRN	-2.0396532190406	1.39031696256763e-24	No	No
