Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A4D1S0	KLRG2	2.5303796585522	1.41527286295963e-40	No	No
P02511	CRYAB	2.61784327609118	1.7304836332079e-30	No	No
P04216	THY1	4.34164545672317	5.407757975586441e-25	No	No
P08913	ADRA2A	2.1140186904055	9.82001461943867e-06	No	No
P22676	CALB2	2.32894154897717	4.82265742855708e-06	No	No
P24298	GPT	2.1223953598508	3.0140311836117e-09	No	No
P26447	S100A4	2.4655614920385	1.3297320189054e-25	No	No
P30874	SSTR2	2.10852820247047	5.25441202702723e-06	No	No
P50226	SULT1A2	2.21074345898777	2.20829583652079e-22	No	No
P80365	HSD11B2	2.60017181836892	4.0439544833709904e-24	No	No
Q03167	TGFBR3	2.99353198875978	3.56380982261131e-13	No	No
Q08462	ADCY2	2.03577001259749	0.0004875201956307	No	No
Q16719	KYNU	2.01902352886296	1.18764155362095e-40	No	No
Q6MZZ7	CAPN13	3.05875363092409	1.24825534130193e-07	No	No
Q7Z7D3	VTCN1	2.92616113083869	2.00663810878211e-36	No	No
Q7Z7K6	CENPV	2.13792622146064	4.8450691677804495e-11	No	No
Q8TE58	ADAMTS15	2.22161813259953	7.01487286402574e-21	No	No
Q8WUP2	FBLIM1	2.10030919891102	2.6108005651105203e-25	No	No
Q8WX94	NLRP7	2.09063351476728	4.27103567543733e-05	No	No
Q96L08	SUSD3	2.30304084507966	1.17151025832435e-08	No	No
Q9BUX1	CHAC1	2.69163645334598	0.0046278926103723	No	No
Q9H898	ZMAT4	2.00403347183517	4.92429420933684e-07	No	No
Q9HD64	XAGE1B	2.32115636933234	2.92805236676831e-07	No	No
Q9P212	PLCE1	2.65662462222027	3.0544223214129997e-24	No	No
Q9UPQ0	LIMCH1	2.56954836334141	3.58513253992501e-38	No	No
A6NDB9	PALM3	-2.11211331629805	4.32034687341725e-17	No	No
