Protein_Group	Genes	LV_Mouse_Plasma_50_ul_vs_Mouse_Plasma_logFC	LV_Mouse_Plasma_50_ul_vs_Mouse_Plasma_pval	Removed?	Contaminant?
A2AAJ9	Obscn	5.19937761350144	0.0031772748175749	No	No
B0V2N1	Ptprs	4.98982915232815	5.19026073635196e-06	No	No
B2RU80	Ptprb	3.84292439361645	0.0021487130183571	No	No
B2RX70	Cped1	3.56835680154808	0.0059962937332071	No	No
B8JK39	Itga9	4.93138643768622	0.0027914404602078	No	No
E9Q0B5	Fcgbp	5.10500125089569	1.06851234771553e-10	No	No
F8VPK0	Ttc37	4.90701170091969	0.0008376171471849	No	No
O09043	Napsa	4.32126766908386	2.67461486960976e-06	No	No
O09046	Il4i1	4.87280692527648	3.70305015795923e-08	No	No
O09159	Man2b1	4.63538590938301	0.0007004391517266	No	No
O35423	Agxt	4.98859119044925	3.44222815817034e-08	No	No
O35453	Hpn	3.99436477936537	0.0003827473541582	No	No
O35945	Aldh1a7	5.0945575242573	0.0020572402739082	No	No
O88428	Papss2	4.4603812369248	1.01209016202445e-05	No	No
O88845	Akap10	4.11214381745956	0.00668403429665	No	No
P06281	Ren1	5.940200323157	9.08039167575033e-05	No	No
P06801	Me1	3.64413785120632	3.99284206704613e-06	No	No
P06869	Plau	3.65889276853024	5.2614894962576e-09	No	No
P08121	Col3a1	6.20537022218049	6.19109119138122e-08	No	No
P11247	Mpo	4.2993594454411	9.19372141399273e-13	No	No
P12804	Fgl2	4.77246685814752	0.0096601945657315	No	No
P13439	Umps	3.62541958723495	6.10522927673774e-06	No	No
P14733	Lmnb1	5.14533001553612	8.62417807762339e-05	No	No
P16331	Pah	4.96113023871765	3.39339037541493e-06	No	No
P16675	Ctsa	4.16331754763403	1.90727631510096e-05	No	No
P20060	Hexb	3.65852516254181	4.90918498396265e-07	No	No
P26928	Mst1	4.62348736301757	3.2068306778687804e-14	No	No
P28271	Aco1	3.73599893502299	2.8632010176913003e-10	No	No
P35230	Reg3b	6.79302628724851	8.1146559096386e-08	No	No
P43883	Plin2	3.92348690850668	0.0006305460499189	No	No
P48453	Ppp3cb	3.70724897195045	0.0065966542121399	No	No
P49429	Hpd	4.26561776998186	0.0001669614222156	No	No
P49935	Ctsh	4.41849985413727	0.001566761936756	No	No
