Protein_Group	Genes	MM1S_CM-3264_vs_MM1S_DMSO_logFC	MM1S_CM-3264_vs_MM1S_DMSO_pval	Removed?	Contaminant?
O14684	PTGES	3.45825429177922	0.0023322895886142	No	No
O15394	NCAM2	2.42136125138179	0.0010312772256702	No	No
O43283	MAP3K13	3.82834735920844	0.0010257491504828	No	No
O60239	SH3BP5	3.76511640516779	2.9187295264288e-08	No	No
P35609	ACTN2	3.40984694558676	0.0024100505794232	No	No
P48595	SERPINB10	4.27853964180125	0.0070389589097362	No	No
Q03938	ZNF90	6.06394335533801	6.1090972573027e-05	No	No
Q12840	KIF5A	3.01335994903366	0.0003228844706341	No	No
Q16206	ENOX2	2.16538551518795	0.0091378664537712	No	No
Q569K4	ZNF385B	3.97367476090884	0.0025258085087261	No	No
Q60I27	ALS2CL	2.08335267034848	0.0009555738886768	No	No
Q68DY9	ZNF772	4.23957290764977	8.15957557618913e-06	No	No
Q6IQ20	NAPEPLD	7.34566231608695	0.0007604575920603	No	No
Q7Z3E1	TIPARP	3.63737049928111	0.0009538633092724	No	No
Q7Z3S9;P0DPK3;P0DPK4	NOTCH2NLA;NOTCH2NLB;NOTCH2NLC	5.66017704531935	0.0022081899983864	No	No
Q7Z698	SPRED2	4.30433394805653	3.6582198597382e-06	No	No
Q86SG5	S100A7A	4.92666104551919	5.91675820086283e-06	No	No
Q86SG6	NEK8	2.60346472330308	0.0038901747695281	No	No
Q8N370	SLC43A2	1.76716205288166	0.0036868345016446	No	No
Q8N4S9	MARVELD2	2.87856121744214	0.0008536924619693	No	No
Q8TDR4	TCP10L	2.84575845919551	6.78172395125567e-15	No	No
Q92876	KLK6	4.23995646463115	3.30602779171935e-07	No	No
Q93099	HGD	3.2293915606406	7.287976263930819e-11	No	No
Q96AA8	JAKMIP2	2.64300671629489	0.002462778663418	No	No
Q99685	MGLL	2.25925105710026	3.9080102635653995e-12	No	No
Q99935	OPRPN	2.00344691249514	0.0028736839059225	No	No
Q9HA72	CALHM2	1.71633000070063	0.0097633980644136	No	No
Q9NWM0	SMOX	2.66763642771338	0.0053420436822349	No	No
Q9NX36	DNAJC28	5.46932353532684	0.000315795050989	No	No
Q9P0M6	MACROH2A2	1.8000195248144	0.000827427713806	No	No
B4DX44	ZNF736	-2.45490791403419	1.83721017901737e-15	No	No
O15165	LDLRAD4	-1.70894547989504	0.0031738740758058	No	No
O94955	RHOBTB3	-3.96727039467037	0.0001179438282049	No	No
O95294	RASAL1	-4.18650622774081	0.0025038525790059	No	No
P06276	BCHE	-3.4240540983666	3.59993021616179e-05	No	No
P22607	FGFR3	-3.60933111638179	1.61534396172585e-05	No	No
P35443	THBS4	-3.6419410297725	0.0003911594019629	No	No
P51511	MMP15	-1.88553714186942	0.0051487012739103	No	No
P62633	CNBP	-2.71551293133821	0.002712760925527	No	No
Q08495	DMTN	-3.11714396443404	1.80428622938522e-08	No	No
Q13422	IKZF1	-1.85720657722822	0.000109123735489	No	No
Q15464	SHB	-4.40905066132908	0.0001578915063131	No	No
Q5JVG2	ZNF484	-5.09720799559995	0.0004554962839786	No	No
Q5TGY3	AHDC1	-2.24995795212945	0.0004818625847949	No	No
Q6IQ26	DENND5A	-3.72497756947192	0.000770923680929	No	No
Q86V15	CASZ1	-3.89643458369223	0.005266579721797	No	No
Q86VK4	ZNF410	-1.81544090181541	2.89722845136117e-05	No	No
Q8IV03	LURAP1L	-3.02424729081255	0.0020361081426063	No	No
Q8IYT8	ULK2	-4.37934584085633	0.0005381527780043	No	No
Q8N141	ZFP82	-3.79054788787422	2.6340146146330102e-09	No	No
Q8N554	ZNF276	-1.94015036448105	2.54556173283879e-05	No	No
Q8N5C7	DTWD1	-1.92152355882433	3.40409215926376e-06	No	No
Q8NAB2	KBTBD3	-2.6272517769659	0.0014931882095933	No	No
Q8NB66	UNC13C	-3.59763873998094	0.0040124265647479	No	No
Q8NEP9	ZNF555	-6.13095915427205	0.0006860330080441	No	No
Q8TAD2	IL17D	-4.68354157441083	2.53745789196686e-08	No	No
Q8TF74	WIPF2	-2.07406213395366	0.0009075816238145	No	No
Q8WWX9	SELENOM	-3.33338175638972	0.0039825119384183	No	No
Q8WZ19	KCTD13	-3.03037464845123	0.0083918614151665	No	No
Q92743	HTRA1	-2.35106618917628	0.0089073011201035	No	No
Q92954	PRG4	-2.35386356523997	6.02117803698048e-05	No	No
Q96CK0	ZNF653	-3.46092094433136	0.0002096585501998	No	No
Q96JP5	ZFP91	-2.74187083359833	2.3290537660194e-07	No	No
Q96QD5	DEPDC7	-3.55851840767195	2.08206109540714e-13	No	No
Q9BU19	ZNF692	-3.82863965979197	0.0017185181382273	No	No
Q9BWT3	PAPOLG	-1.68041216726504	0.0059016338232935	No	No
Q9C010	PKIB	-2.86142054497078	4.58818028958005e-05	No	No
Q9GZM7	TINAGL1	-1.78712165639969	0.0090491913679206	No	No
Q9H479	FN3K	-3.73030121402983	0.0033284319806815	No	No
Q9HCM7	FBRSL1	-2.3059636473952	0.0081960983208997	No	No
Q9NYQ7	CELSR3	-4.52341183883333	0.006720466041468	No	No
Q9UKT9	IKZF3	-2.03199908585529	3.36374225968484e-10	No	No
