Protein_Group	Genes	KMS-11_CM-272_vs_KMS-11_DMSO_logFC	KMS-11_CM-272_vs_KMS-11_DMSO_pval	Removed?	Contaminant?
A6NKT7	RGPD3	2.19337533074697	0.0012016153729806	No	No
O15535	ZSCAN9	3.16504963889801	0.0005898172691968	No	No
O95995	GAS8	3.57324794546578	0.0048005325759306	No	No
P01036	CST4	6.05427277957619	3.77325284990055e-05	No	No
P20929	NEB	5.06342881045434	0.0048469542423283	No	No
P23280	CA6	5.50150061856751	2.69029107069895e-06	No	No
P35321	SPRR1A	6.28114207479615	1.2492642574886e-11	No	No
P48775	TDO2	1.70761471582557	0.0067728327090114	No	No
P50135	HNMT	2.22864538228993	0.0045135064986896	No	No
Q13588	GRAP	1.84887806125679	0.000729337008868	No	No
Q15124	PGM5	2.19550984221302	0.0017510219645533	No	No
Q3B820	FAM161A	2.08388105161145	0.0097802594078684	No	No
Q53LP3	SOWAHC	1.8375496096394	0.0007420923940581	No	No
Q5TYW1	ZNF658	1.76329792985346	4.08424895079598e-05	No	No
Q5VWQ8	DAB2IP	3.10127634527885	0.0048008206737307	No	No
Q63HM1	AFMID	2.27339283292184	0.0007738828699708	No	No
Q68CR1	SEL1L3	2.60553577647426	0.0018163049969866	No	No
Q6IS24	GALNT17	1.61321192243479	0.0019287045738063	No	No
Q6NUP7	PPP4R4	2.43252169934535	0.0045621970385021	No	No
Q6P161	MRPL54	2.3501469231118	0.0012745032290978	No	No
Q6UWH6	TEX261	3.46493419036306	0.0029880626736032	No	No
Q8TAX7	MUC7	4.04938743133934	0.0001563381495251	No	No
Q8WV19	SFT2D1	2.9538897173117	2.94712244547267e-07	No	No
Q8WWZ8	OIT3	5.34770225486035	1.76223232514807e-12	No	No
Q96FA3	PELI1	1.95814625592811	0.004033954017127	No	No
Q96N20	ZNF75A	2.04926960028203	0.0081949760518808	No	No
Q96SK3	ZNF607	4.1559628156589	0.0001676282831968	No	No
Q9BRR0	ZKSCAN3	4.92501786454211	0.0015074750373669	No	No
Q9C099	LRRCC1	2.63589929073704	0.0022534622672633	No	No
Q9NR55	BATF3	1.69271925251165	0.0048342542973631	No	No
Q9UGM3	DMBT1	6.40759485250717	5.60595111666374e-05	No	No
Q9ULD6	INTU	1.84863015053703	2.62367751049921e-05	No	No
F5H4A9	C3orf80	-2.11040410617417	0.0035376605543805	No	No
O15492	RGS16	-2.53767525140081	0.0016642196266413	No	No
O60548	FOXD2	-4.59375702978261	8.70063364546938e-06	No	No
P08247	SYP	-4.2055782773466	8.70167260519851e-12	No	No
P16870	CPE	-2.94112306758966	0.0035361465577336	No	No
P17600	SYN1	-1.8915093514018	0.0021431775168506	No	No
P19526	FUT1	-3.68292597014711	1.34753064587786e-05	No	No
P57078	RIPK4	-1.81251734900521	0.001791668203419	No	No
Q02383	SEMG2	-4.30984440837301	0.0049884604427186	No	No
Q06828	FMOD	-4.8821292252136	0.0002210462285509	No	No
Q08AI8	MAB21L4	-4.28544115929693	0.0009989226603249	No	No
Q14587	ZNF268	-1.80863412102686	0.0047307706149287	No	No
Q49AJ0	FAM135B	-2.89945409333544	0.006682065865144	No	No
Q5HY92	FIGN	-3.20246998288196	0.0014448509546234	No	No
Q5T890	ERCC6L2	-4.1219434645612	0.0021843999297172	No	No
Q5TB30	DEPDC1	-2.18877667263489	0.0092853712639073	No	No
Q68EA5	ZNF57	-2.83442423761476	8.071829924081241e-10	No	No
Q6IV72	ZNF425	-3.65260219166895	0.0025478507796491	No	No
Q86WI3	NLRC5	-4.47368569712544	0.0041935700329994	No	No
Q86X40	LRRC28	-4.26698041653083	0.0098800226525085	No	No
Q8N3J9	ZNF664	-3.34470591658162	0.0026123993893215	No	No
Q8N7C3	TRIML2	-5.93011572625589	2.54380191486408e-21	No	No
Q8NE22	SETD9	-1.77093040596382	0.004894893753081	No	No
Q8WXR4	MYO3B	-1.67843566756937	0.0010892895541551	No	No
Q96AP7	ESAM	-3.2761791660235	4.40537611496124e-05	No	No
Q96AQ1	CCDC74A	-3.32630090840418	2.61738458122149e-07	No	No
Q96EY9	ADAT3	-1.70660706850788	0.009111205010274	No	No
Q96FX8	PERP	-2.95694439699734	7.83810546935752e-06	No	No
Q96MT3	PRICKLE1	-6.56950360879244	0.0001170733647355	No	No
Q9C0K7	STRADB	-3.28159700206892	0.0017552976074075	No	No
Q9HA90	EFCC1	-4.55107505367317	0.0093712526661564	No	No
Q9HCJ2	LRRC4C	-1.80320529311284	0.0043484093697938	No	No
Q9HCM9	TRIM39	-3.01621686722683	0.0005300452018056	No	No
Q9HCU9	BRMS1	-3.3809885466755	0.0059886182359148	No	No
Q9P241	ATP10D	-4.92603668325049	3.22435066989943e-06	No	No
Q9Y3R0	GRIP1	-2.5134712951826	0.0016625629140643	No	No
