Protein_Group	Genes	MM1S_CM-3496_vs_MM1S_DMSO_logFC	MM1S_CM-3496_vs_MM1S_DMSO_pval	Removed?	Contaminant?
A2RU30	TESPA1	2.56913270329672	0.0047742869624927	No	No
A8K979	ERI2	2.47505890014168	0.0034980238803879	No	No
O76027	ANXA9	2.88783393785075	0.0058976356925554	No	No
P35609	ACTN2	4.49845178698178	0.0001568229956011	No	No
P47929	LGALS7	3.49388182699434	0.0068701283454771	No	No
P61236	YPEL3	4.7042328192506	0.0038288770930921	No	No
Q12926	ELAVL2	2.36676989077329	0.0007536116138432	No	No
Q15782	CHI3L2	3.92452985135066	0.0010612302191363	No	No
Q5SRH9	TTC39A	1.91508607907254	0.0030330612127994	No	No
Q5VT97	SYDE2	3.48189786493372	0.0009071118391673	No	No
Q68DY9	ZNF772	3.67734430139603	5.42322704028981e-05	No	No
Q6MZM0	HEPHL1	2.85959979512084	6.10692395827602e-07	No	No
Q6ZN19	ZNF841	2.95683019784449	0.0005299654851555	No	No
Q86SG5	S100A7A	8.11283907617627	1.2132840463533402e-09	No	No
Q86XP0	PLA2G4D	2.8678817023352	0.0085510755594206	No	No
Q8N370	SLC43A2	2.40429704949553	0.0002006218244258	No	No
Q8TE68	EPS8L1	5.80896956686314	0.0051147724997181	No	No
Q92874	DNASE1L2	6.65754524839628	5.3379375745049e-19	No	No
Q92876	KLK6	4.65735985357623	6.7357612055199e-08	No	No
Q96NR8	RDH12	2.89338078825417	0.0089284106025715	No	No
Q9BYZ2	LDHAL6B	12.5779079329501	3.46949775442292e-26	No	No
Q9GZU0	C6orf62	6.07683215036155	0.0013869036960205	No	No
Q9H190	SDCBP2	4.79164469531418	0.0027171866172666	No	No
Q9HA72	CALHM2	2.21565215305908	0.0013472206643466	No	No
Q9HBI6	CYP4F11	3.06681794583173	8.10706697231207e-05	No	No
Q9P2J8	ZNF624	2.70728808460908	0.0018762177218669	No	No
Q9UBH0	IL36RN	5.3086520342561	0.0010916165750777	No	No
Q9UIH9	KLF15	4.05464937907798	0.0053419517502123	No	No
A5PL33	KRBA1	-4.31209997931697	0.0078770040153389	No	No
B4DX44	ZNF736	-2.10880451140198	5.53297219920732e-14	No	No
O15516	CLOCK	-2.02607158654017	0.0075328051206957	No	No
O43286	B4GALT5	-1.9875545669974	0.0058140037094846	No	No
O43347	MSI1	-3.51981545755461	2.77200166937113e-05	No	No
O60282	KIF5C	-5.75638971926764	2.21618877528356e-08	No	No
O60361	NME2P1	-5.06606778321559	1.44976547047128e-14	No	No
O75317	USP12	-5.35238271736934	0.0007882552943374	No	No
O95661	DIRAS3	-2.20537298673976	0.0073631615126554	No	No
O95996	APC2	-6.95316317474684	2.84519000427463e-05	No	No
P01861	IGHG4	-3.55355344672413	0.0002521399749193	No	No
P02790	HPX	-7.43385768350895	2.40264430733408e-18	No	No
P13686	ACP5	-2.44444218812644	1.3017638336563e-15	No	No
P16415	ZNF823	-3.81847756960337	0.0001377918365094	No	No
P22607	FGFR3	-5.59925748491792	1.4364185236998e-08	No	No
P24385	CCND1	-3.07426343515363	0.0010542361994908	No	No
P24522	GADD45A	-5.88894119931351	4.52886824580906e-07	No	No
P27037	ACVR2A	-3.09654933123633	0.0051953705696381	No	No
P30711	GSTT1	-3.76739807663864	0.0025639809258701	No	No
P51511	MMP15	-2.10550543176575	0.0021455293924883	No	No
P58511	SMIM11	-2.52524583086045	0.0071462441507739	No	No
Q19AV6	ZSWIM7	-2.704503501064	0.0014019640400594	No	No
Q2KJY2	KIF26B	-3.45739313442649	7.62055164692006e-06	No	No
Q4G0A6	MINDY4	-2.9214135480575	0.0056614710321765	No	No
Q5TC79	ZBTB37	-2.79862904287716	1.27856768967653e-05	No	No
Q5TGY3	AHDC1	-1.81111234876003	0.0034327476284091	No	No
Q6DN03;Q6DRA6	H2BC19P;H2BC20P	-2.145988688928	0.0010809041720116	No	No
Q6IQ26	DENND5A	-3.37887416683972	0.0018863974884345	No	No
Q70EL1	USP54	-2.20181602498019	0.0062252341595061	No	No
Q8IV03	LURAP1L	-2.49113161012783	0.0088697364320204	No	No
Q8IYS0	GRAMD1C	-5.82034936369907	4.28245109316754e-08	No	No
Q8IYT8	ULK2	-3.44690741219632	0.0044425506456677	No	No
Q8N0X7	SPART	-2.91742664386192	0.00588148473652	No	No
Q8ND25	ZNRF1	-2.00620524877298	0.000182236376083	No	No
Q8TAM2	TTC8	-3.22629292603551	8.03366862733575e-07	No	No
Q92954	PRG4	-2.00776016260777	0.0003718063266436	No	No
Q96GX2	ATXN7L3B	-3.27355370773654	0.0001921141413628	No	No
Q96PM9	ZNF385A	-3.33908735957379	0.0074055370523814	No	No
Q96QD5	DEPDC7	-3.21241500503975	1.90521065328495e-12	No	No
Q9BQ83	SLX1A	-2.64351807701566	0.0061180532999328	No	No
Q9BT92	TCHP	-2.0126298974922	0.0060362832033443	No	No
Q9BY89	KIAA1671	-3.20655593124347	0.0032188976112561	No	No
Q9GZM7	TINAGL1	-4.8340678811481	5.98301465608463e-08	No	No
Q9H479	FN3K	-4.19147598786888	0.0012287436056487	No	No
Q9H790	EXO5	-2.88029218076377	0.0073181384016809	No	No
Q9HCS5	EPB41L4A	-4.77818813425417	0.0043753659595298	No	No
Q9NZL3	ZNF224	-4.05141496367278	0.0021615825613059	No	No
Q9P2F8	SIPA1L2	-4.44883599458796	0.000480235539405	No	No
Q9Y6I7	WSB1	-3.09049719113509	0.0015492939915573	No	No
