Protein_Group	Genes	HEK293T_CRISPR_vs_HEK293T_WT_logFC	HEK293T_CRISPR_vs_HEK293T_WT_pval	Removed?	Contaminant?
O14730	RIOK3	2.3577551714651	2.1751140867869e-05	No	No
O14939	PLD2	2.47133584736916	0.0033345787033339	No	No
O43829	ZBTB14	3.66438977870957	2.22484726568787e-05	No	No
O94761	RECQL4	2.67554888843881	0.0065772176604758	No	No
P05388	RPLP0	1.61475401895112	4.84416496580505e-14	No	No
P07711	CTSL	2.03432725061907	0.0046456562947813	No	No
P17026	ZNF22	1.65258822700609	0.0030093725676195	No	No
P18077	RPL35A	1.84785733173675	1.85529091945807e-08	No	No
P18124	RPL7	2.75051436397524	8.42857522615504e-14	No	No
P40429	RPL13A	2.18231743109391	4.5321570121444796e-11	No	No
P46778	RPL21	2.05610250142607	5.48061226029128e-12	No	No
P50914	RPL14	2.29613681971842	5.339434333388841e-15	No	No
P61313	RPL15	2.07000213070501	2.3293025353879e-07	No	No
P61353	RPL27	1.75812226669596	4.7975960213652e-16	No	No
P62906	RPL10A	2.24502509670788	9.29624184888623e-19	No	No
P78362	SRPK2	2.15317692139918	6.76618242207814e-06	No	No
Q02446	SP4	2.37592931970182	0.0015284796406323	No	No
Q02543	RPL18A	2.23814437504412	0.0005023375396291	No	No
Q07020	RPL18	2.11308252032564	7.92700665454163e-05	No	No
Q12796	PNRC1	2.047711790921	0.0044099456984025	No	No
Q14653	IRF3	2.22173889881804	0.0099138272435454	No	No
Q15269	PWP2	1.8428395838518	9.87196053535644e-06	No	No
Q15714	TSC22D1	4.35240061735347	0.0015241701881244	No	No
Q2NKJ3	CTC1	9.65389832023763	2.32590851888027e-13	No	No
Q5JUR7	TEX30	2.35307948711837	0.0002749374044323	No	No
Q6NUS6	TCTN3	2.98329371812527	0.0061632540284293	No	No
Q6PJP8	DCLRE1A	1.78984675646603	0.0009103673979449	No	No
Q86WV5	TEN1	6.03937786259821	3.02229497799538e-10	No	No
Q8N5G2	MACO1	2.22669259020512	0.004197308783571	No	No
Q8TED0	UTP15	2.30554147444134	7.66642429130974e-05	No	No
Q8TF42	UBASH3B	1.60299502724884	0.0033458586437065	No	No
Q969X6	UTP4	2.40500231672542	0.0006695192936887	No	No
Q96FV2	SCRN2	1.62013954957217	4.29197232177349e-06	No	No
Q9BRF8	CPPED1	3.09624298036493	2.82779622426329e-08	No	No
Q9BRJ6	C7orf50	2.66699769771987	0.0003610909474432	No	No
Q9H668	STN1	7.49408954076389	3.15597454691225e-16	No	No
Q9H9Y2	RPF1	1.91097136936665	0.004484988150493	No	No
Q9HAU0	PLEKHA5	6.73833108356806	2.5224219654325e-24	No	No
Q9HBG6	IFT122	1.94008221392847	0.0033594956600617	No	No
Q9NUD5	ZCCHC3	2.26129179105999	9.91820230281364e-05	No	No
Q9NUL3	STAU2	1.61245649443965	1.02592641752078e-08	No	No
Q9UBT7	CTNNAL1	2.43161996178455	0.0073742323184658	No	No
Q9UKD2	MRTO4	2.43674031217454	2.19487299026607e-07	No	No
Q9UPY5	SLC7A11	2.69796544381722	0.0010515224310828	No	No
Q9Y221	NIP7	2.56320291140551	8.67938595882665e-06	No	No
