"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0046836","GO:0046836",6,"GO:0046836",1.43579664068559,7,"glycolipid transport","glycolipid transport",0.883008771929825,0.5985,0
"GO:0005513","GO:0005513",5,"GO:0005513",1.43579664068559,13,"detection of calcium ion","detection of calcium ion",0.982982456140351,0.5705,0
"GO:0034505","GO:0034505",4,"GO:0034505",1.43579664068559,31,"tooth mineralization","tooth mineralization",0.976324561403509,0.513,0
"GO:0070166","GO:0070166",4,"GO:0034505",1.43579664068559,21,"enamel mineralization","tooth mineralization",0.973850877192982,0.513,0.974
"GO:1903566","GO:1903566",9,"GO:1903566",1.43579664068559,7,"positive regulation of protein localization to cilium","positive regulation of protein localization to cilium",0.821587719298246,0.458625,0
"GO:1901341","GO:1901341",3,"GO:1901341",1.43579664068559,5,"positive regulation of store-operated calcium channel activity","positive regulation of store-operated calcium channel activity",0.790798245614035,0.4455,0
"GO:0006000","GO:0006000",1,"GO:0006000",1.43579664068559,14,"fructose metabolic process","fructose metabolic process",0.920649122807017,0.419142857142857,0
"GO:0044725","GO:0044725",8,"GO:0044725",1.43579664068559,9,"epigenetic programming in the zygotic pronuclei","epigenetic programming in the zygotic pronuclei",0.846684210526316,0.412,0
"GO:0002115","GO:0002115",3,"GO:1901341",1.43579664068559,22,"store-operated calcium entry","positive regulation of store-operated calcium channel activity",0.885912280701754,0.402,0.557
"GO:0051349","GO:0051349",2,"GO:0051349",1.43579664068559,40,"positive regulation of lyase activity","positive regulation of lyase activity",0.906614035087719,0.3725,0
"GO:0031281","GO:0031281",2,"GO:0051349",1.43579664068559,39,"positive regulation of cyclase activity","positive regulation of lyase activity",0.906921052631579,0.369,0.58
"GO:0009251","GO:0009251",1,"GO:0006000",1.43579664068559,19,"glucan catabolic process","fructose metabolic process",0.902508771929825,0.364142857142857,0.563
"GO:2001256","GO:2001256",3,"GO:1901341",1.43579664068559,16,"regulation of store-operated calcium entry","positive regulation of store-operated calcium channel activity",0.842114035087719,0.357166666666667,0.628
"GO:0006006","GO:0006006",1,"GO:0006000",1.43579664068559,193,"glucose metabolic process","fructose metabolic process",0.903622807017544,0.318857142857143,0.784
"GO:0019318","GO:0019318",1,"GO:0006000",1.43579664068559,233,"hexose metabolic process","fructose metabolic process",0.902131578947368,0.310857142857143,0.794
"GO:1904031","GO:1904031",10,"GO:1904031",1.43579664068559,18,"positive regulation of cyclin-dependent protein kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.803868421052632,0.288875,0
"GO:0045737","GO:0045737",10,"GO:1904031",1.43579664068559,15,"positive regulation of cyclin-dependent protein serine/threonine kinase activity","positive regulation of cyclin-dependent protein kinase activity",0.803298245614035,0.282125,0.99
"GO:0045761","GO:0045761",2,"GO:0051349",1.43579664068559,44,"regulation of adenylate cyclase activity","positive regulation of lyase activity",0.906982456140351,0.27675,0.954
"GO:0045762","GO:0045762",2,"GO:0051349",1.43579664068559,31,"positive regulation of adenylate cyclase activity","positive regulation of lyase activity",0.904780701754386,0.26675,0.976
"GO:0045765","GO:0045765",7,"GO:0045765",1.43579664068559,349,"regulation of angiogenesis","regulation of angiogenesis",0.907491228070175,0.2474,0
"GO:0000183","GO:0000183",8,"GO:0044725",1.39989132799203,9,"rDNA heterochromatin formation","epigenetic programming in the zygotic pronuclei",0.823254385964912,0.377833333333333,0.662
"GO:0034375","GO:0034375",14,"GO:0034375",1.37903239594,16,"high-density lipoprotein particle remodeling","high-density lipoprotein particle remodeling",0.908324561403509,1,0
"GO:0042886","GO:0042886",11,"GO:0042886",1.37903239594,354,"amide transport","amide transport",0.886105263157895,0.604,0
"GO:0035627","GO:0035627",11,"GO:0042886",1.37903239594,16,"ceramide transport","amide transport",0.870578947368421,0.604,0.792
"GO:1901264","GO:1901264",6,"GO:0046836",1.37903239594,85,"carbohydrate derivative transport","glycolipid transport",0.884456140350877,0.5985,0.803
"GO:0010793","GO:0010793",12,"GO:0010793",1.37903239594,6,"regulation of mRNA export from nucleus","regulation of mRNA export from nucleus",0.774368421052632,0.504,0
"GO:2000197","GO:2000197",12,"GO:0010793",1.37903239594,7,"regulation of ribonucleoprotein complex localization","regulation of mRNA export from nucleus",0.84919298245614,0.504,0.992
"GO:0035372","GO:0035372",15,"GO:0035372",1.37903239594,19,"protein localization to microtubule","protein localization to microtubule",0.877649122807018,0.497,0
