term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0001944,0.1004572,134.8077,1076.411,ERRFI1;PIK3CA,Vasculature Development (GO:0001944)
GO:0036089,0.1004572,89.85897,672.0441,SNX18;SNX9,Cleavage Furrow Formation (GO:0036089)
GO:2000630,0.1004572,21.65015,161.1125,ZSWIM8;ETS1;NFKB1,Positive Regulation of miRNA Metabolic Process (GO:2000630)
GO:0061723,0.1708272,44.91026,290.2989,ATG3;ATG2B,Glycophagy (GO:0061723)
GO:0006954,0.1708272,8.550154,53.92423,PJA2;NFKB1;RELB;NFATC4,Inflammatory Response (GO:0006954)
GO:0007616,0.1708272,38.48901,239.308,PJA2;NFATC4,Long-Term Memory (GO:0007616)
GO:0097320,0.177663,33.67308,202.0157,SNX18;SNX9,Plasma Membrane Tubulation (GO:0097320)
GO:0005980,0.177663,26.93077,151.5159,ATG3;ATG2B,Glycogen Catabolic Process (GO:0005980)
GO:0044804,0.177663,24.47902,133.7525,ATG3;ATG2B,Nucleophagy (GO:0044804)
GO:0045860,0.177663,10.00143,54.09186,TPX2;ALS2;SNX9,Positive Regulation of Protein Kinase Activity (GO:0045860)
GO:0006661,0.177663,9.315508,48.64677,ITPKC;PIK3CA;MTMR4,Phosphatidylinositol Biosynthetic Process (GO:0006661)
GO:1901880,0.177663,20.7071,107.1902,TPX2;PIK3CA,Negative Regulation of Protein Depolymerization (GO:1901880)
GO:0038061,0.177663,20.7071,107.1902,NFKB1;RELB,Non-Canonical NF-kappaB Signal Transduction (GO:0038061)
GO:0099024,0.177663,20.7071,107.1902,SNX18;SNX9,Plasma Membrane Invagination (GO:0099024)
GO:0120034,0.177663,8.907928,45.47624,PIK3CA;CDC42EP3;ENTR1,Positive Regulation of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)
GO:0007613,0.177663,17.94103,88.40561,PJA2;NFATC4,Memory (GO:0007613)
GO:0010894,0.177663,inf,inf,NFKB1,Negative Regulation of Steroid Biosynthetic Process (GO:0010894)
GO:0140367,0.177663,inf,inf,NFKB1,Antibacterial Innate Immune Response (GO:0140367)
GO:0034137,0.177663,inf,inf,PJA2,Positive Regulation of Toll-Like Receptor 2 Signaling Pathway (GO:0034137)
GO:0060428,0.177663,inf,inf,ERRFI1,Lung Epithelium Development (GO:0060428)
GO:0060556,0.177663,inf,inf,NFKB1,Regulation of Vitamin D Biosynthetic Process (GO:0060556)
GO:0060558,0.177663,inf,inf,NFKB1,Regulation of Calcidiol 1-Monooxygenase Activity (GO:0060558)
GO:1902017,0.177663,8.028835,38.81617,ATG3;ENTR1;CEP97,Regulation of Cilium Assembly (GO:1902017)
GO:0051345,0.1882493,7.72364,36.56493,SNX18;ALS2;SNX9,Positive Regulation of Hydrolase Activity (GO:0051345)
GO:0016441,0.1898641,14.94444,68.86151,ZSWIM8;DICER1,Post-Transcriptional Gene Silencing (GO:0016441)
GO:1902903,0.1898641,14.94444,68.86151,PIK3CA;CAMSAP1,Regulation of Supramolecular Fiber Organization (GO:1902903)
GO:0046854,0.1898641,14.94444,68.86151,ITPKC;PIK3CA,Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854)
GO:0033674,0.2057368,13.44615,59.46136,ALS2;SNX9,Positive Regulation of Kinase Activity (GO:0033674)
GO:0007249,0.2057368,13.44615,59.46136,NFKB1;RELB,Canonical NF-kappaB Signal Transduction (GO:0007249)
GO:0030838,0.2057368,13.44615,59.46136,CDC42EP3;SNX9,Positive Regulation of Actin Filament Polymerization (GO:0030838)
GO:0043547,0.2168172,6.593928,28.53552,SNX18;ALS2;SNX9,Positive Regulation of GTPase Activity (GO:0043547)
GO:0046137,0.2168172,132.283,553.5628,NFKB1,Negative Regulation of Vitamin Metabolic Process (GO:0046137)
GO:0060426,0.2168172,132.283,553.5628,ERRFI1,Lung Vasculature Development (GO:0060426)
GO:0071694,0.2168172,132.283,553.5628,FBN2,Maintenance of Protein Location in Extracellular Region (GO:0071694)
GO:0034135,0.2168172,132.283,553.5628,PJA2,Regulation of Toll-Like Receptor 2 Signaling Pathway (GO:0034135)
GO:0030835,0.2168172,132.283,553.5628,PIK3CA,Negative Regulation of Actin Filament Depolymerization (GO:0030835)
GO:0043087,0.2168172,5.919011,23.99242,SNX18;ALS2;SNX9,Regulation of GTPase Activity (GO:0043087)
GO:1902893,0.2168172,10.74923,43.29929,ETS1;NFATC4,Regulation of miRNA Transcription (GO:1902893)
GO:0120039,0.2168172,10.74923,43.29929,MYO9B;DICER1,Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)
GO:0048812,0.2168172,5.833613,23.43254,FARP1;ALS2;DICER1,Neuron Projection Morphogenesis (GO:0048812)
GO:0007052,0.2168172,5.669935,22.36936,TPX2;WDR62;AURKA,Mitotic Spindle Organization (GO:0007052)
GO:0016078,0.2168172,66.13208,250.1758,DICER1,tRNA Decay (GO:0016078)
GO:1900125,0.2168172,66.13208,250.1758,NFKB1,Regulation of Hyaluronan Biosynthetic Process (GO:1900125)
GO:0010738,0.2168172,66.13208,250.1758,PJA2,Regulation of Protein Kinase A Signaling (GO:0010738)
GO:0070741,0.2168172,66.13208,250.1758,NFKB1,Response to Interleukin-6 (GO:0070741)
GO:0035581,0.2168172,66.13208,250.1758,FBN2,Sequestering of Extracellular Ligand From Receptor (GO:0035581)
GO:0048048,0.2168172,66.13208,250.1758,FBN2,Embryonic Eye Morphogenesis (GO:0048048)
GO:0010646,0.2168172,9.261273,34.88057,PPP6R2;PPP6R3,Regulation of Cell Communication (GO:0010646)
GO:0060236,0.2168172,8.389423,30.14425,TPX2;CEP97,Regulation of Mitotic Spindle Organization (GO:0060236)
GO:0031175,0.2168172,4.910702,17.61923,ALS2;DICER1;CAMSAP1,Neuron Projection Development (GO:0031175)
GO:0010558,0.2168172,4.851541,17.26245,DICER1;NFKB1;AURKA,Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)
GO:0007266,0.2168172,8.134033,28.78733,CDC42EP3;MYO9B,Rho Protein Signal Transduction (GO:0007266)
GO:0045687,0.2168172,44.08176,154.2438,DICER1,Positive Regulation of Glial Cell Differentiation (GO:0045687)
GO:1905954,0.2168172,44.08176,154.2438,NFKB1,Positive Regulation of Lipid Localization (GO:1905954)
GO:0010744,0.2168172,44.08176,154.2438,NFKB1,Positive Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010744)
GO:1903566,0.2168172,44.08176,154.2438,ENTR1,Positive Regulation of Protein Localization to Cilium (GO:1903566)
GO:2000625,0.2168172,44.08176,154.2438,ZSWIM8,Regulation of miRNA Catabolic Process (GO:2000625)
GO:0032958,0.2168172,44.08176,154.2438,ITPKC,Inositol Phosphate Biosynthetic Process (GO:0032958)
GO:0006309,0.2168172,44.08176,154.2438,DICER1,Apoptotic DNA Fragmentation (GO:0006309)
GO:0036438,0.2168172,44.08176,154.2438,APBB2,Maintenance of Lens Transparency (GO:0036438)
GO:0046173,0.2168172,44.08176,154.2438,ITPKC,Polyol Biosynthetic Process (GO:0046173)
GO:0000422,0.2168172,7.893665,27.52361,ATG3;ATG2B,Autophagy of Mitochondrion (GO:0000422)
GO:0050808,0.2168172,7.667033,26.34437,FARP1;APBB2,Synapse Organization (GO:0050808)
GO:0030512,0.2168172,7.667033,26.34437,FBN2;MTMR4,Negative Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)
GO:0007009,0.2168172,7.452991,25.24194,SNX18;SNX9,Plasma Membrane Organization (GO:0007009)
GO:0045944,0.2168172,2.455404,8.269694,BMAL2;APBB2;ETS1;NFKB1;ETV5;RELB;NFATC4,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)
GO:0030833,0.2168172,7.25052,24.2095,CDC42EP3;SNX9,Regulation of Actin Filament Polymerization (GO:0030833)
GO:0051495,0.2168172,7.25052,24.2095,CDC42EP3;SNX9,Positive Regulation of Cytoskeleton Organization (GO:0051495)
GO:0010884,0.2168172,33.0566,108.4137,NFKB1,Positive Regulation of Lipid Storage (GO:0010884)
GO:0038084,0.2168172,33.0566,108.4137,PIK3CA,Vascular Endothelial Growth Factor Signaling Pathway (GO:0038084)
GO:0060965,0.2168172,33.0566,108.4137,ZSWIM8,Negative Regulation of miRNA-mediated Gene Silencing (GO:0060965)
GO:0031643,0.2168172,33.0566,108.4137,DICER1,Positive Regulation of Myelination (GO:0031643)
GO:0031274,0.2168172,33.0566,108.4137,CDC42EP3,Positive Regulation of Pseudopodium Assembly (GO:0031274)
GO:0043276,0.2168172,33.0566,108.4137,PIK3CA,Anoikis (GO:0043276)
GO:0016322,0.2168172,33.0566,108.4137,FARP2,Neuron Remodeling (GO:0016322)
GO:0031952,0.2168172,33.0566,108.4137,ERRFI1,Regulation of Protein Autophosphorylation (GO:0031952)
GO:1903564,0.2168172,33.0566,108.4137,ENTR1,Regulation of Protein Localization to Cilium (GO:1903564)
GO:0031272,0.2168172,33.0566,108.4137,CDC42EP3,Regulation of Pseudopodium Assembly (GO:0031272)
GO:0086003,0.2168172,33.0566,108.4137,PIK3CA,Cardiac Muscle Cell Contraction (GO:0086003)
GO:0055119,0.2168172,33.0566,108.4137,PIK3CA,Relaxation of Cardiac Muscle (GO:0055119)
GO:0090075,0.2168172,33.0566,108.4137,PIK3CA,Relaxation of Muscle (GO:0090075)
GO:0006778,0.2168172,33.0566,108.4137,PPOX,Porphyrin-Containing Compound Metabolic Process (GO:0006778)
GO:0030422,0.2168172,33.0566,108.4137,DICER1,siRNA Processing (GO:0030422)
GO:1902931,0.2168172,33.0566,108.4137,NFKB1,Negative Regulation of Alcohol Biosynthetic Process (GO:1902931)
GO:1905037,0.2168172,6.876726,22.33109,ATG3;ATG2B,Autophagosome Organization (GO:1905037)
GO:0071375,0.2168172,6.876726,22.33109,PIK3CA;NFKB1,Cellular Response to Peptide Hormone Stimulus (GO:0071375)
GO:0032273,0.2168172,6.703846,21.4749,CDC42EP3;SNX9,Positive Regulation of Protein Polymerization (GO:0032273)
