"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0036089","GO:0036089",2,"GO:0036089",0.998018930909657,7,"cleavage furrow formation","cleavage furrow formation",0.902743639921722,0.47625,0
"GO:0001944","GO:0001944",1,"GO:0001944",0.998018930909657,831,"vasculature development","vasculature development",0.942688845401174,0.288,0
"GO:2000630","GO:2000630",3,"GO:2000630",0.998018930909657,64,"positive regulation of miRNA metabolic process","positive regulation of miRNA metabolic process",0.834363992172211,0.212090909090909,0
"GO:0007616","GO:0007616",6,"GO:0007616",0.767442977502932,38,"long-term memory","long-term memory",0.96866927592955,0.526666666666667,0
"GO:0061723","GO:0061723",4,"GO:0061723",0.767442977502932,4,"glycophagy","glycophagy",0.920436399217221,0.4685,0
"GO:0006954","GO:0006954",5,"GO:0006954",0.767442977502932,886,"inflammatory response","inflammatory response",0.939720156555773,0.341571428571429,0
"GO:0060558","GO:0060558",19,"GO:0060558",0.750403008711097,7,"regulation of calcidiol 1-monooxygenase activity","regulation of calcidiol 1-monooxygenase activity",0.954512720156556,1,0
"GO:0010894","GO:0010894",14,"GO:0010894",0.750403008711097,30,"negative regulation of steroid biosynthetic process","negative regulation of steroid biosynthetic process",0.863833659491194,1,0
"GO:0038061","GO:0038061",12,"GO:0038061",0.750403008711097,148,"non-canonical NF-kappaB signal transduction","non-canonical NF-kappaB signal transduction",0.892495107632094,1,0
"GO:0060556","GO:0060556",18,"GO:0060556",0.750403008711097,7,"regulation of vitamin D biosynthetic process","regulation of vitamin D biosynthetic process",0.881011741682975,0.5295,0
"GO:0007613","GO:0007613",6,"GO:0007616",0.750403008711097,123,"memory","long-term memory",0.966023483365949,0.510333333333333,0.918
"GO:0140367","GO:0140367",15,"GO:0140367",0.750403008711097,6,"antibacterial innate immune response","antibacterial innate immune response",0.949117416829746,0.4986,0
"GO:0060428","GO:0060428",17,"GO:0060428",0.750403008711097,44,"lung epithelium development","lung epithelium development",0.951819960861057,0.470333333333333,0
"GO:0097320","GO:0097320",7,"GO:0097320",0.750403008711097,19,"plasma membrane tubulation","plasma membrane tubulation",0.927731898238748,0.466333333333333,0
"GO:0099024","GO:0099024",2,"GO:0036089",0.750403008711097,58,"plasma membrane invagination","cleavage furrow formation",0.92593542074364,0.43825,0.897
"GO:0005980","GO:0005980",4,"GO:0061723",0.750403008711097,18,"glycogen catabolic process","glycophagy",0.919152641878669,0.43425,0.9
"GO:0044804","GO:0044804",8,"GO:0044804",0.750403008711097,19,"nucleophagy","nucleophagy",0.921874755381605,0.4176,0
"GO:0034137","GO:0034137",16,"GO:0034137",0.750403008711097,6,"positive regulation of toll-like receptor 2 signaling pathway","positive regulation of toll-like receptor 2 signaling pathway",0.863657534246575,0.350166666666667,0
"GO:0120034","GO:0120034",13,"GO:0120034",0.750403008711097,110,"positive regulation of plasma membrane bounded cell projection assembly","positive regulation of plasma membrane bounded cell projection assembly",0.817986301369863,0.278333333333333,0
