term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0042254,3.230293e-39,11.18345,1076.682,LTV1;DDX49;NVL;PAK1IP1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;WDR74;DDX10;DNTTIP2;WDR75;DDX54;IMP4;RPS3A;URB2;UTP18;GTPBP4;EBNA1BP2;DKC1;MRTO4;CINP;RPL26;FSAF1;DDX27;RPS19BP1;NOP2;HEATR1;NOL7;NOLC1;NOL8;SNU13;NOC4L;RPF2;SDAD1;TMA16;RRP7A;EMG1;EXOSC5;BMS1;EXOSC9;PES1;DHX37;RRS1;SURF6;RRP36;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP6;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;WDR55;BYSL;RCL1;BOP1;TBL3;AIRIM;MPHOSPH10;ESF1;DHX29;RSL24D1;NOP53;RPS24;RPL26L1,Ribosome Biogenesis (GO:0042254)
GO:0022613,6.371754e-35,13.45926,1153.348,LTV1;NVL;PAK1IP1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;WDR74;DNTTIP2;WDR75;IMP4;RPS3A;URB2;UTP18;GTPBP4;EBNA1BP2;MRTO4;CINP;RPL26;FSAF1;RPS19BP1;NOP2;HEATR1;NOL7;SNU13;RPF2;SDAD1;TMA16;RRP7A;EMG1;BMS1;PES1;DHX37;RRS1;SURF6;RRP36;UTP20;NOP56;NOP14;NOP58;UTP6;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;BYSL;RCL1;BOP1;TBL3;AIRIM;MPHOSPH10;RSL24D1;RPS24;RPL26L1,Ribonucleoprotein Complex Biogenesis (GO:0022613)
GO:0006364,3.2955750000000004e-27,11.10052,749.5625,DDX49;NVL;WDR3;NAT10;TFB1M;RRP9;RPS15;FBL;SART1;RRP15;UTP15;WDR36;RPS6;WDR74;DDX10;DDX54;IMP4;DDX52;EBNA1BP2;NSA2;DKC1;MRTO4;C1D;SRFBP1;RPL26;DDX27;NOP2;MAK16;NOL7;NOLC1;NOL8;SNU13;NOC4L;RPF1;RRP7A;EMG1;EXOSC5;ERI1;EXOSC9;PES1;RRP36;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP4;WDR55;BYSL;RCL1;LSM6;MPHOSPH10;ESF1;TSR1;NOL11;NOP53;RPS24;MPHOSPH6,rRNA Processing (GO:0006364)
GO:0042274,4.004091e-27,14.41244,966.2467,LTV1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;DNTTIP2;WDR75;IMP4;RPS3A;DDX52;UTP18;SRFBP1;FSAF1;RPS19BP1;HEATR1;NOL7;SNU13;RRP7A;EMG1;BMS1;DHX37;RRP36;SURF6;UTP20;NOP56;NOP14;NOP58;UTP6;UTP4;KRR1;PNO1;UTP3;RCL1;TBL3;LSM6;MPHOSPH10;FAU;NOL11;RPS24,Ribosomal Small Subunit Biogenesis (GO:0042274)
GO:0140053,1.637158e-21,9.716687,523.7124,MRPS15;MRPL38;MRPL39;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL48;POLRMT;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPL51;TFAM;MRPL18;MRPS33;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL55;MRPL20;TEFM;GADD45GIP1;MTERF3;MRPL23;MRPL24;MRPL21;MRPL30,Mitochondrial Gene Expression (GO:0140053)
GO:0006396,1.083219e-20,4.56545,236.6107,POP7;TUT7;DDX49;NVL;USP39;RRP9;FARS2;RPS15;FBL;SNRPD2;DHX15;SNRNP35;BCAS2;RBM5;RBM6;UTP15;WDR36;SCAF11;NCBP2;RPS6;WDR74;DDX10;DNTTIP2;DDX54;IMP4;ZCRB1;REXO4;EBNA1BP2;DKC1;MRTO4;SNRPA1;RPL26;SRSF5;SLU7;YJU2B;RBMS2;SF3B4;SF3B2;SF3B3;DDX27;NUFIP1;NOP2;WBP4;ISG20L2;PARN;NOLC1;NOL8;NOC4L;U2AF1;RNPC3;RRP7A;EXOSC6;EXOSC5;EMG1;ATXN1;EXOSC9;PES1;EXOSC8;ZMAT5;RRP36;UTP20;LYAR;SF3B1;DCAF13;SRPK2;SF3A3;NOP56;ZRSR2;SF3A1;NOP14;NOP58;SF3A2;FUS;LSM1;SRPK1;WDR55;BYSL;LSM6;SON;TRMT6;MPHOSPH10;ACIN1;ESF1;NOP53;RPS24,RNA Processing (GO:0006396)
GO:0032543,1.1443859999999998e-19,9.545757,470.746,MRPS15;MRPL18;MRPS33;MRPL19;MRPL38;MRPS31;MRPL39;MRPL17;MRPL58;MRPL15;MRPS30;MRPL34;MRPL12;MRPL35;MRPL13;MRPL57;MRPL32;MRPL10;MRPL54;MRPL55;MRPL4;MRPL41;MRPL3;MRPL42;MRPL20;MRPL1;MRPL40;MRPL9;GADD45GIP1;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL48;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS5;MRPL21;MRPL44;MRPL52;MRPL30;MRPL50;MRPL51,Mitochondrial Translation (GO:0032543)
GO:0016072,2.509136e-18,9.105912,419.7234,TRIR;DDX49;DDX27;NVL;NOP2;HEATR1;NOLC1;NOL8;NOC4L;RRP9;RPS15;RRP7A;FBL;EXOSC6;EMG1;EXOSC5;EXOSC9;PES1;EXOSC8;RRP36;UTP20;LYAR;DCAF13;UTP15;NOP56;NOP14;WDR36;NOP58;NIFK;RPS6;WDR74;DDX10;DDX54;IMP4;WDR55;BYSL;EBNA1BP2;DKC1;MRTO4;ESF1;RPL26;POLR1G;NOP53;RPS24,rRNA Metabolic Process (GO:0016072)
GO:0006412,1.74791e-14,4.06582,150.9513,MRPS15;RPL31;MRPL38;MRPL39;MRPL34;MRPL35;MRPL32;FARS2;RPS15;MRPL41;MRPL4;MRPL42;MRPL3;MRPL40;MRPL1;RPL36;RPL35;MRPL9;RPS13;MRPS26;RPS9;RPS6;MRPL49;MRPS18A;MRPL47;RPS3A;MRPL48;MRPL45;GTPBP1;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPL51;RPL37A;RPL26;RPL29;MRPL18;MRPS33;MRPL19;SRBD1;MRPS31;RPL36A;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL55;MRPL20;RPL19;GADD45GIP1;RPL23A;MRPL23;MRPL24;MRPL21;MRPL30;FAU;RSL24D1;RPS24;RPL26L1,Translation (GO:0006412)
GO:0000462,5.003731e-14,34.75652,1250.184,NOP14;UTP6;UTP4;UTP3;HEATR1;NGDN;RPP40;KRI1;PWP2;WDR46;NOP9;WDR43;TBL3;BMS1;DHX37;RRS1;RRP36;TSR1;UTP20;NOL10;DCAF13,Maturation of SSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000462)
