term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0042254,2.678307e-24,7.060515,437.8201,LTV1;PAK1IP1;WDR3;FCF1;PWP2;WDR46;RRP9;RPS15;FBL;RPS13;UTP15;NOM1;RPS9;WDR36;UTP11;DIMT1;RPS8;NGDN;RPS6;WDR74;DDX10;DNTTIP2;WDR75;DDX54;IMP4;RPS3A;UTP18;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;CINP;RPL26;FSAF1;DDX27;NIP7;HEATR1;NOL7;NOC4L;MRM1;TMA16;RRP7A;EXOSC7;EMG1;EXOSC5;BMS1;EXOSC9;DHX37;RRS1;SURF6;RRP36;UTP20;LYAR;DCAF13;NOP14;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;WDR55;BYSL;RCL1;TBL3;MPHOSPH10;ESF1;DHX29;RSL24D1;NOP53;RPS24,Ribosome Biogenesis (GO:0042254)
GO:0022613,9.773658e-21,7.822335,414.8163,LTV1;PAK1IP1;WDR3;FCF1;PWP2;WDR46;RRP9;RPS15;FBL;RPS13;UTP15;NOM1;RPS9;WDR36;UTP11;DIMT1;RPS8;NGDN;RPS6;WDR74;DNTTIP2;WDR75;IMP4;RPS3A;UTP18;GTPBP4;EBNA1BP2;GRWD1;MRTO4;CINP;RPL26;FSAF1;NIP7;HEATR1;NOL7;TMA16;RRP7A;EMG1;BMS1;DHX37;RRS1;SURF6;RRP36;UTP20;NOP14;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;BYSL;RCL1;TBL3;MPHOSPH10;RSL24D1;RPS24,Ribonucleoprotein Complex Biogenesis (GO:0022613)
GO:0032543,9.773658e-21,10.0161,527.3331,MRPS15;MRPS16;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;MRPS35;MRPL18;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL23;MRPL24;MRPL21;MRPL30,Mitochondrial Translation (GO:0032543)
GO:0140053,9.773658e-21,9.228458,483.766,MRPS15;MRPS16;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;POLRMT;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;MRPS35;MRPL18;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MTERF3;MRPL23;MRPL24;MRPL21;MRPL30,Mitochondrial Gene Expression (GO:0140053)
GO:0042274,3.7188989999999996e-19,9.622298,467.2497,LTV1;WDR3;HEATR1;FCF1;NOL7;PWP2;WDR46;RRP9;RPS15;RRP7A;FBL;EMG1;BMS1;DHX37;RRP36;SURF6;UTP20;RPS13;UTP15;NOM1;RPS9;WDR36;NOP14;UTP11;UTP4;DIMT1;RPS8;KRR1;PNO1;UTP3;NGDN;RPS6;DNTTIP2;WDR75;IMP4;RPS3A;DDX52;UTP18;RCL1;TBL3;MPHOSPH10;SRFBP1;FAU;NOL11;FSAF1;RPS24,Ribosomal Small Subunit Biogenesis (GO:0042274)
GO:0006412,1.019791e-16,4.326887,185.0298,MRPS15;MRPS16;RPL32;RPL31;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;FARS2;RPS15;MRPL41;MRPL4;MRPL42;MRPL3;MRPL40;MRPL1;RPL36;RPL35;MRPL9;RPS13;MRPS26;RPS9;RPS8;PABPC4;RPS6;MRPL49;MRPS18A;MRPL47;RPS3A;MRPL45;GTPBP1;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;RPL26;AURKAIP1;RPL29;MRPS35;MRPL18;MRPL19;SRBD1;MRPS31;RPL36A;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;RPL19;GADD45GIP1;PTCD3;RPL23A;MRPL23;MRPL24;MRPL21;MRPL30;RPS26;RPL27A;FAU;RSL24D1;RPS24,Translation (GO:0006412)
GO:0006364,1.996327e-16,6.776853,284.2005,WDR3;TFB1M;RRP9;RPS15;FBL;RRP15;UTP15;WDR36;RPS6;WDR74;DDX10;DDX54;IMP4;DDX52;EBNA1BP2;NSA2;DKC1;MRTO4;C1D;SRFBP1;RPL26;DDX27;MAK16;NOL7;NOC4L;MRM1;RPF1;RRP7A;EXOSC7;EMG1;EXOSC5;ERI1;EXOSC9;RRP36;UTP20;LYAR;DCAF13;NOP14;UTP4;WDR55;BYSL;RCL1;MPHOSPH10;ESF1;TSR1;NOL11;NOP53;RPS24;MPHOSPH6,rRNA Processing (GO:0006364)
GO:0006396,1.040357e-13,3.526019,125.3408,POP7;PDCD7;CHD8;RRP9;FARS2;RPS15;FBL;SNRPD2;DHX15;CMTR1;BCAS2;RBM5;RBM6;UTP15;WDR36;NCBP1;SCAF11;NCBP2;PABPC4;RPS6;WDR74;DDX10;DNTTIP2;DDX54;IMP4;ZCRB1;REXO4;KIN;EBNA1BP2;DKC1;MRTO4;LUC7L3;SNRPA1;RPL26;SRSF5;CBLL1;SLU7;YJU2B;RBMS2;SF3B4;SF3B2;SF3B3;DDX27;NUFIP1;WBP4;PARN;NOC4L;RNPC3;MRM1;RRP7A;EXOSC7;EXOSC5;EMG1;ATXN1;EXOSC9;ZMAT5;RRP36;UTP20;TENT2;ZC3H13;LYAR;SF3B1;DCAF13;SRPK2;SF3A3;ZRSR2;SF3A1;NOP14;SF3A2;FUS;LSM1;WDR55;BYSL;MPHOSPH10;ESF1;NOP53;RPS24,RNA Processing (GO:0006396)
GO:0016072,2.99763e-10,5.605106,153.9365,TRIR;DDX27;HEATR1;NOC4L;MRM1;RRP9;RPS15;RRP7A;EXOSC7;FBL;EMG1;EXOSC5;EXOSC9;RRP36;UTP20;LYAR;DCAF13;UTP15;NOP14;WDR36;NIFK;RPS6;WDR74;DDX10;DDX54;IMP4;WDR55;BYSL;EBNA1BP2;DKC1;MRTO4;ESF1;RPL26;POLR1G;NOP53;RPS24,rRNA Metabolic Process (GO:0016072)
GO:0009059,9.248825e-10,3.810947,99.96715,MRPS15;MRPS16;RPL32;RPL31;MRPL37;MRPL34;MRPL35;MRPL32;RPS15;MRPL41;MRPL3;MRPL42;MRPL40;RPL36;RPL35;MRPL9;RPS13;DDX18;RPS9;RPS8;PABPC4;RPS6;MRPS18A;RPS3A;GTPBP1;MRPL43;MRPS5;MRPL52;MRPL51;RPL26;RPL29;MRPL18;SRBD1;RPL36A;MRPL12;MRPL13;MRPL11;MRPL55;RPL19;RPL23A;MRPL23;MRPL24;MRPL30;RPS26;EXT2;GOLPH3;RPL27A;FAU;RSL24D1;RPS24,Macromolecule Biosynthetic Process (GO:0009059)
