"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:2001141","GO:2001141",1,"GO:2001141",3.96824585375373,3474,"regulation of RNA biosynthetic process","regulation of RNA biosynthetic process",0.814598932859048,0.288166666666667,0
"GO:0006355","GO:0006355",1,"GO:2001141",3.79793174034456,3456,"regulation of DNA-templated transcription","regulation of RNA biosynthetic process",0.814377945753668,0.286333333333333,0.95
"GO:0045892","GO:0045892",2,"GO:0045892",3.11054422033477,1323,"negative regulation of DNA-templated transcription","negative regulation of DNA-templated transcription",0.803449977767897,0.277,0
"GO:0000398","GO:0000398",3,"GO:0000398",3.08857220028101,332,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome",0.886917741218319,0.263666666666667,0
"GO:0006397","GO:0006397",4,"GO:0006397",2.92834734600919,518,"mRNA processing","mRNA processing",0.884524677634504,0.2738,0
"GO:0000377","GO:0000377",3,"GO:0000398",2.92834734600919,332,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","mRNA splicing, via spliceosome",0.892282792352157,0.263666666666667,0.995
"GO:0000470","GO:0000470",6,"GO:0000470",2.92443406144809,28,"maturation of LSU-rRNA","maturation of LSU-rRNA",0.86161182747888,0.381157894736842,0
"GO:0007020","GO:0007020",7,"GO:0007020",2.92443406144809,45,"microtubule nucleation","microtubule nucleation",0.910227212094264,0.325466666666667,0
"GO:0006356","GO:0006356",5,"GO:0006356",2.92443406144809,48,"regulation of transcription by RNA polymerase I","regulation of transcription by RNA polymerase I",0.87276345042241,0.2588,0
"GO:0000956","GO:0000956",8,"GO:0000956",2.67507152354451,128,"nuclear-transcribed mRNA catabolic process","nuclear-transcribed mRNA catabolic process",0.81942063139173,0.233733333333333,0
"GO:0000479","GO:0000479",6,"GO:0000470",2.61171651830049,17,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","maturation of LSU-rRNA",0.862352156514006,0.383894736842105,0.719
"GO:0045727","GO:0045727",9,"GO:0045727",2.52329499881129,141,"positive regulation of translation","positive regulation of translation",0.824222765673633,0.298384615384615,0
"GO:0006282","GO:0006282",10,"GO:0006282",2.34575701903742,215,"regulation of DNA repair","regulation of DNA repair",0.797051578479324,0.283666666666667,0
"GO:0045943","GO:0045943",5,"GO:0006356",2.34575701903742,35,"positive regulation of transcription by RNA polymerase I","regulation of transcription by RNA polymerase I",0.853585593597154,0.2708,0.976
"GO:0007004","GO:0007004",11,"GO:0007004",2.22916079655348,69,"telomere maintenance via telomerase","telomere maintenance via telomerase",0.844675855935971,0.317625,0
"GO:0006278","GO:0006278",11,"GO:0007004",2.22916079655348,75,"RNA-templated DNA biosynthetic process","telomere maintenance via telomerase",0.902352156514006,0.31475,0.995
"GO:0031047","GO:0031047",2,"GO:0045892",2.20910148518843,714,"regulatory ncRNA-mediated gene silencing","negative regulation of DNA-templated transcription",0.828574032903513,0.346222222222222,0.708
"GO:0016071","GO:0016071",4,"GO:0006397",2.20910148518843,829,"mRNA metabolic process","mRNA processing",0.890477990217875,0.2784,0.936
