Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
A0A075B5J9;A0A075B5K3;A0A0G2JFA8	Igkv17-121;Igkv17-127	A0A075B5J9_MOUSE;A0A075B5K3_MOUSE;A0A0G2JFA8_MOUSE	0.25	0.625	1.0	0.8333333333333334	MOUSE		32286.408	39597.03		28594.89	18424.338	42189.984	25016.154			23522.123	21894.895	28840.508	13292.21	40769.234						17106.76	16070.889		13592.287	23623.193	20268.045	28585.094	40453.664	54730.848	28363.066
A0A075B5K1;A0A0G2JEK4	Igkv11-125	A0A075B5K1_MOUSE;A0A0G2JEK4_MOUSE	1.0	0.75	0.375	0.5	MOUSE	995856.06	1432237.6	872571.4	1330022.0	166745.73		81156.336		497169.2	510041.2		292955.97	162624.92		134987.31		389000.9	1426585.6	788564.1		151420.25		332390.6	1462944.4	1121097.1	896959.8			335555.84	
A0A075B5K2	Igkv9-124	A0A075B5K2_MOUSE	0.0	0.0	0.25	0.0	MOUSE													53232.234	146439.8																
A0A075B5L0	Igkv10-95	A0A075B5L0_MOUSE	0.0	0.0	0.75	0.3333333333333333	MOUSE					2292.6697	2610.7327		5103.4624					4521.915	2008.5941													2967.1494	3807.7136	5795.3086	
A0A075B5L7	Igkv4-80	A0A075B5L7_MOUSE	1.875	2.0	1.375	1.1666666666666667	MOUSE	268509.84	4758.1587	1946990.8	2009024.0	200812.31	3700.8455		3865.6829	401733.34	1589661.9	426814.7	998422.75	87229.555	4080.0442	4629.644	4344.699	295699.47	658533.94	2498584.8	1830107.1	5205.762	72269.34	511901.94	1618851.2	3579816.8	1485347.5	196981.06		4546.7266	186118.33
A0A075B5M7	Igkv5-39	A0A075B5M7_MOUSE	0.0	0.0	0.25	0.0	MOUSE													848675.5	1857080.4																
A0A075B5N4;A0A0G2JF28;A0A140T8P7;A0A140T8M3	Igkv8-21;Igkv8-27;Igkv8-30	A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE;A0A140T8M3_MOUSE;A0A140T8P7_MOUSE	0.375	0.75	0.25	0.0	MOUSE	49985.707	105054.69	283533.62	128747.97								25628.371	163431.62	241003.25						124983.51				54288.297	89471.4	59385.285				
A0A075B5N5	Igkv8-26	A0A075B5N5_MOUSE	1.0	1.0	1.0	1.0	MOUSE	1364120.4	1379670.6	2844007.8	3057400.0	735808.3	1094455.6	867239.75	615964.06	749067.9	1497078.4	1979858.2	925794.5	1086513.2	1280129.8	1560889.4	668642.3	697005.4	1078753.9	1138617.4	1105852.9	468556.34	799777.3	925503.5	1680016.4	1967025.1	1027439.94	1731006.6	899487.9	1789213.8	1228489.9
A0A075B5N7;A0A0G2JGY3	Igkv6-13	A0A075B5N7_MOUSE;A0A0G2JGY3_MOUSE	1.5	1.5	1.25	0.8333333333333334	MOUSE	66722.87	123927.14	283440.78	236947.5		14261.821	10894.312	8585.074	78225.625	218581.38	106086.7	121673.8	757337.44	373359.22	14438.352		28978.852	169261.11	47712.668	60575.65	11510.768	35934.074	38738.98	61427.273	134774.39	121895.13	18061.326	11809.181	5502.9062	18478.525
A0A075B5P1	Igkv3-1	A0A075B5P1_MOUSE	0.375	0.5	0.0	0.0	MOUSE	28796.146			25983.14						25350.963	31859.375						13761.971								25032.715	11941.35				
A0A075B5Q9;A0A0A6YWC7	Ighv5-15	A0A075B5Q9_MOUSE;A0A0A6YWC7_MOUSE	1.0	1.0	1.25	1.0	MOUSE	544037.5	1017412.06	1797834.1	1786496.6	791097.25	534271.94	555258.4	591889.2	214484.0	752341.44	964093.4	1105488.1	1013477.75	600759.6	458342.03	398178.84	254492.11	660995.1	789801.0	488784.9	590673.0	336067.8	330566.56	988187.6	672090.56	885779.06	929585.5	671615.44	859791.56	425764.06
A0A075B5R5	Ighv4-1	A0A075B5R5_MOUSE	1.75	2.0	2.25	1.8333333333333333	MOUSE	2416926.2	3237570.5	7044399.0	4604563.5	1004616.56	642521.9	341840.88	681345.5	1784284.1	3491501.5	1984454.8	2489097.2	650808.9	624402.25	360950.88	348133.66	1016894.44	2493624.2	5653054.5	3950235.0	740304.06	495090.3	1757850.6	2739593.8	6758166.0	5198904.0	909007.06	976699.56	1259020.2	663968.0
A0A075B5S9;A0A0A6YWH6;A0A0B4J1J4;A0A0B4J1J5	Ighv9-2;Ighv9-3;Ighv9-4	A0A075B5S9_MOUSE;A0A0A6YWH6_MOUSE;A0A0B4J1J4_MOUSE;A0A0B4J1J5_MOUSE	0.75	1.0	0.5	0.0	MOUSE		212473.45	238042.33	511352.3	44417.895				55583.19	173837.25	283147.4	186144.25	43347.11					137679.14	184534.86	168844.83	45162.492		97904.12	279413.38	182450.61	314000.38		21868.588		
A0A075B5U6;A0A0A6YX66	Ighv1-20	A0A075B5U6_MOUSE;A0A0A6YX66_MOUSE	0.125	0.25	0.25	0.3333333333333333	MOUSE	9980.491						3311.0142	6494.947					8114.389	7224.4775						7331.2207						16654.865				
A0A075B6H9	IGLV4-69	LV469_HUMAN	0.625	0.875	0.0	0.0	HUMAN			23141.54	292255.47					100193.3	67096.57	106498.62						85784.445		207010.61	193740.31			117811.016	167938.39	204223.67	89535.96				
A0A075B6I0	IGLV8-61	LV861_HUMAN	0.25	0.375	0.75	0.16666666666666666	HUMAN			55493.05					69523.195					3131258.2	2396265.5				55477.69						79653.99	206048.31	163327.58				
