Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
A7E2V4	ZSWIM8	2.31548335084144	0.0087159942977363	No	No
O00193	SMAP	1.86967647116339	0.0012967161500195	No	No
O00743	PPP6C	1.927722497779	3.03904711808213e-07	No	No
O14965	AURKA	2.26313778036454	1.1963912670754e-08	No	No
O43164	PJA2	3.51355330841785	0.0083448929267335	No	No
O43379	WDR62	1.8158140368342	2.66517129856188e-05	No	No
O75170	PPP6R2	1.93703819402464	1.54148494341016e-05	No	No
O75362	ZNF217	4.78642407311827	1.75807388609354e-06	No	No
O94887	FARP2	2.40197005447534	0.0026829633643143	No	No
P14921	ETS1	2.09278173469049	1.98648386346842e-06	No	No
P19838	NFKB1	2.09240037745677	0.0002735675287245	No	No
P32519	ELF1	5.12827465424442	0.0002047886372391	No	No
P35556	FBN2	4.69749804744029	7.39281110958108e-07	No	No
P41161	ETV5	2.40727930754757	0.0001965492303078	No	No
P42336	PIK3CA	2.10772616676081	0.000254761486414	No	No
P50336	PPOX	2.11830750596659	0.002481435554191	No	No
Q01201	RELB	1.10142289386513	0.0001238024864743	No	No
Q13459	MYO9B	1.62044439174083	2.07064805854815e-05	No	No
Q14934	NFATC4	3.46311006664729	9.12718438756648e-12	No	No
Q16543	CDC37	1.60997478853041	1.11499683834437e-06	No	No
Q5H9R7	PPP6R3	1.91802630114892	5.07569295272221e-07	No	No
Q5T5Y3	CAMSAP1	1.49460005261874	0.0065957523277017	No	No
Q5W0B1	OBI1	1.15051325005881	7.45717749805116e-05	No	No
Q6ULP2	AFTPH	3.16433940973736	1.12479156265783e-06	No	No
Q6ZSR9	gene	1.56817976750071	0.0015910076916549	No	No
Q7Z5K2	WAPL	1.91560649217568	0.0082041888967458	No	No
Q8IW35	CEP97	2.36526020098887	9.36704636586624e-09	No	No
Q8N6T3	ARFGAP1	1.80904857346475	0.0028634218226561	No	No
Q8N961	ABTB2	2.51025909683904	1.46622801230772e-05	No	No
Q8WYA1	BMAL2	1.13632601807443	0.0035901395427633	No	No
Q92870	APBB2	2.59244509269671	1.89061118848869e-05	No	No
Q96BY7	ATG2B	2.05979044264132	0.0079497257960579	No	No
Q96C92	ENTR1	2.42852794489612	4.79709246001366e-07	No	No
Q96DU7	ITPKC	2.04618170484411	0.0069259261120328	No	No
Q96IZ5	RBM41	1.86257942063917	0.0014933490171023	No	No
Q96K76	USP47	2.14009378538293	0.0009670524032482	No	No
Q96Q42	ALS2	2.59958179520673	0.0010472621120355	No	No
Q96RF0	SNX18	2.59075929692694	1.13371634403645e-07	No	No
Q96RG2	PASK	4.29261629879079	1.21142404366674e-05	No	No
Q9BPZ3	PAIP2	0.95148862968821	0.0080764104540252	No	No
Q9BZF3	OSBPL6	3.4090129129505	0.0003270185981214	No	No
Q9C0C2	TNKS1BP1	2.50655497152602	5.03976891906067e-11	No	No
Q9H7T9	AUNIP	2.08316950648067	5.32126477768492e-06	No	No
Q9H8H0	NOL11	2.48887704358808	9.06404827474395e-06	No	No
Q9NT62	ATG3	2.24774967330189	0.0003834288436416	No	No
Q9NYA4	MTMR4	4.17160549334654	1.28942064938675e-05	No	No
Q9NZ09	UBAP1	1.74266833940414	0.000368802031319	No	No
Q9UJM3	ERRFI1	2.19243528792184	7.76201984400825e-08	No	No
Q9UKI2	CDC42EP3	1.95579965067925	0.0002296123069633	No	No
Q9UKS7	IKZF2	2.22849655268663	2.76672997713706e-06	No	No
Q9ULW0	TPX2	1.36974834985146	0.0010176811817937	No	No
Q9UPY3	DICER1	3.08634759248133	2.20226804099769e-06	No	No
Q9Y4F1	FARP1	2.91206829633752	0.0010698627341129	No	No
Q9Y5X1	SNX9	2.84528882067833	1.3975092778420599e-12	No	No
A8K855	EFCAB7	-1.14197817762967	0.0006023468004931	No	No
O43463	SUV39H1	-5.50213883515801	0.0001654382305639	No	No
O60930	RNASEH1	-3.29349354133409	0.0020311203898316	No	No
P00734	F2	-3.07827588424305	0.0046002802101001	No	No
P10253	GAA	-3.79419682118787	0.0009499006935757	No	No
P55058	PLTP	-2.45648601864588	0.0002376935752186	No	No
Q00796	SORD	-2.49859815205472	0.0001714236051079	No	No
Q13586	STIM1	-3.38350752923548	0.0023624249999913	No	No
Q7Z3J2	VPS35L	-3.31303431130587	0.000936725025842	No	No
Q96ST2	IWS1	-2.45619173813856	0.0054317797234847	No	No
Q9UPY8	MAPRE3	-5.29179541456991	0.0030093149162515	No	No
