Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
A6NFI3	ZNF316	2.55727654181309	0.0003637602266894	No	No
A7E2V4	ZSWIM8	4.23752176366684	1.7142035038507e-05	No	No
E9PRG8	C11orf98	2.74214796797816	3.13858960473876e-06	No	No
O00178	GTPBP1	2.24379622765063	1.52509588000889e-05	No	No
O00193	SMAP	2.12226932382861	0.0003575009352151	No	No
O00257	CBX4	3.85884708914604	6.56666519672997e-14	No	No
O00411	POLRMT	2.16526504039029	0.0016635769108911	No	No
O00423	EML1	4.67707887073789	1.32584912163431e-06	No	No
O00468	AGRN	4.04137261155343	0.0006706785655144	No	No
O00541	PES1	2.22527021997992	3.54770761366935e-05	No	No
O00562	PITPNM1	4.62360747459164	1.8024991649973498e-11	No	No
O00566	MPHOSPH10	4.28796322670465	1.36015463853225e-07	No	No
O00567	NOP56	2.06483833494556	0.0001057700096557	No	No
O00622	CCN1	3.23455294191016	4.27387044950813e-05	No	No
O00743	PPP6C	2.5481165965111	1.3300253818919501e-09	No	No
O14523	C2CD2L	4.01232843609366	6.51210884331396e-07	No	No
O14640	DVL1	2.74314957543304	0.0010413417665786	No	No
O14802	POLR3A	3.4565460790353	2.52051468262628e-07	No	No
O14924	RGS12	5.17576244254126	0.00265502002719	No	No
O14965	AURKA	6.88748370089821	1.66412398164872e-20	No	No
O15040	TECPR2	4.50129031160111	3.71170070246526e-13	No	No
O15042	U2SURP	4.19574950113212	9.790256878117292e-15	No	No
O15116	LSM1	2.46505200688684	7.95875026943831e-05	No	No
O15160	POLR1C	2.81932852378402	1.99950906962041e-10	No	No
O15169	AXIN1	2.73970828919805	6.91776455452561e-05	No	No
O15213	WDR46	3.75807721771129	2.01385202193611e-07	No	No
O15234	CASC3	4.13277368575765	2.12127763609634e-07	No	No
O15235	MRPS12	3.83712112161258	2.37225071276582e-12	No	No
O15381	NVL	2.28666112979029	0.0089556589819409	No	No
O15392	BIRC5	5.43418393218036	6.997059295153321e-09	No	No
O15446	POLR1G	2.76715124978097	7.11635453697391e-06	No	No
O15504	NUP42	3.04972205177914	0.0010457439620543	No	No
O15516	CLOCK	3.7546233092718	1.18917225646039e-08	No	No
O43143	DHX15	3.03031615929518	1.25286802105555e-10	No	No
O43159	RRP8	3.27452183217743	1.73643045119594e-06	No	No
O43164	PJA2	4.50462732311764	0.0010872043384937	No	No
O43290	SART1	2.3742827835072	2.50265667419887e-05	No	No
O43314	PPIP5K2	2.42724210440695	0.0005759823823065	No	No
O43379	WDR62	4.33072312318128	1.29013410112985e-12	No	No
O43660	PLRG1	3.0608428190185	2.91738657510065e-13	No	No
O43709	BUD23	2.25793674277263	7.44645238430527e-05	No	No
O43791	SPOP	4.4901679252857	4.14829668705965e-12	No	No
O43818	RRP9	3.66451385972586	1.26608463918747e-09	No	No
O60281	ZNF292	3.88143767514213	2.27682075795954e-05	No	No
O60293	ZFC3H1	4.52688080791188	4.48544079912615e-06	No	No
O60294	LCMT2	2.8051916796388	0.001205700001119	No	No
O60336	MAPKBP1	2.77923773787444	1.46760545892943e-08	No	No
O60832	DKC1	2.97642198299886	1.06821425751746e-06	No	No
O75122	CLASP2	2.21101637738381	2.5843730396703203e-09	No	No
O75151	PHF2	3.78732757512636	3.79068356951481e-05	No	No
O75152	ZC3H11A	2.3031372062375	3.38762731697417e-05	No	No
O75153	CLUH	4.52499687770499	3.14067050517049e-17	No	No
O75167	PHACTR2	7.06792412303237	4.11987545912198e-12	No	No
O75170	PPP6R2	2.93105519018175	1.2586228843202e-08	No	No
O75342	ALOX12B	2.05584107516589	0.004025235998402	No	No
O75362	ZNF217	5.29027250363113	3.21013669420772e-07	No	No
O75410	TACC1	2.27412679293417	1.70200932065188e-05	No	No
O75431	MTX2	2.14020971150726	9.25614549290902e-06	No	No
O75475	PSIP1	2.07385576848891	0.0011608144987693	No	No
O75529	TAF5L	2.04616656358704	0.0032754701916652	No	No
O75530	EED	3.30081048887479	0.0046177128372213	No	No
O75533	SF3B1	3.97681365258205	7.15947485511731e-13	No	No
O75554	WBP4	6.7236341194666	2.55125115506648e-06	No	No
O75575	CRCP	3.14313609135306	5.82541983351143e-08	No	No
O75581	LRP6	2.8226628704201	0.0001150918656935	No	No
O75683	SURF6	3.00238203415952	6.99317074745412e-08	No	No
O75691	UTP20	2.63797258781374	0.0002270059969909	No	No
O75817	POP7	3.16289594166237	8.80143325550518e-06	No	No
O75818	RPP40	2.83188406932184	2.12000252710915e-06	No	No
O75909	CCNK	2.27029816303559	0.0071094239322109	No	No
O75934	BCAS2	3.8812812271982	3.7623859132226903e-14	No	No
O75937	DNAJC8	2.47817234313891	0.0007456819971248	No	No
O75940	SMNDC1	4.53671403944769	8.196389122434239e-11	No	No
O76021	RSL1D1	2.89544572243684	7.38299174084583e-07	No	No
O94761	RECQL4	3.74522697700458	6.67897400517592e-05	No	No
O94842	TOX4	2.3811242003549	0.0024336588084167	No	No
O94880	PHF14	2.78112596245588	2.66211208504331e-05	No	No
O94887	FARP2	3.2199313010945	0.0001346102380297	No	No
O95067	CCNB2	4.26924484815327	1.70936286596945e-06	No	No
O95084	PRSS23	3.03575807260404	0.0018970649908411	No	No
O95229	ZWINT	6.21342173208907	1.93151924615855e-08	No	No
O95363	FARS2	2.19974339648527	6.28541276768084e-05	No	No
O95391	SLU7	2.65525087566085	1.11843876899241e-05	No	No
O95429	BAG4	3.60487859290458	5.4204107823308e-06	No	No
O95445	APOM	2.29135871341696	6.87440138559495e-05	No	No
O95453	PARN	3.10675404359851	1.00897254169585e-07	No	No
O95478	NSA2	4.26532617296535	1.26361998983158e-07	No	No
O95503	CBX6	3.99839934707566	4.96278084137885e-08	No	No
O95625	ZBTB11	2.88692920665247	0.0046356661579378	No	No
O95707	POP4	2.4976875751318	1.23696031137858e-06	No	No
O95777	LSM8	2.12504539275873	0.0001266996958501	No	No
O95793	STAU1	2.06704621160581	7.156657996005679e-11	No	No
O95872	GPANK1	3.67103697015025	2.17621859255626e-09	No	No
O95900	TRUB2	2.7477519376217	0.0001374730442416	No	No
O95926	SYF2	3.71525399917907	9.69162828165666e-05	No	No
O95985	TOP3B	3.15780174066705	1.2506362152609802e-09	No	No
O96013	PAK4	3.61037886263244	2.08584374323928e-12	No	No
O96028	NSD2	2.15655220279839	0.0047000638943512	No	No
P00742	F10	3.84829990889801	3.0561292276831297e-12	No	No
P00747	PLG	2.90032783562683	1.0245540932272e-05	No	No
P01031	C5	2.62700025112697	0.001542935102372	No	No
P04040	CAT	4.47159821837419	4.55686798263995e-14	No	No
P04196	HRG	3.64100790326656	2.66122163446856e-05	No	No
P05423	POLR3D	2.49552998027559	1.66325068926512e-05	No	No
P07358	C8B	7.50275044904868	1.15040690774968e-16	No	No
P08579	SNRPB2	3.26047427921691	1.24293196644153e-07	No	No
P09001	MRPL3	2.9584888624504	4.5837055166065296e-11	No	No
P09661	SNRPA1	3.33645973676668	1.62199301803115e-08	No	No
P0C0L4	C4A	2.14915168005936	0.0003663556951965	No	No
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ	2.30672417681093	0.0034610448567344	No	No
P0C1Z6	TFPT	3.73478077959631	1.03663508254123e-06	No	No
P0CAP2	POLR2M	2.15977748761642	0.0003806934873561	No	No
P0DPB6	POLR1D	3.38710369935366	1.42311821290219e-06	No	No
P10588	NR2F6	4.27317381071892	2.33140825765091e-06	No	No
P10589	NR2F1	4.47333544137029	2.1962914123344e-13	No	No
P10643	C7	5.35504108865969	5.70867382070762e-13	No	No
P11387	TOP1	2.24083857672684	0.0022924374782886	No	No
P13994	YJU2B	2.76418183635192	0.0003312798493742	No	No
P14921	ETS1	2.3170371330217	3.5559549068192e-07	No	No
P16989	YBX3	2.7640067284305	1.55569120503224e-10	No	No
P17480	UBTF	2.20801451058954	0.0011218072686979	No	No
P18583	SON	2.17236416576371	6.32537880416666e-07	No	No
P18615	NELFE	2.04195906797602	0.0022224377079531	No	No
P18850	ATF6	2.44067992617743	0.0016468295899228	No	No
P19022	CDH2	2.80808114488796	3.67217862523248e-05	No	No
P19838	NFKB1	2.96073542959383	2.40111739702894e-06	No	No
P20042	EIF2S2	2.24825473322909	1.06704510402482e-05	No	No
P20338	RAB4A	3.19986806944601	3.56685922438885e-05	No	No
P22087	FBL	2.73998778015925	1.11052834899833e-06	No	No
P23258	TUBG1	2.93971945815325	4.13826991180625e-08	No	No
P24468	NR2F2	4.14501804335856	1.30544912535708e-13	No	No
P25054	APC	2.65227067684998	1.89408737453396e-06	No	No
P27169	PON1	2.39747469178582	2.4283626017469e-07	No	No
P27658	COL8A1	2.78410285126528	2.88784455569087e-06	No	No
P29375	KDM5A	2.27517086221522	0.0075002817638382	No	No
P32519	ELF1	8.64635753693964	7.38417226258395e-08	No	No
P35221	CTNNA1	4.58942335268089	6.870952767374771e-15	No	No
P35222	CTNNB1	2.05034338102802	2.2723484564748504e-09	No	No
P35226	BMI1	7.17153106871482	4.8341531945996405e-17	No	No
P35227	PCGF2	4.02963775948984	1.5868242814941198e-11	No	No
P35555	FBN1	2.55623597457827	0.0037771757778533	No	No
P35556	FBN2	6.75566052547617	6.56627482377239e-10	No	No
P35612	ADD2	2.66481487122023	1.0997170308020198e-11	No	No
P35637	FUS	2.3920390553327	1.90444485197768e-09	No	No
P38159	RBMX	2.05611549962101	3.07151226378207e-07	No	No
P38432	COIL	2.19555704122199	0.0002886766830004	No	No
P38935	IGHMBP2	3.87845830179896	0.0001667546727114	No	No
P41161	ETV5	3.3962487345162	1.57818706606436e-06	No	No
P41212	ETV6	3.11649152645434	7.0367657855166e-11	No	No
P41223	BUD31	2.38607326566432	0.0014865315349433	No	No
P41440	SLC19A1	7.77808147149701	3.76558168364015e-16	No	No
P42336	PIK3CA	3.70929426756382	4.67044498761671e-08	No	No
P42696	RBM34	3.88869728526829	2.48768405489742e-06	No	No
P42766	RPL35	2.08326084604519	8.51972038438417e-07	No	No
P45973	CBX5	2.18518714320934	0.0001410401426551	No	No
P46063	RECQL	4.26565011453539	1.40613250791274e-17	No	No
P46087	NOP2	2.56017953234027	2.8625891706439e-05	No	No
P46781	RPS9	2.1130863170056	3.00245878081623e-11	No	No
P47914	RPL29	2.22126529925304	4.87313521310016e-09	No	No
P48634	PRRC2A	2.54384237278267	1.05835206354287e-12	No	No
P49354	FNTA	3.76994655901904	1.48956801551521e-07	No	No
P49356	FNTB	2.11319085913821	0.0008661527448223	No	No
P49406	MRPL19	3.3298736596484	1.1604404368171399e-11	No	No
P49757	NUMB	2.13139602083342	0.0083327103491898	No	No
P49770	EIF2B2	2.06190586718679	0.0019743019179056	No	No
P50336	PPOX	2.31676844085711	0.0011019477067422	No	No
P52298	NCBP2	2.23432443201548	2.9989857432973804e-09	No	No
P52741	ZNF134	4.23197355827397	1.87349971716973e-06	No	No
P52756	RBM5	3.70143353558569	1.18146193347636e-07	No	No
P52815	MRPL12	2.42281397598801	1.86455421525623e-07	No	No
P52888	THOP1	2.30619845613913	0.0007981047830763	No	No
P53582	METAP1	2.327335156171	0.0029159450566692	No	No
P53671	LIMK2	3.76065413727662	0.000275445743415	No	No
P54132	BLM	2.65930747528538	0.0017988278355964	No	No
P54253	ATXN1	4.89388334897703	1.02175721122168e-10	No	No
P54259	ATN1	2.95347723346253	2.6872939868960397e-11	No	No
P55081	MFAP1	2.65965136963633	0.0003418550588074	No	No
P55199	ELL	3.6967206243893	1.7445190003823e-05	No	No
P55285	CDH6	4.03174343661367	2.9597576209619597e-11	No	No
P55769	SNU13	2.36532567206568	2.23116663694122e-07	No	No
P56177	DLX1	4.05062702558109	0.000140832889204	No	No
P56182	RRP1	4.38431649533085	5.99200076294483e-06	No	No
P60484	PTEN	2.88504577434761	0.0001092407885259	No	No
P61247	RPS3A	2.48653743005829	3.2413364790637496e-11	No	No
P61254	RPL26	2.45845120094771	2.87142872178772e-11	No	No
P61513	RPL37A	2.79986687060995	2.15565615368208e-07	No	No
P62277	RPS13	2.60667072229097	9.35819789022236e-13	No	No
P62312	LSM6	2.24206542054659	0.0001655300543121	No	No
P62314	SNRPD1	3.29909914535914	3.0252896208485e-09	No	No
P62316	SNRPD2	2.09324799200018	1.6779017033718e-07	No	No
P62750	RPL23A	2.90839707611612	6.78994725080765e-10	No	No
P62753	RPS6	2.08135519470758	3.82635980288941e-09	No	No
P62841	RPS15	2.43957030143762	1.3966220352489402e-09	No	No
P62847	RPS24	2.83823027268276	4.91111912409786e-08	No	No
P62861	FAU	2.31938654815172	0.0006547969990759	No	No
P62899	RPL31	2.85544915274643	5.57936716190343e-10	No	No
P67809	YBX1	2.72277482871598	5.44101830826357e-10	No	No
P68431;P84243;Q71DI3	H3-3A;H3C1;H3C15	2.26930301202709	0.0070028083892083	No	No
P78312	FAM193A	5.97911331969151	9.01884662506344e-08	No	No
P78316	NOP14	4.72579136211079	9.54226131778683e-08	No	No
P78332	RBM6	3.56432524608345	5.93563299168446e-14	No	No
P78345	RPP38	2.51583181503364	3.90204324179246e-05	No	No
P78347	GTF2I	3.94405472852994	3.98122954904945e-12	No	No
P78362	SRPK2	2.99659878582576	7.39820969915082e-08	No	No
P78364	PHC1	5.69523465804756	4.37852538957697e-17	No	No
P78524	DENND2B	4.39904862332287	0.0003166548381925	No	No
P82675	MRPS5	2.97194040357381	1.23572274877276e-05	No	No
P82914	MRPS15	2.48774450292035	6.55665285455056e-07	No	No
P83881	RPL36A	3.17040143914377	2.45171092617415e-08	No	No
P84022	SMAD3	2.33999880621127	1.55665655583218e-08	No	No
P84098	RPL19	2.05511056447208	1.12399496499229e-07	No	No
P98175	RBM10	8.58634665530541	1.93958369915363e-22	No	No
Q00059	TFAM	2.16541404680214	8.46962824221264e-05	No	No
Q00577	PURA	2.30823521877721	4.01398309434367e-08	No	No
Q00653	NFKB2	3.18254487240434	8.780486434213239e-13	No	No
Q01081	U2AF1	2.12411667299365	1.46870429510889e-06	No	No
Q01201	RELB	6.2810196992692	3.78200741106439e-21	No	No
Q02086	SP2	5.79760778588213	2.89422847877016e-18	No	No
Q02818	NUCB1	5.25297692472326	0.0011868474571332	No	No
Q03113	GNA12	2.41074728189303	7.04090695406957e-06	No	No
Q03169	TNFAIP2	4.11445136304204	4.84849769877042e-14	No	No
Q03188	CENPC	3.62506163544213	2.47174118197665e-05	No	No
Q03468	ERCC6	4.20279224689099	6.56284482605659e-08	No	No
Q03701	CEBPZ	2.74652712686833	0.0012061935058003	No	No
Q06265	EXOSC9	2.46324849720746	6.52884220326629e-07	No	No
Q06587	RING1	2.07177937458206	0.0012625722185092	No	No
Q06787	FMR1	2.65512016867409	1.28039567302596e-09	No	No
Q08AD1	CAMSAP2	5.95962208930926	8.30345099444681e-20	No	No
Q08AG7	MZT1	3.89791769725818	4.1845033439752106e-09	No	No
Q0PNE2	ELP6	2.72488895153904	5.41833742704254e-07	No	No
Q0VG06	FAAP100	2.52343654162417	3.94090838074759e-08	No	No
Q12788	TBL3	2.61980798052746	5.84095290264788e-05	No	No
Q12830	BPTF	2.30831714015453	2.38567370536036e-05	No	No
Q12846	STX4	2.74692675462842	0.0034739577954742	No	No
Q12857	NFIA	5.31598833094725	2.06790575041302e-06	No	No
Q12872	SFSWAP	5.7184912367559	7.80651834745084e-13	No	No
Q12874	SF3A3	2.52434768939846	1.33474533385323e-08	No	No
Q12899	TRIM26	2.5231392058351	0.0002718087380458	No	No
Q12986	NFX1	3.27721930754514	7.44637315115065e-08	No	No
Q13084	MRPL28	3.94345030125548	6.1360838153467e-08	No	No
Q13118	KLF10	2.75526487579102	0.0003347841560988	No	No
Q13144	EIF2B5	3.01642372737509	0.0099297588669443	No	No
Q13206	DDX10	3.43113502081538	1.00877773311856e-06	No	No
Q13243	SRSF5	2.35687804509185	1.33343625070906e-05	No	No
Q13283	G3BP1	3.70711236431022	5.53124396740352e-16	No	No
Q13405	MRPL49	4.59434257771569	1.8728851639256398e-11	No	No
Q13435	SF3B2	4.57017574169754	9.8178269385364e-16	No	No
Q13459	MYO9B	2.6689628483857	3.44684138934775e-09	No	No
Q13472	TOP3A	2.79695753790091	0.0002514739777723	No	No
Q13492	PICALM	4.09992697478749	2.28052426460355e-12	No	No
Q13574	DGKZ	3.42212233413413	0.0002935392230357	No	No
Q13601	KRR1	3.54401238338888	5.14223479012518e-07	No	No
Q13610	PWP1	2.79104295101442	7.50890372081827e-07	No	No
Q13823	GNL2	3.67034703452054	2.21194536559164e-05	No	No
Q13835	PKP1	2.4920771798576	0.009125595177171	No	No
Q13895	BYSL	2.85522571023891	2.90964009827263e-08	No	No
Q13901	C1D	3.71948320066114	1.14627977755363e-08	No	No
Q14135	VGLL4	6.31525111417151	6.75523857357581e-15	No	No
Q14137	BOP1	2.18323077376125	2.13845089912208e-05	No	No
Q14146	URB2	2.81887534790904	0.0003000471324859	No	No
