Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Hexose Metabolic Process (GO:0019318)	6.482298e-04	3.666092e-02	0	0	6.794203e+01	4.987805e+02	GAA;SORD
GO_Biological_Process_2025	Glucose Metabolic Process (GO:0006006)	7.571418e-04	3.666092e-02	0	0	6.248889e+01	4.490427e+02	GAA;SORD
GO_Biological_Process_2025	Positive Regulation of Lyase Activity (GO:0051349)	1.556720e-03	3.666092e-02	0	0	inf	inf	STIM1
GO_Biological_Process_2025	Regulation of Store-Operated Calcium Entry (GO:2001256)	3.111248e-03	3.666092e-02	0	0	7.054000e+02	4.072085e+03	STIM1
GO_Biological_Process_2025	Positive Regulation of Store-Operated Calcium Channel Activity (GO:1901341)	3.111248e-03	3.666092e-02	0	0	7.054000e+02	4.072085e+03	STIM1
GO_Biological_Process_2025	Store-Operated Calcium Entry (GO:0002115)	3.111248e-03	3.666092e-02	0	0	7.054000e+02	4.072085e+03	STIM1
GO_Biological_Process_2025	Enamel Mineralization (GO:0070166)	3.111248e-03	3.666092e-02	0	0	7.054000e+02	4.072085e+03	STIM1
GO_Biological_Process_2025	Tooth Mineralization (GO:0034505)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	STIM1
GO_Biological_Process_2025	Regulation of Adenylate Cyclase Activity (GO:0045761)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	STIM1
GO_Biological_Process_2025	Detection of Calcium Ion (GO:0005513)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	STIM1
GO_Biological_Process_2025	Fructose Metabolic Process (GO:0006000)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	SORD
GO_Biological_Process_2025	Positive Regulation of Cyclase Activity (GO:0031281)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	STIM1
GO_Biological_Process_2025	Glycolipid Transport (GO:0046836)	4.663580e-03	3.666092e-02	0	0	3.526500e+02	1.893015e+03	PLTP
GO_Biological_Process_2025	Regulation of Angiogenesis (GO:0045765)	6.203133e-03	3.666092e-02	0	0	2.040643e+01	1.037198e+02	RNASEH1;STIM1
GO_Biological_Process_2025	Epigenetic Programming in the Zygotic Pronuclei (GO:0044725)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	SUV39H1
GO_Biological_Process_2025	Positive Regulation of Protein Localization to Cilium (GO:1903566)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	EFCAB7
GO_Biological_Process_2025	Positive Regulation of Adenylate Cyclase Activity (GO:0045762)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	STIM1
GO_Biological_Process_2025	Positive Regulation of Cyclin-Dependent Protein Kinase Activity (GO:1904031)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	MAPRE3
GO_Biological_Process_2025	Positive Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	MAPRE3
GO_Biological_Process_2025	Glucan Catabolic Process (GO:0009251)	6.213716e-03	3.666092e-02	0	0	2.350667e+02	1.194373e+03	GAA
GO_Biological_Process_2025	Transcription Elongation-Coupled Chromatin Remodeling (GO:0140673)	7.761658e-03	3.982068e-02	0	0	1.762750e+02	8.564425e+02	IWS1
GO_Biological_Process_2025	Facultative Heterochromatin Formation (GO:0140718)	7.761658e-03	3.982068e-02	0	0	1.762750e+02	8.564425e+02	SUV39H1
GO_Biological_Process_2025	rDNA Heterochromatin Formation (GO:0000183)	7.761658e-03	3.982068e-02	0	0	1.762750e+02	8.564425e+02	SUV39H1
GO_Biological_Process_2025	Ceramide Transport (GO:0035627)	9.307409e-03	4.177992e-02	0	0	1.410000e+02	6.594492e+02	PLTP
GO_Biological_Process_2025	Epigenetic Programming of Gene Expression (GO:0043045)	9.307409e-03	4.177992e-02	0	0	1.410000e+02	6.594492e+02	SUV39H1
GO_Biological_Process_2025	Nucleolar Chromatin Organization (GO:1990700)	9.307409e-03	4.177992e-02	0	0	1.410000e+02	6.594492e+02	SUV39H1
GO_Biological_Process_2025	Carbohydrate Derivative Transport (GO:1901264)	1.085097e-02	4.177992e-02	0	0	1.174833e+02	5.314359e+02	PLTP
GO_Biological_Process_2025	Regulation of Ribonucleoprotein Complex Localization (GO:2000197)	1.085097e-02	4.177992e-02	0	0	1.174833e+02	5.314359e+02	IWS1
GO_Biological_Process_2025	Cardiac Muscle Contraction (GO:0060048)	1.085097e-02	4.177992e-02	0	0	1.174833e+02	5.314359e+02	GAA
GO_Biological_Process_2025	Regulation of mRNA Export From Nucleus (GO:0010793)	1.085097e-02	4.177992e-02	0	0	1.174833e+02	5.314359e+02	IWS1
GO_Biological_Process_2025	High-Density Lipoprotein Particle Remodeling (GO:0034375)	1.239235e-02	4.177992e-02	0	0	1.006857e+02	4.420784e+02	PLTP
GO_Biological_Process_2025	Amide Transport (GO:0042886)	1.239235e-02	4.177992e-02	0	0	1.006857e+02	4.420784e+02	PLTP
GO_Biological_Process_2025	Protein Localization to Microtubule (GO:0035372)	1.239235e-02	4.177992e-02	0	0	1.006857e+02	4.420784e+02	MAPRE3
GO_Biological_Process_2025	Protein Localization to Microtubule Cytoskeleton (GO:0072698)	1.239235e-02	4.177992e-02	0	0	1.006857e+02	4.420784e+02	MAPRE3
GO_Biological_Process_2025	Striated Muscle Contraction (GO:0006941)	1.239235e-02	4.177992e-02	0	0	1.006857e+02	4.420784e+02	GAA
GO_Biological_Process_2025	Heart Contraction (GO:0060047)	1.393154e-02	4.566450e-02	0	0	8.808750e+01	3.764507e+02	GAA
GO_Biological_Process_2025	Regulation of Actin Nucleation (GO:0051125)	1.546855e-02	4.893658e-02	0	0	7.828889e+01	3.263822e+02	RNASEH1
GO_Biological_Process_2025	Regulation of Metal Ion Transport (GO:0010959)	1.700339e-02	4.893658e-02	0	0	7.045000e+01	2.870374e+02	STIM1
GO_Biological_Process_2025	Positive Regulation of Cholesterol Efflux (GO:0010875)	1.700339e-02	4.893658e-02	0	0	7.045000e+01	2.870374e+02	PLTP
GO_Biological_Process_2025	Positive Regulation of Cholesterol Transport (GO:0032376)	1.700339e-02	4.893658e-02	0	0	7.045000e+01	2.870374e+02	PLTP
GO_Biological_Process_2025	Glycogen Metabolic Process (GO:0005977)	1.700339e-02	4.893658e-02	0	0	7.045000e+01	2.870374e+02	GAA
GO_Biological_Process_2025	Glycogen Catabolic Process (GO:0005980)	1.853605e-02	5.207747e-02	0	0	6.403636e+01	2.553794e+02	GAA
GO_Biological_Process_2025	Regulation of RNA Export From Nucleus (GO:0046831)	2.006654e-02	5.381480e-02	0	0	5.869167e+01	2.294082e+02	IWS1
GO_Biological_Process_2025	Regulation of Cholesterol Efflux (GO:0010874)	2.006654e-02	5.381480e-02	0	0	5.869167e+01	2.294082e+02	PLTP
GO_Biological_Process_2025	Hexose Biosynthetic Process (GO:0019319)	2.159485e-02	5.421687e-02	0	0	5.416923e+01	2.077553e+02	SORD
GO_Biological_Process_2025	Organophosphate Ester Transport (GO:0015748)	2.159485e-02	5.421687e-02	0	0	5.416923e+01	2.077553e+02	PLTP
GO_Biological_Process_2025	Regulation of mRNA Metabolic Process (GO:1903311)	2.159485e-02	5.421687e-02	0	0	5.416923e+01	2.077553e+02	IWS1
GO_Biological_Process_2025	Lytic Vacuole Organization (GO:0080171)	2.312100e-02	5.567915e-02	0	0	5.029286e+01	1.894539e+02	GAA
GO_Biological_Process_2025	poly(A)+ mRNA Export From Nucleus (GO:0016973)	2.312100e-02	5.567915e-02	0	0	5.029286e+01	1.894539e+02	IWS1
GO_Biological_Process_2025	Regulation of Calcium Ion Transport (GO:0051924)	2.464499e-02	5.702174e-02	0	0	4.693333e+01	1.738027e+02	STIM1
GO_Biological_Process_2025	Regulation of Vasculature Development (GO:1901342)	2.464499e-02	5.702174e-02	0	0	4.693333e+01	1.738027e+02	RNASEH1
GO_Biological_Process_2025	Regulation of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	2.616682e-02	5.937854e-02	0	0	4.399375e+01	1.602808e+02	RNASEH1
GO_Biological_Process_2025	Lysosome Organization (GO:0007040)	2.920399e-02	6.381613e-02	0	0	3.909444e+01	1.381383e+02	GAA
GO_Biological_Process_2025	Regulation of Protein Polymerization (GO:0032271)	2.920399e-02	6.381613e-02	0	0	3.909444e+01	1.381383e+02	MAPRE3
GO_Biological_Process_2025	Regulation of Microtubule Polymerization or Depolymerization (GO:0031110)	3.071935e-02	6.473006e-02	0	0	3.703158e+01	1.289759e+02	MAPRE3
GO_Biological_Process_2025	Regulation of Supramolecular Fiber Organization (GO:1902903)	3.071935e-02	6.473006e-02	0	0	3.703158e+01	1.289759e+02	MAPRE3
GO_Biological_Process_2025	Positive Regulation of Protein Import Into Nucleus (GO:0042307)	3.374362e-02	6.865080e-02	0	0	3.349524e+01	1.135142e+02	EFCAB7
GO_Biological_Process_2025	Positive Regulation of Kinase Activity (GO:0033674)	3.374362e-02	6.865080e-02	0	0	3.349524e+01	1.135142e+02	MAPRE3
GO_Biological_Process_2025	RNA Stabilization (GO:0043489)	3.675930e-02	7.282490e-02	0	0	3.057391e+01	1.009968e+02	RNASEH1
GO_Biological_Process_2025	Calcium Ion Transport (GO:0006816)	3.826393e-02	7.282490e-02	0	0	2.929583e+01	9.559956e+01	STIM1
GO_Biological_Process_2025	Regulation of Microtubule Cytoskeleton Organization (GO:0070507)	3.826393e-02	7.282490e-02	0	0	2.929583e+01	9.559956e+01	MAPRE3
GO_Biological_Process_2025	Cellular Response to Glucose Starvation (GO:0042149)	3.826393e-02	7.282490e-02	0	0	2.929583e+01	9.559956e+01	SUV39H1
