Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Vasculature Development (GO:0001944)	3.406040e-04	1.004572e-01	0	0	1.348077e+02	1.076411e+03	ERRFI1;PIK3CA
GO_Biological_Process_2025	Cleavage Furrow Formation (GO:0036089)	5.648924e-04	1.004572e-01	0	0	8.985897e+01	6.720441e+02	SNX18;SNX9
GO_Biological_Process_2025	Positive Regulation of miRNA Metabolic Process (GO:2000630)	5.863262e-04	1.004572e-01	0	0	2.165015e+01	1.611125e+02	ZSWIM8;ETS1;NFKB1
GO_Biological_Process_2025	Glycophagy (GO:0061723)	1.558583e-03	1.708272e-01	0	0	4.491026e+01	2.902989e+02	ATG3;ATG2B
GO_Biological_Process_2025	Inflammatory Response (GO:0006954)	1.823835e-03	1.708272e-01	0	0	8.550154e+00	5.392423e+01	PJA2;NFKB1;RELB;NFATC4
GO_Biological_Process_2025	Long-Term Memory (GO:0007616)	1.994092e-03	1.708272e-01	0	0	3.848901e+01	2.393080e+02	PJA2;NFATC4
GO_Biological_Process_2025	Plasma Membrane Tubulation (GO:0097320)	2.480429e-03	1.776630e-01	0	0	3.367308e+01	2.020157e+02	SNX18;SNX9
GO_Biological_Process_2025	Glycogen Catabolic Process (GO:0005980)	3.602507e-03	1.776630e-01	0	0	2.693077e+01	1.515159e+02	ATG3;ATG2B
GO_Biological_Process_2025	Nucleophagy (GO:0044804)	4.236725e-03	1.776630e-01	0	0	2.447902e+01	1.337525e+02	ATG3;ATG2B
GO_Biological_Process_2025	Positive Regulation of Protein Kinase Activity (GO:0045860)	4.478757e-03	1.776630e-01	0	0	1.000143e+01	5.409186e+01	TPX2;ALS2;SNX9
GO_Biological_Process_2025	Phosphatidylinositol Biosynthetic Process (GO:0006661)	5.395838e-03	1.776630e-01	0	0	9.315508e+00	4.864677e+01	ITPKC;PIK3CA;MTMR4
GO_Biological_Process_2025	Negative Regulation of Protein Depolymerization (GO:1901880)	5.647781e-03	1.776630e-01	0	0	2.070710e+01	1.071902e+02	TPX2;PIK3CA
