,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:0000288,0.0001935701,8.169271,106.0155,CNOT11;PARN;LSM1;SAMD4A;TNKS1BP1;RC3H1;SAMD4B;CNOT10;CNOT8;CNOT9;PATL1;RC3H2,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)"
1,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",GO:0000463,0.000224555,14.66381,187.545,DDX18;PAK1IP1;PES1;RPL7L1;RPL35;RPF2;WDR12;RBM34;FTSJ3,Maturation of LSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000463)
2,GO:0045943,positive regulation of transcription by RNA polymerase I,GO:0045943,0.0003102836,7.539663,93.70701,UTP15;HEATR1;DDX56;UBTF;WDR75;ERCC6;NOL11;PWP1;LYAR;SF3B1;WDR43;PHF8,Positive Regulation of Transcription by RNA Polymerase I (GO:0045943)
3,GO:0006383,transcription by RNA polymerase III,GO:0006383,0.001241401,6.902371,75.48896,GTF3C2;CRCP;POLR3A;ELL;ICE1;POLR3B;ICE2;POLR3D;POLR1D;ZC3H8;POLR3K,Transcription by RNA Polymerase III (GO:0006383)
4,GO:0006355,regulation of DNA-templated transcription,GO:0006355,0.00175027,1.587113,16.71008,ZNF292;EHMT1;IKZF2;ETS1;RRP8;SCMH1;BBX;EPC2;ARID2;ZGPAT;FBXW11;KAT6A;ZSCAN21;ZNF316;TFAM;PPIE;CLOCK;ATF6;AJUBA;DLX1;BLM;MEAF6;BAZ2A;MRPL12;TAF5L;NPAS2;MTDH;ATXN1;DVL1;EP400;ZNF668;BPTF;SMAD2;WWTR1;PHC2;CREBBP;CBX5;PHC1;SMAD3;CBX4;PHF10;MTERF3;FUS;ZBTB11;NR2F2;NFKB1;NFKB2;ZZZ3;SP2;YEATS2;PICALM;KDM5A;PHF3;PHF2;RNF10;CALCOCO1;HP1BP3;ZC3H8;YBX1;PHF8;SCML2;VPS72;ZNF280B;ZNF280C;ELOA;HMG20A;CIC;YAF2;KLF10;SS18;ZHX2;RING1;DTX3L;EED;ZFP91;BAZ1A;PARP9;ETV5;REXO4;ETV6;TOX4;SLTM;MDFIC;BIRC5;VGLL4;SMARCD1;SF3B5;SF3B3;MYCBP;CIPC;SPTY2D1;TRAK1;LRP6;TFPT;PURA;RBM15B;NSD2;APBB2;BRD9;GPBP1L1;ARNT2;TAF15;UTP4;CDC5L;ELP4;SCAF1;PHF5A;RYBP;NFIA;NMNAT1;ZNF217;CTNNB1;QRICH1;ZNF579;BMAL2;ERCC6;ZNF574,Regulation of DNA-templated Transcription (GO:0006355)
5,GO:0007004,telomere maintenance via telomerase,GO:0007004,0.002685663,8.141375,81.50195,DKC1;PINX1;GAR1;NHP2;POT1;TNKS1BP1;NOP10;SLC19A1;WRAP53,Telomere Maintenance via Telomerase (GO:0007004)
6,GO:0007020,microtubule nucleation,GO:0007020,0.002754755,6.790043,67.61024,TPX2;TUBGCP2;TUBGCP5;TUBGCP6;SLAIN2;TUBGCP3;TUBG2;TUBGCP4;TUBG1;CLASP2,Microtubule Nucleation (GO:0007020)
7,GO:0022618,protein-RNA complex assembly,GO:0022618,0.003399669,2.563357,24.91458,NVL;NOP2;PWP2;PRPF19;USP39;RPS15;RRP7A;COIL;SART1;SNRPD2;RRS1;BRIX1;SF3B1;RBM5;SRPK2;ZRSR2;SF3A2;SCAF11;DICER1;EIF2S2;SRPK1;BOP1;AGO1;SRFBP1;SRSF5;DHX29;FAU;NOP53,protein-RNA Complex Assembly (GO:0022618)
8,GO:0010833,telomere maintenance via telomere lengthening,GO:0010833,0.004242169,7.32607,69.38849,DKC1;PINX1;GAR1;NHP2;TNKS1BP1;POT1;SLC19A1;NOP10;WRAP53,Telomere Maintenance via Telomere Lengthening (GO:0010833)
9,GO:1902570,protein localization to nucleolus,GO:1902570,0.005817709,16.23514,147.81,RRP7A;HEATR1;PINX1;RRS1;NOL8;RPF2,Protein Localization to Nucleolus (GO:1902570)
