Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Ribosome Biogenesis (GO:0042254)	1.543379e-42	3.230293e-39	0	0	1.118345e+01	1.076682e+03	LTV1;DDX49;NVL;PAK1IP1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;WDR74;DDX10;DNTTIP2;WDR75;DDX54;IMP4;RPS3A;URB2;UTP18;GTPBP4;EBNA1BP2;DKC1;MRTO4;CINP;RPL26;FSAF1;DDX27;RPS19BP1;NOP2;HEATR1;NOL7;NOLC1;NOL8;SNU13;NOC4L;RPF2;SDAD1;TMA16;RRP7A;EMG1;EXOSC5;BMS1;EXOSC9;PES1;DHX37;RRS1;SURF6;RRP36;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP6;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;WDR55;BYSL;RCL1;BOP1;TBL3;AIRIM;MPHOSPH10;ESF1;DHX29;RSL24D1;NOP53;RPS24;RPL26L1
GO_Biological_Process_2025	Ribonucleoprotein Complex Biogenesis (GO:0022613)	6.088633e-38	6.371754e-35	0	0	1.345926e+01	1.153348e+03	LTV1;NVL;PAK1IP1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;WDR74;DNTTIP2;WDR75;IMP4;RPS3A;URB2;UTP18;GTPBP4;EBNA1BP2;MRTO4;CINP;RPL26;FSAF1;RPS19BP1;NOP2;HEATR1;NOL7;SNU13;RPF2;SDAD1;TMA16;RRP7A;EMG1;BMS1;PES1;DHX37;RRS1;SURF6;RRP36;UTP20;NOP56;NOP14;NOP58;UTP6;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;BYSL;RCL1;BOP1;TBL3;AIRIM;MPHOSPH10;RSL24D1;RPS24;RPL26L1
GO_Biological_Process_2025	rRNA Processing (GO:0006364)	4.723710e-30	3.295575e-27	0	0	1.110052e+01	7.495625e+02	DDX49;NVL;WDR3;NAT10;TFB1M;RRP9;RPS15;FBL;SART1;RRP15;UTP15;WDR36;RPS6;WDR74;DDX10;DDX54;IMP4;DDX52;EBNA1BP2;NSA2;DKC1;MRTO4;C1D;SRFBP1;RPL26;DDX27;NOP2;MAK16;NOL7;NOLC1;NOL8;SNU13;NOC4L;RPF1;RRP7A;EMG1;EXOSC5;ERI1;EXOSC9;PES1;RRP36;UTP20;LYAR;DCAF13;NOP56;NOP14;NOP58;UTP4;WDR55;BYSL;RCL1;LSM6;MPHOSPH10;ESF1;TSR1;NOL11;NOP53;RPS24;MPHOSPH6
GO_Biological_Process_2025	Ribosomal Small Subunit Biogenesis (GO:0042274)	7.652348e-30	4.004091e-27	0	0	1.441244e+01	9.662467e+02	LTV1;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS13;UTP15;RPS9;WDR36;UTP11;DIMT1;NGDN;RPS6;DNTTIP2;WDR75;IMP4;RPS3A;DDX52;UTP18;SRFBP1;FSAF1;RPS19BP1;HEATR1;NOL7;SNU13;RRP7A;EMG1;BMS1;DHX37;RRP36;SURF6;UTP20;NOP56;NOP14;NOP58;UTP6;UTP4;KRR1;PNO1;UTP3;RCL1;TBL3;LSM6;MPHOSPH10;FAU;NOL11;RPS24
GO_Biological_Process_2025	Mitochondrial Gene Expression (GO:0140053)	3.911032e-24	1.637158e-21	0	0	9.716687e+00	5.237124e+02	MRPS15;MRPL38;MRPL39;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL48;POLRMT;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPL51;TFAM;MRPL18;MRPS33;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL55;MRPL20;TEFM;GADD45GIP1;MTERF3;MRPL23;MRPL24;MRPL21;MRPL30
GO_Biological_Process_2025	RNA Processing (GO:0006396)	3.105263e-23	1.083219e-20	0	0	4.565450e+00	2.366107e+02	POP7;TUT7;DDX49;NVL;USP39;RRP9;FARS2;RPS15;FBL;SNRPD2;DHX15;SNRNP35;BCAS2;RBM5;RBM6;UTP15;WDR36;SCAF11;NCBP2;RPS6;WDR74;DDX10;DNTTIP2;DDX54;IMP4;ZCRB1;REXO4;EBNA1BP2;DKC1;MRTO4;SNRPA1;RPL26;SRSF5;SLU7;YJU2B;RBMS2;SF3B4;SF3B2;SF3B3;DDX27;NUFIP1;NOP2;WBP4;ISG20L2;PARN;NOLC1;NOL8;NOC4L;U2AF1;RNPC3;RRP7A;EXOSC6;EXOSC5;EMG1;ATXN1;EXOSC9;PES1;EXOSC8;ZMAT5;RRP36;UTP20;LYAR;SF3B1;DCAF13;SRPK2;SF3A3;NOP56;ZRSR2;SF3A1;NOP14;NOP58;SF3A2;FUS;LSM1;SRPK1;WDR55;BYSL;LSM6;SON;TRMT6;MPHOSPH10;ACIN1;ESF1;NOP53;RPS24
GO_Biological_Process_2025	Mitochondrial Translation (GO:0032543)	3.827378e-22	1.144386e-19	0	0	9.545757e+00	4.707460e+02	MRPS15;MRPL18;MRPS33;MRPL19;MRPL38;MRPS31;MRPL39;MRPL17;MRPL58;MRPL15;MRPS30;MRPL34;MRPL12;MRPL35;MRPL13;MRPL57;MRPL32;MRPL10;MRPL54;MRPL55;MRPL4;MRPL41;MRPL3;MRPL42;MRPL20;MRPL1;MRPL40;MRPL9;GADD45GIP1;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL48;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS5;MRPL21;MRPL44;MRPL52;MRPL30;MRPL50;MRPL51
GO_Biological_Process_2025	rRNA Metabolic Process (GO:0016072)	9.590582e-21	2.509136e-18	0	0	9.105912e+00	4.197234e+02	TRIR;DDX49;DDX27;NVL;NOP2;HEATR1;NOLC1;NOL8;NOC4L;RRP9;RPS15;RRP7A;FBL;EXOSC6;EMG1;EXOSC5;EXOSC9;PES1;EXOSC8;RRP36;UTP20;LYAR;DCAF13;UTP15;NOP56;NOP14;WDR36;NOP58;NIFK;RPS6;WDR74;DDX10;DDX54;IMP4;WDR55;BYSL;EBNA1BP2;DKC1;MRTO4;ESF1;RPL26;POLR1G;NOP53;RPS24
GO_Biological_Process_2025	Translation (GO:0006412)	7.516097e-17	1.747910e-14	0	0	4.065820e+00	1.509513e+02	MRPS15;RPL31;MRPL38;MRPL39;MRPL34;MRPL35;MRPL32;FARS2;RPS15;MRPL41;MRPL4;MRPL42;MRPL3;MRPL40;MRPL1;RPL36;RPL35;MRPL9;RPS13;MRPS26;RPS9;RPS6;MRPL49;MRPS18A;MRPL47;RPS3A;MRPL48;MRPL45;GTPBP1;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPL51;RPL37A;RPL26;RPL29;MRPL18;MRPS33;MRPL19;SRBD1;MRPS31;RPL36A;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL55;MRPL20;RPL19;GADD45GIP1;RPL23A;MRPL23;MRPL24;MRPL21;MRPL30;FAU;RSL24D1;RPS24;RPL26L1
GO_Biological_Process_2025	Maturation of SSU-rRNA Frm Tricistronic rRNA Trnscpt (GO:0000462)	2.390698e-16	5.003731e-14	0	0	3.475652e+01	1.250184e+03	NOP14;UTP6;UTP4;UTP3;HEATR1;NGDN;RPP40;KRI1;PWP2;WDR46;NOP9;WDR43;TBL3;BMS1;DHX37;RRS1;RRP36;TSR1;UTP20;NOL10;DCAF13
