Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Ribosome Biogenesis (GO:0042254)	1.173666e-27	2.678307e-24	0	0	7.060515e+00	4.378201e+02	LTV1;PAK1IP1;WDR3;FCF1;PWP2;WDR46;RRP9;RPS15;FBL;RPS13;UTP15;NOM1;RPS9;WDR36;UTP11;DIMT1;RPS8;NGDN;RPS6;WDR74;DDX10;DNTTIP2;WDR75;DDX54;IMP4;RPS3A;UTP18;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;CINP;RPL26;FSAF1;DDX27;NIP7;HEATR1;NOL7;NOC4L;MRM1;TMA16;RRP7A;EXOSC7;EMG1;EXOSC5;BMS1;EXOSC9;DHX37;RRS1;SURF6;RRP36;UTP20;LYAR;DCAF13;NOP14;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;WDR55;BYSL;RCL1;TBL3;MPHOSPH10;ESF1;DHX29;RSL24D1;NOP53;RPS24
GO_Biological_Process_2025	Ribonucleoprotein Complex Biogenesis (GO:0022613)	9.321372e-24	9.773658e-21	0	0	7.822335e+00	4.148163e+02	LTV1;PAK1IP1;WDR3;FCF1;PWP2;WDR46;RRP9;RPS15;FBL;RPS13;UTP15;NOM1;RPS9;WDR36;UTP11;DIMT1;RPS8;NGDN;RPS6;WDR74;DNTTIP2;WDR75;IMP4;RPS3A;UTP18;GTPBP4;EBNA1BP2;GRWD1;MRTO4;CINP;RPL26;FSAF1;NIP7;HEATR1;NOL7;TMA16;RRP7A;EMG1;BMS1;DHX37;RRS1;SURF6;RRP36;UTP20;NOP14;NOP16;UTP4;PNO1;KRR1;UTP3;WDR12;BYSL;RCL1;TBL3;MPHOSPH10;RSL24D1;RPS24
GO_Biological_Process_2025	Mitochondrial Translation (GO:0032543)	1.364665e-23	9.773658e-21	0	0	1.001610e+01	5.273331e+02	MRPS15;MRPS16;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;MRPS35;MRPL18;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL23;MRPL24;MRPL21;MRPL30
GO_Biological_Process_2025	Mitochondrial Gene Expression (GO:0140053)	1.713174e-23	9.773658e-21	0	0	9.228458e+00	4.837660e+02	MRPS15;MRPS16;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL4;MRPL41;MRPL3;MRPL42;MRPL1;MRPL40;MRPL9;MRPS26;MRPL49;MRPS18A;MRPL47;POLRMT;MRPL45;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;MRPS35;MRPL18;MRPL19;MRPS31;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MTERF3;MRPL23;MRPL24;MRPL21;MRPL30
GO_Biological_Process_2025	Ribosomal Small Subunit Biogenesis (GO:0042274)	8.148333e-22	3.718899e-19	0	0	9.622298e+00	4.672497e+02	LTV1;WDR3;HEATR1;FCF1;NOL7;PWP2;WDR46;RRP9;RPS15;RRP7A;FBL;EMG1;BMS1;DHX37;RRP36;SURF6;UTP20;RPS13;UTP15;NOM1;RPS9;WDR36;NOP14;UTP11;UTP4;DIMT1;RPS8;KRR1;PNO1;UTP3;NGDN;RPS6;DNTTIP2;WDR75;IMP4;RPS3A;DDX52;UTP18;RCL1;TBL3;MPHOSPH10;SRFBP1;FAU;NOL11;FSAF1;RPS24
GO_Biological_Process_2025	Translation (GO:0006412)	2.681307e-19	1.019791e-16	0	0	4.326887e+00	1.850298e+02	MRPS15;MRPS16;RPL32;RPL31;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;FARS2;RPS15;MRPL41;MRPL4;MRPL42;MRPL3;MRPL40;MRPL1;RPL36;RPL35;MRPL9;RPS13;MRPS26;RPS9;RPS8;PABPC4;RPS6;MRPL49;MRPS18A;MRPL47;RPS3A;MRPL45;GTPBP1;MRPL46;MRPL43;MRPS5;MRPL44;MRPL52;MRPL50;MRPS9;MRPL51;RPL26;AURKAIP1;RPL29;MRPS35;MRPL18;MRPL19;SRBD1;MRPS31;RPL36A;MRPL17;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;RPL19;GADD45GIP1;PTCD3;RPL23A;MRPL23;MRPL24;MRPL21;MRPL30;RPS26;RPL27A;FAU;RSL24D1;RPS24
GO_Biological_Process_2025	rRNA Processing (GO:0006364)	6.123702e-19	1.996327e-16	0	0	6.776853e+00	2.842005e+02	WDR3;TFB1M;RRP9;RPS15;FBL;RRP15;UTP15;WDR36;RPS6;WDR74;DDX10;DDX54;IMP4;DDX52;EBNA1BP2;NSA2;DKC1;MRTO4;C1D;SRFBP1;RPL26;DDX27;MAK16;NOL7;NOC4L;MRM1;RPF1;RRP7A;EXOSC7;EMG1;EXOSC5;ERI1;EXOSC9;RRP36;UTP20;LYAR;DCAF13;NOP14;UTP4;WDR55;BYSL;RCL1;MPHOSPH10;ESF1;TSR1;NOL11;NOP53;RPS24;MPHOSPH6
GO_Biological_Process_2025	RNA Processing (GO:0006396)	3.647177e-16	1.040357e-13	0	0	3.526019e+00	1.253408e+02	POP7;PDCD7;CHD8;RRP9;FARS2;RPS15;FBL;SNRPD2;DHX15;CMTR1;BCAS2;RBM5;RBM6;UTP15;WDR36;NCBP1;SCAF11;NCBP2;PABPC4;RPS6;WDR74;DDX10;DNTTIP2;DDX54;IMP4;ZCRB1;REXO4;KIN;EBNA1BP2;DKC1;MRTO4;LUC7L3;SNRPA1;RPL26;SRSF5;CBLL1;SLU7;YJU2B;RBMS2;SF3B4;SF3B2;SF3B3;DDX27;NUFIP1;WBP4;PARN;NOC4L;RNPC3;MRM1;RRP7A;EXOSC7;EXOSC5;EMG1;ATXN1;EXOSC9;ZMAT5;RRP36;UTP20;TENT2;ZC3H13;LYAR;SF3B1;DCAF13;SRPK2;SF3A3;ZRSR2;SF3A1;NOP14;SF3A2;FUS;LSM1;WDR55;BYSL;MPHOSPH10;ESF1;NOP53;RPS24
GO_Biological_Process_2025	rRNA Metabolic Process (GO:0016072)	1.182238e-12	2.997630e-10	0	0	5.605106e+00	1.539365e+02	TRIR;DDX27;HEATR1;NOC4L;MRM1;RRP9;RPS15;RRP7A;EXOSC7;FBL;EMG1;EXOSC5;EXOSC9;RRP36;UTP20;LYAR;DCAF13;UTP15;NOP14;WDR36;NIFK;RPS6;WDR74;DDX10;DDX54;IMP4;WDR55;BYSL;EBNA1BP2;DKC1;MRTO4;ESF1;RPL26;POLR1G;NOP53;RPS24
GO_Biological_Process_2025	Macromolecule Biosynthetic Process (GO:0009059)	4.052947e-12	9.248825e-10	0	0	3.810947e+00	9.996715e+01	MRPS15;MRPS16;RPL32;RPL31;MRPL37;MRPL34;MRPL35;MRPL32;RPS15;MRPL41;MRPL3;MRPL42;MRPL40;RPL36;RPL35;MRPL9;RPS13;DDX18;RPS9;RPS8;PABPC4;RPS6;MRPS18A;RPS3A;GTPBP1;MRPL43;MRPS5;MRPL52;MRPL51;RPL26;RPL29;MRPL18;SRBD1;RPL36A;MRPL12;MRPL13;MRPL11;MRPL55;RPL19;RPL23A;MRPL23;MRPL24;MRPL30;RPS26;EXT2;GOLPH3;RPL27A;FAU;RSL24D1;RPS24
