Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
A0FGR8	ESYT2	1.39240106946658	2.31271700386019e-06	No	No
A1A5C7	SLC22A23	2.5155389521036	0.0037383379647878	No	No
A1L170	C1orf226	2.08155603393061	5.04841423943145e-06	No	No
A1XBS5	FAM92A	2.456843350531	1.22954040541206e-06	No	No
A2A2Y4	FRMD3	3.31498660260282	0.000123997955021	No	No
A2RU67	FAM234B	2.07854882562175	0.0001957934137164	No	No
A2RUC4	TYW5	1.97908391445282	0.0002258131065228	No	No
A4D1S0	KLRG2	3.05257783853177	2.34363684902187e-06	No	No
A5D8V6	VPS37C	1.29969143640302	8.26979740405405e-05	No	No
A6NCS6	C2orf72	4.9262835063923	6.421462195580481e-09	No	No
A6NGC4	TLCD2	1.39524466352988	0.0030954630810245	No	No
A6NI79	CCDC69	4.96249392171521	5.88189187885719e-08	No	No
A7KAX9	ARHGAP32	1.62064315359276	5.84007326347899e-06	No	No
A7MBM2	DISP2	1.74665482464556	1.99017924808427e-06	No	No
A8MVW0	FAM171A2	2.48408307459093	1.63838152026547e-06	No	No
A8MWY0	ELAPOR2	2.140614545808	7.35118500259276e-05	No	No
B0FP48;E5RIL1	UPK3BL1;UPK3BL2	1.41863051079923	0.0011993860976977	No	No
B7ZAQ6;P0CG08	GPR89A;GPR89B	1.46619473348138	1.208470113628e-05	No	No
B8ZZ34	SHISA8	4.9804009240936	4.94254144131231e-08	No	No
C9JH25	PRRT4	3.49794144948182	2.3232884069546e-07	No	No
F2Z333	FNDC10	2.45703031486673	2.60007869378161e-05	No	No
O00124	UBXN8	1.5757931630109	1.54786422084672e-05	No	No
O00144	FZD9	2.12200971517929	0.0016848754435229	No	No
O00161	SNAP23	2.45767439846683	2.24787585203198e-07	No	No
O00167	EYA2	1.7426591171114	0.0045092093320762	No	No
O00186	STXBP3	2.06532986444457	2.64704390887907e-07	No	No
O00192	ARVCF	2.24329838628197	1.65561802760736e-06	No	No
O00213	APBB1	1.63906011426381	5.37536852408875e-05	No	No
O00329	PIK3CD	2.70172261662371	0.0003603184415183	No	No
O00459	PIK3R2	2.18990400502203	1.39973515528535e-07	No	No
O00469	PLOD2	1.95174627216313	0.008951443833268	No	No
O00522	KRIT1	1.66976702719925	7.32873239972889e-06	No	No
O00559	EBAG9	2.14226453331296	1.48988165950147e-06	No	No
O00592	PODXL	1.95505571865111	0.0059220440456262	No	No
O00763	ACACB	1.35975228646474	0.0008173789931969	No	No
O14494	PLPP1	4.04247465287294	2.44210410853333e-08	No	No
O14495	PLPP3	3.52340493997509	3.71186163596533e-08	No	No
O14514	ADGRB1	4.18264925216707	9.77482482122568e-05	No	No
O14523	C2CD2L	1.71373514269357	1.32859771476944e-05	No	No
O14544	SOCS6	5.7086574780631	0.002522664192122	No	No
O14559	ARHGAP33	2.4730087842489	3.54029802046891e-05	No	No
O14595	CTDSP2	1.50448676849281	1.70155980346182e-05	No	No
O14613	CDC42EP2	2.21153099445362	5.76938486163019e-06	No	No
O14653	GOSR2	1.63293698806152	5.29291716798881e-05	No	No
O14654	IRS4	1.66008264068675	3.39498374454385e-06	No	No
O14662	STX16	2.65934728404191	2.39468849773919e-06	No	No
O14672	ADAM10	1.91070409624747	1.93761409850117e-05	No	No
O14745	SLC9A3R1	1.37637709030159	5.35042342416293e-05	No	No
O14763	TNFRSF10B	2.63229793981129	8.42322740094568e-05	No	No
O14788	TNFSF11	4.37172103481824	2.85761547379691e-08	No	No
