Protein_Group	Genes	WT_vs_Chr9TERRA_KO_logFC	WT_vs_Chr9TERRA_KO_pval	Removed?	Contaminant?
B2RS76	Cpb1	1.09444335936051	0.0017629564324855	No	No
P01804	gene	0.839681159626394	0.0029376713645222	No	No
Q0P5V9	Slc45a4	1.93753610440356	6.0377018433629e-14	No	No
Q7TPZ8	Cpa1	1.22021075342424	0.0021488355327871	No	No
Q91WK7	Ankrd54	1.08536307966397	0.0006942856471539	No	No
Q91ZX6	Senp2	0.830322184196163	0.0029925224565685	No	No
Q9JJA9	Tamalin	0.844908931354665	0.0019169858264879	No	No
Q9JLN5	Ermap	0.871972209485065	0.0046954071849024	No	No
P11260	Lire1	-1.27581218041554	0.0061627172205734	No	No
P21836	Ache	-2.63323409745554	3.70272208420495e-08	No	No
Q3V132	Slc25a31	-5.09109561633714	1.4029574669731e-09	No	No
Q62225	Cish	-1.09051007521128	0.0025392356275031	No	No
Q80XD8	Prap1	-0.890573701890299	0.0023898309761728	No	No
Q8BJG4	Mob3c	-0.973314041185052	1.43379421969516e-05	No	No
