Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
A1A4S6	ARHGAP10	4.86517416913332	3.3573893679184997e-13	No	No
A1L020	MEX3A	8.70577818905043	2.62252727180934e-26	No	No
A6ND36	FAM83G	3.64664198416273	0.0023516164889495	No	No
A6NED2	RCCD1	2.71315535961224	0.0011386980590879	No	No
A6NI28	ARHGAP42	4.129508962592	6.01637983997924e-05	No	No
A7KAX9	ARHGAP32	2.63355091699169	9.43997985284e-10	No	No
B3KNS4	ERVK3-1	2.57810348631758	2.76431483266092e-06	No	No
C9JLW8	MCRIP1	6.44520296807149	1.00266059814347e-23	No	No
H3BS89	TMEM178B	4.33534068661578	1.1888421262435099e-13	No	No
O00192	ARVCF	2.73278492765318	1.37062049222224e-16	No	No
O00219	HAS3	2.35007913036191	0.002475895598413	No	No
O00220	TNFRSF10A	10.9196257145232	4.20296036768685e-33	No	No
O00421	CCRL2	10.4244479331339	3.28126531423266e-32	No	No
O00425	IGF2BP3	4.10472126663548	1.78090437122047e-26	No	No
O00499	BIN1	4.42000046213428	8.850710060499979e-30	No	No
O00571	DDX3X	2.81729862476422	7.495891963333221e-23	No	No
O00622	CCN1	4.51927529151685	3.82944644718833e-12	No	No
O14493	CLDN4	8.21615183319599	2.8981425791820403e-35	No	No
O14544	SOCS6	3.71540988139479	3.07149693905982e-18	No	No
O14545	TRAFD1	3.94296481753722	1.04344435163145e-21	No	No
O14559	ARHGAP33	5.75170748252001	2.0016526143944902e-17	No	No
O14757	CHEK1	2.38485932942718	6.05892385426666e-16	No	No
O14786	NRP1	3.03851306759413	1.88216690277234e-15	No	No
O15027	SEC16A	3.93520444908431	2.35468588934575e-21	No	No
O15041	SEMA3E	2.94438514726024	4.90739162773988e-06	No	No
O15056	SYNJ2	4.09085283891679	2.70074484671264e-21	No	No
O15063	GARRE1	3.59189606082753	6.93073324966229e-13	No	No
O15198	SMAD9	2.36115657809379	4.57263588065074e-07	No	No
O15231	ZNF185	5.69245080499148	8.26627609033993e-12	No	No
O15234	CASC3	8.06948849165057	2.89191355684046e-17	No	No
O15504	NUP42	6.1863752638295	1.31981374791533e-12	No	No
O15514	POLR2D	4.30925776713447	5.86880692372268e-05	No	No
O43300	LRRTM2	4.51843623206255	5.3721363452488e-07	No	No
O43432	EIF4G3	2.76924771453573	2.3871727068137e-14	No	No
O43490	PROM1	5.79665907799817	8.94414437719379e-16	No	No
O43516	WIPF1	2.54398445305092	5.904367383494659e-11	No	No
O43548	TGM5	4.51212693148274	2.87250985017221e-06	No	No
O43561	LAT	7.16296022894507	4.99248564775913e-19	No	No
O43570	CA12	10.2497243832821	2.97782880784911e-34	No	No
O43639	NCK2	3.01982767471193	9.194948210541291e-25	No	No
O43657	TSPAN6	2.42677754611894	8.559583993984049e-12	No	No
O43854	EDIL3	2.631574288211	1.718664569207e-11	No	No
O43920	NDUFS5	3.29993633807225	0.0011231561677008	No	No
O43929	ORC4	2.69468495460399	5.83877923740719e-06	No	No
O60279	SUSD5	3.57067080816756	2.21286695110481e-19	No	No
O60292	SIPA1L3	2.36940639049136	5.15828572776985e-09	No	No
O60330	PCDHGA12	3.19949529708692	1.02141343870081e-06	No	No
O60437	PPL	3.43392672797056	4.94982288111239e-05	No	No
O60462	NRP2	2.39079482546592	1.90348122144753e-12	No	No
O60504	SORBS3	4.60426214563448	2.18481716535519e-24	No	No
O60603	TLR2	3.23830149005136	3.15706230631984e-05	No	No
O60635	TSPAN1	5.83903891839367	5.0337789985229195e-22	No	No
O60828	PQBP1	2.4885770664258	1.5265034472672097e-11	No	No
O60879	DIAPH2	4.08255618060047	8.38005634852726e-22	No	No
O60890	OPHN1	5.87398336778663	1.4471375590193e-15	No	No
O75113	N4BP1	2.67638996035623	2.43356352496337e-17	No	No
O75173	ADAMTS4	11.9462162970181	4.43143565927455e-28	No	No
O75197	LRP5	3.67955953810836	1.00730796653255e-12	No	No
O75326	SEMA7A	13.268457760803	2.14079248904417e-24	No	No
O75334	PPFIA2	4.95221629108169	3.85804774087746e-09	No	No
O75367	MACROH2A1	4.01788042619496	4.84604166020333e-16	No	No
O75380	NDUFS6	4.5154456508676	1.65376313257817e-06	No	No
O75494	SRSF10	2.83410589134772	1.3454080641750799e-11	No	No
O75533	SF3B1	4.61480128082568	5.6751300649996905e-21	No	No
O75569	PRKRA	2.98561100236463	6.5163735747527e-17	No	No
O75581	LRP6	2.94637443235498	6.90746034273303e-15	No	No
O75688	PPM1B	2.70817329000086	1.39530983100467e-17	No	No
O75808	CAPN15	3.43037940791515	2.46355048668256e-08	No	No
O75884	RBBP9	2.40129682027554	5.2741687923601406e-15	No	No
