Protein_Group	Genes	Piezo1_OE_Y+_vs_Piezo1_OE_Y-_logFC	Piezo1_OE_Y+_vs_Piezo1_OE_Y-_pval	Removed?	is_contaminant
O15021	MAST4	2.850609381	0.002819573	No	No
O15054	KDM6B	1.541048728	0.001648832	No	No
O75911	DHRS3	1.45131219	1.38e-15	No	No
O76061	STC2	1.607187585	1.8e-09	No	No
P02656	APOC3	2.141209601	1.96e-09	No	No
P08174	CD55	1.432535075	2.74e-08	No	No
P15018	LIF	1.403222822	6.98e-10	No	No
P17301	ITGA2	1.800384578	8.61e-15	No	No
P18847	ATF3	2.397509667	1.11e-07	No	No
P19883	FST	3.850445236	8.65e-10	No	No
P35318	ADM	2.690161468	0.001693847	No	No
P35354	PTGS2	2.366176114	0.000295723	No	No
P48552	NRIP1	2.091229016	1.54e-05	No	No
P53539	FOSB	2.9584676	4.18e-13	No	No
P53805	RCAN1	2.350135021	1.32e-08	No	No
P55042	RRAD	2.92422659	4.13e-05	No	No
P56706	WNT7B	2.248603107	1.88e-05	No	No
P63252	KCNJ2	1.75230417	1.98e-06	No	No
Q01201	RELB	4.883492138	0.003859106	No	No
Q02156	PRKCE	2.116857115	0.002228804	No	No
Q03989	ARID5A	1.374385555	0.003522546	No	No
Q13009	TIAM1	1.839323969	0.003269032	No	No
Q13469	NFATC2	2.992904295	4.58e-09	No	No
Q13887	KLF5	1.709396605	0.007376539	No	No
Q15198	PDGFRL	2.826614727	0.004589729	No	No
Q5TAT6	COL13A1	1.61879227	2.45e-05	No	No
Q5W0Q7	USPL1	3.588730942	0.001570001	No	No
Q6S5L8	SHC4	2.496397085	0.000124271	No	No
Q86SQ4	ADGRG6	3.575432634	0.000410473	No	No
Q86UD1	OAF	1.893972522	0.000188561	No	No
Q86VY9	TMEM200A	2.734573292	3.03e-05	No	No
Q86YW9	MED12L	1.944982466	0.006908775	No	No
Q8IVW6	ARID3B	1.398896008	0.008675865	No	No
Q8NAP3	ZBTB38	1.517979911	4.62e-09	No	No
Q8NCE0	TSEN2	2.639954535	0.004685786	No	No
Q8NFT8	DNER	3.342274715	0.001258836	No	No
Q8WZ71	TMEM158	2.022026742	5.87e-09	No	No
Q96AV8	E2F7	1.745261691	1.44e-08	No	No
Q96GX1	TCTN2	2.396369647	0.001343402	No	No
Q99611	SEPHS2	1.560317989	0.006384463	No	No
Q99685	MGLL	1.765874391	0.000146969	No	No
Q9H5J8	TAF1D	2.567450096	0.001218218	No	No
Q9HA38	ZMAT3	1.992882156	0.002805703	No	No
Q9NWC5	TMEM45A	1.921629448	0.001061882	No	No
Q9ULX9	MAFF	1.788179955	7.94e-19	No	No
Q9UPV9	TRAK1	3.309913505	0.00471493	No	No
Q9UPY3	DICER1	1.693283424	2.05e-05	No	No
O14917	PCDH17	-2.121010985	3.22e-05	No	No
O75473	LGR5	-5.246157873	1.57e-07	No	No
O75771	RAD51D	-2.112129979	0.005835174	No	No
O95185	UNC5C	-1.822997355	3.02e-12	No	No
O95259	KCNH1	-1.368075686	0.005100468	No	No
P02452	COL1A1	-1.720561235	2.7e-05	No	No
P02461	COL3A1	-1.609704773	0.000104796	No	No
P05062	ALDOB	-2.138810263	0.000144051	No	No
P32754	HPD	-1.578273018	0.005321598	No	No
P43699	NKX2-1	-3.39450951	0.006636174	No	No
P52799	EFNB2	-1.760526629	3.23e-10	No	No
P54756	EPHA5	-1.435913643	0.000255897	No	No
P56730	PRSS12	-1.663243859	0.005550835	No	No
P58005	SESN3	-1.719667045	0.000166073	No	No
Q02297	NRG1	-1.975091449	6.68e-14	No	No
Q06418	TYRO3	-1.524370562	0.003493279	No	No
Q09019	DMWD	-1.60934916	0.000101115	No	No
Q0VF96	CGNL1	-1.529233351	0.000153791	No	No
Q10587	TEF	-3.603599479	9.45e-07	No	No
Q12860	CNTN1	-1.643652687	0.000207858	No	No
Q13470	TNK1	-2.604197894	0.000940474	No	No
Q4KMG0	CDON	-2.165175491	0.00019996	No	No
Q5T7W7	TSTD2	-1.78556732	0.001762775	No	No
Q6EMK4	VASN	-3.058230387	6.71e-07	No	No
Q6UX71	PLXDC2	-1.989745921	5.85e-07	No	No
Q6ZTN6	ANKRD13D	-1.64637071	8.44e-05	No	No
Q8IX30	SCUBE3	-1.84850687	0.000700002	No	No
Q8N441	FGFRL1	-1.838705097	2.1e-11	No	No
Q8NFZ4	NLGN2	-1.869342769	1.5e-06	No	No
Q8TC05	MDM1	-3.493393377	0.000197514	No	No
Q92608	DOCK2	-1.872287956	0.006516011	No	No
Q92823	NRCAM	-1.494067725	2.34e-07	No	No
Q96BM1	ANKRD9	-2.223702238	0.003894348	No	No
Q96CN4	EVI5L	-2.956822376	7.91e-05	No	No
Q96ED9	HOOK2	-2.653633563	0.006058151	No	No
Q96JH8	RADIL	-2.269579954	0.00023422	No	No
Q96MH2	HEXIM2	-1.605616693	0.007530073	No	No
Q9BQ89	FAM110A	-1.470892374	0.004939558	No	No
Q9BXX0	EMILIN2	-1.383898662	0.009232906	No	No
Q9H336	CRISPLD1	-1.520664992	0.001393034	No	No
Q9H3T3	SEMA6B	-2.97433166	0.00010526	No	No
Q9HCB6	SPON1	-1.645471134	0.002800535	No	No
Q9HCL0	PCDH18	-2.167846059	1.97e-05	No	No
Q9NQ88	TIGAR	-1.656131329	0.006045899	No	No
Q9UBG0	MRC2	-1.668268732	3.49e-22	No	No
Q9UIF7	MUTYH	-1.458726664	0.00081271	No	No
Q9UKI2	CDC42EP3	-1.623465709	0.000270455	No	No
Q9UNN8	PROCR	-1.592253269	1.52e-08	No	No
Q9Y2K2	SIK3	-2.104115195	0.006459375	No	No
Q9Y2S2	CRYL1	-4.934082798	0.005609023	No	No
Q9Y6N7	ROBO1	-2.219593484	2.84e-22	No	No
