Protein_Group	Genes	Piezo1_OE_Y-_vs_Ctrl_OE_Y-_logFC	Piezo1_OE_Y-_vs_Ctrl_OE_Y-_pval	Removed?	is_contaminant
O00622	CCN1	1.441953547	6.04e-05	No	No
O15194	CTDSPL	0.874330744	0.002602314	No	No
O15264	MAPK13	0.939555897	0.00813527	No	No
O43278	SPINT1	1.654969597	0.005388078	No	No
O94907	DKK1	1.4665074	0.002900033	No	No
O95497	VNN1	1.64113468	1.03e-05	No	No
O95716	RAB3D	1.337626194	0.000772639	No	No
P00450	CP	1.492585448	7.44e-05	No	No
P00488	F13A1	1.18638639	0.001849592	No	No
P01031	C5	1.030412766	0.005421028	No	No
P02461	COL3A1	1.218189433	0.002605611	No	No
P02656	APOC3	0.994424161	0.001785942	No	No
P05062	ALDOB	1.460876708	0.007427131	No	No
P05546	SERPIND1	1.543327538	0.000113998	No	No
P07225	PROS1	1.403831126	0.000805794	No	No
P08183	ABCB1	2.258098303	0.000188951	No	No
P19823	ITIH2	1.122116298	0.000223237	No	No
P20742	PZP	1.122774779	0.000353748	No	No
P29279	CCN2	0.973767722	1.71e-05	No	No
P35443	THBS4	1.617295695	0.002246648	No	No
P49747	COMP	1.550424505	0.004750477	No	No
Q13751	LAMB3	1.84191265	0.000439788	No	No
Q14520	HABP2	1.158097213	0.00158336	No	No
Q15493	RGN	0.997047994	7.15e-05	No	No
Q29980	MICB	0.932961062	2.11e-06	No	No
Q5TCX8	MAP3K21	1.641551344	1.55e-05	No	No
Q5VYS8	TUT7	1.618421208	0.004343828	No	No
Q6KF10	GDF6	1.490723604	0.006168116	No	No
Q6UXT9	ABHD15	1.00405646	0.007379423	No	No
Q6ZMZ3	SYNE3	3.062447405	0.006797744	No	No
Q76EJ3	SLC35D2	1.762553307	0.004454728	No	No
Q86UX7	FERMT3	1.364680813	0.006763633	No	No
Q8NDV1	ST6GALNAC3	2.00423181	2.46e-05	No	No
Q8NFJ5	GPRC5A	1.062450566	0.000143811	No	No
Q8TBN0	RAB3IL1	2.901243035	0.002565013	No	No
Q92485	SMPDL3B	1.194667664	0.003693313	No	No
Q92508	PIEZO1	2.213674947	4.62e-22	No	No
Q96C00	ZBTB9	1.996592877	0.002768423	No	No
Q96C24	SYTL4	2.948313554	0.00358821	No	No
Q96ED9	HOOK2	2.924730557	0.002646579	No	No
Q96JH8	RADIL	2.288510313	0.000210212	No	No
Q96LT4	SAMD8	0.912207316	0.004239958	No	No
Q99758	ABCA3	2.936934727	0.001005698	No	No
Q99988	GDF15	2.607274913	6.43e-07	No	No
Q9BXJ4	C1QTNF3	1.398019445	0.00023268	No	No
Q9BXX0	EMILIN2	2.824196779	8.21e-07	No	No
Q9H156	SLITRK2	1.52437862	0.00491167	No	No
Q9HCB6	SPON1	1.918175712	0.000577926	No	No
Q9UK55	SERPINA10	0.86883258	0.004624559	No	No
Q9Y240	CLEC11A	1.526562502	6.14e-05	No	No
O15540	FABP7	-0.955331033	0.00261358	No	No
O43623	SNAI2	-1.455520508	0.006627526	No	No
O60285	NUAK1	-2.268900613	0.005213223	No	No
P01011	SERPINA3	-1.686069695	0.00652091	No	No
P15090	FABP4	-1.289416352	0.005398756	No	No
P23471	PTPRZ1	-3.067696967	4.53e-06	No	No
P23759	PAX7	-0.934612417	0.002774882	No	No
P26374	CHML	-1.038578886	0.003239885	No	No
P51523	ZNF84	-0.890526173	0.006149928	No	No
P56645	PER3	-3.743738103	0.000240956	No	No
Q08174	PCDH1	-1.306419354	0.001226133	No	No
Q13002	GRIK2	-0.946369209	0.003319271	No	No
Q2NL68	PROSER3	-3.408750755	0.004840284	No	No
Q5BKX5	C19orf54	-1.156590434	0.006100939	No	No
Q6N021	TET2	-0.886542334	0.000410258	No	No
Q96GU1	PAGE5	-1.093228119	0.000142229	No	No
Q9BXA9	SALL3	-1.431536975	0.001114814	No	No
Q9C0H6	KLHL4	-1.101702475	0.001808742	No	No
Q9H3M7	TXNIP	-1.029860453	0.005915366	No	No
Q9H5Z1	DHX35	-4.936559869	0.000680207	No	No
Q9HAR2	ADGRL3	-3.097597518	0.005279024	No	No
Q9UMD9	COL17A1	-2.578287082	8.73e-06	No	No
Q9UPQ7	PDZRN3	-1.741777252	0.003273637	No	No
Q9Y663	HS3ST3A1	-1.087165366	0.006903806	No	No
