Protein_Group	Genes	Protein_Names	Ctrl_Piezo1_KO_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_KO_YODA1+_Avg_Peptide_Count	Piezo1_KO_YODA1-_Avg_Peptide_Count	Piezo1_KO_YODA1+_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1+_Avg_Peptide_Count	Piezo1_OE_YODA1-_Avg_Peptide_Count	Piezo1_OE_YODA1+_Avg_Peptide_Count	Species	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR5_TR1	Intensity_Piezo1_KO_YODA1+_BR5_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR5_TR2	Intensity_Piezo1_KO_YODA1+_BR5_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR2	Intensity_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Piezo1_OE_YODA1+_BR4_TR2
A0A024RBG1	NUDT4B	NUD4B_HUMAN	2.625	2.3333333333333335	2.5555555555555554	2.5	2.2857142857142856	2.375	2.25	2.4285714285714284	HUMAN	1660770.9		594642.0	527383.1	222607.81	260848.72	1154780.6	542709.75	590222.44	509487.62		485662.78	459542.16	1941537.8	1030445.25	1209641.8	1088268.2	1202215.5		1513339.6	591532.5	1768765.8	683730.9	804426.5	514855.7	997811.6	514628.75	1854141.1	376075.56	481909.8	527174.2	658323.5	1049411.5		720185.56	346162.44	712239.5	1257973.6	558124.9		1006621.4	1153156.9	697552.1	779130.3	706583.4	565262.4	1183829.4	939086.1	1035396.25	895369.75	678908.5	925849.6	1336086.5	1394797.2	1259696.6	1128183.6	1200413.8	705052.9	863445.25	569143.75	1049092.5	753358.1	569795.06	1037243.9	1189728.8	489540.25	789964.56	799942.3
A0A096LP01	SMIM26	SIM26_HUMAN	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	HUMAN	8990472.0	10913192.0	8770440.0	11473284.0	11343777.0	15562137.0	12962160.0	12923696.0	11477987.0	13023498.0	13446952.0	14347577.0	12072906.0	12487478.0	13124261.0	15694924.0	14085624.0	16112947.0	13008416.0	14870015.0	12108495.0	17408484.0	13159196.0	20276336.0	14468942.0	12755312.0	11904737.0	19926550.0	12458408.0	16527949.0	12850124.0	11918782.0	11193496.0	13754737.0	9706052.0	14729751.0	10628166.0	11760937.0	13672782.0	16495805.0	13824156.0	14344880.0	11946967.0	12243852.0	13831406.0	14720012.0	13085628.0	11887281.0	11135434.0	13710446.0	12523936.0	13984850.0	12460195.0	11378750.0	13766936.0	15653000.0	11926753.0	16703246.0	11645521.0	10769106.0	10917440.0	13525128.0	11274708.0	15461817.0	12768228.0	10722732.0	9633469.0	11513664.0
A0A0B4J2E5	LOC102724159	A0A0B4J2E5_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN		103314.18		166236.4		135469.7	136902.73	122202.28		125226.82		175318.05	186219.88		218951.3		158378.94	190770.8	145246.94	211112.38	187946.08	256885.78	187339.98	166569.36	108292.516	136283.1	170446.58	178263.97	149495.39	162706.78				96183.97		77220.47	121979.35	74553.34	147706.78	160459.78	156440.16	118487.6	102336.14	166438.34	139550.52	216505.55	167388.72	194517.61	155855.86	212677.8	139470.45	233615.6	133338.72	137787.69	185616.67	243531.98	144709.7	185511.73	65120.78	150073.45	169988.62	89352.78	110690.46	112209.11	176014.39	165553.7	89867.305	201746.02
A0A0U1RRE5	NBDY	NBDY_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN	1431634.8			1027671.44			1256370.8			783674.9			1237567.9	1107693.4		572035.6	1072351.6		1718839.0	1751850.4	923463.6		1726676.6					904375.5			1133876.8	1247803.6	1304888.8		1801048.1		539263.5	974988.4			1501530.8	1507379.6	867659.44			508137.12	920698.7	781405.5	1405085.8	646983.06	1453804.5		2025427.8	1563375.5	1599062.5		1677599.1			1174966.6				207222.55	1662663.6	1206215.4	1158232.9	
A0A0U1RRL7	MMP24OS	MMPOS_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN		1902433.0	3655048.2	4436903.0	4373686.0	5135418.0	4022388.5	4294084.5	3607427.8	4913777.0	3433296.5	2904035.0	4775098.5	4633796.0	3223748.2	4229071.5	4189287.8	6507233.5	3844830.5	4713829.0	4090201.5	4460963.5	3590805.2	4140985.2	4033605.5	4352851.5	4065196.5	9839163.0	5024043.5	4232126.0	3756098.8	4243873.5	4503714.0	3141501.0	3061389.8	3701041.8	4753485.0	4598546.5	5022877.5	5611794.5	4899939.0	4395895.5	4047986.8	4331850.0	4211829.0	4361514.0	4960408.0	4770221.0	3279017.8	4778328.5	4404459.0	6595900.5	4595125.0	5166986.5	4874249.5		3341144.8	5181185.5	4232548.5	4603839.0	5183926.0	6103684.0	5297736.5	3981562.8	3594600.5	4534909.0	5244261.0	4924637.0
A0A1B0GVQ0	SPAAR	SPAR_HUMAN	3.8333333333333335	3.0	0.0	0.0	2.4285714285714284	0.0	2.6666666666666665	2.4	HUMAN			347318.28	103960.39	770821.25	883545.25	835624.1	343926.84											365873.28		333286.47		510355.3		259112.62			554146.9	445934.0		315231.0	146783.67					698204.0	358978.38	1240677.8	638579.7	759978.9	435553.53											321817.12		180566.69		200676.22				229302.6	394281.94	337575.7	285858.34	321662.47		233057.0	163158.45
A0A2R8Y619	H2BE1	H2BE1_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN			812916.06			2262607.5		2575755.0			2263587.8			3280914.0		3508553.2	4117303.2	7126520.0				3446381.8	5034639.0			3154504.0	2322500.5	2480924.2			3230353.5		2516890.8	2285097.2				2122577.2	1782018.2		2134858.5	1548160.0				2175462.5	2105761.0	1428662.0		2228370.0	2956710.5	3913195.0	3314102.5	4543224.5		2780977.8		3095164.5			1816628.4				2587231.0			2286140.5
A0A2Z4LIS9	FOXO3B	FXO3B_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN	685495.9	320232.12	392053.44	538238.8	176963.75	247858.62	422154.75	466813.72	338011.38	418496.03	337128.0	206782.81	373346.22	449086.75	180561.53	387976.16	284507.38	376975.03	502919.12	441402.75	345306.56	409520.56	466105.7	309541.7	359033.47	465990.5	346793.75	553965.94	310923.1	291318.22	460921.34	576011.6	516502.5	181291.5	677718.9	353516.8	370252.0	456093.0	324166.3	192967.42	422034.12	400646.06	325212.3	381662.1	198615.88	281415.56	290742.94	495393.84	279060.56	360762.75	348876.53	408337.0	482344.25	445037.53	395302.3	486062.0	440021.12	291378.56	399267.12	271416.75	306297.66	337759.94	339854.2	248107.75	344244.34	267466.25	471799.22	299371.62
A0A6I8PU40	TUG1	A0A6I8PU40_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN	206594.95			137501.28	145099.05	56194.203	96844.43	135263.08	94065.61	246446.62			113212.195	191155.14		60099.363	178336.38	77275.54	97191.586	143969.88	119867.5		195401.12	73068.85	239353.17	68265.25	49056.016	275123.12		166337.03	195909.5	128728.16	183994.66	200135.5	173660.31	203105.61	158679.94	159998.08	132332.19	64697.305	164382.56	138090.1	149530.88	178567.92	81472.09	73072.8		160349.88	94461.05	140286.83	139148.97	146786.11	206357.61	184886.52	143545.03	97048.82	97450.87		242128.06	114972.13	68893.47	98213.53	136046.38	148874.7	232849.52	200560.47	286659.47	163557.2
A0AV96	RBM47	RBM47_HUMAN	18.625	19.625	20.4	20.6	19.375	19.125	19.875	19.875	HUMAN	16990636.0	25377044.0	24345184.0	44740980.0	23568914.0	31481184.0	15803861.0	33723476.0	39676532.0	48243310.0	44544332.0	42973896.0	33177142.0	42574504.0	31634798.0	37896370.0	47484440.0	45398492.0	20295824.0	42656770.0	19711908.0	38628280.0	29056630.0	35114910.0	24022004.0	23922766.0	32385346.0	88197590.0	35814030.0	64465140.0	30588950.0	31281884.0	31608422.0	23708600.0	22457962.0	37693732.0	21006428.0	67174930.0	18835228.0	36545930.0	24279454.0	44632700.0	45805988.0	40642130.0	34109736.0	52873104.0	44478076.0	55173424.0	31931746.0	38370056.0	41752596.0	39575024.0	29926728.0	36260108.0	26296260.0	35022796.0	20623712.0	36948840.0	27368272.0	33006160.0	32320958.0	47832756.0	33230310.0	81470750.0	24375644.0	34593132.0	24504380.0	26887034.0
